Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
JPV-022_107_086_S26_L001_R1_001_trimmed_1P	JPV-022_107_086_S26_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28670258.0	0.0	3-151	40.0	90.4159821909646	130.7463741344776	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
JPV-022_107_086_S26_L001_R1_001_trimmed_1U	JPV-022_107_086_S26_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8587125.0	0.0	3-151	41.0	90.79707845715123	91.20461819293419	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
JPV-022_107_086_S26_L001_R2_001_trimmed_2P	JPV-022_107_086_S26_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28670258.0	0.0	3-151	40.0	88.78904752065766	119.30180136502435	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
JPV-022_107_086_S26_L001_R2_001_trimmed_2U	JPV-022_107_086_S26_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	479242.0	0.0	3-151	41.0	73.13504263638944	40.1454192245254	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
JPV-023_132_061_S16_L001_R1_001_trimmed_1P	JPV-023_132_061_S16_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33006846.0	0.0	3-151	40.0	90.55922051677446	132.2036415718121	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
JPV-023_132_061_S16_L001_R1_001_trimmed_1U	JPV-023_132_061_S16_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5136532.0	0.0	3-151	41.0	90.55364399692542	91.16256824643553	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
JPV-023_132_061_S16_L001_R2_001_trimmed_2P	JPV-023_132_061_S16_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33006846.0	0.0	3-151	40.0	88.93766800707319	118.90218114145169	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
JPV-023_132_061_S16_L001_R2_001_trimmed_2U	JPV-023_132_061_S16_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	490183.0	0.0	3-151	41.0	75.09323046718775	41.46838629654639	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
JPV-029_190_003_S27_L001_R1_001_trimmed_1P	JPV-029_190_003_S27_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33995942.0	0.0	3-151	40.0	90.44226453044575	131.08444913807654	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
JPV-029_190_003_S27_L001_R1_001_trimmed_1U	JPV-029_190_003_S27_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5945775.0	0.0	3-151	41.0	90.16603402528966	89.3638368421274	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
JPV-029_190_003_S27_L001_R2_001_trimmed_2P	JPV-029_190_003_S27_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33995942.0	0.0	3-151	40.0	88.84542020507037	118.38382698735043	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
JPV-029_190_003_S27_L001_R2_001_trimmed_2U	JPV-029_190_003_S27_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	567408.0	0.0	3-151	41.0	73.88732599275805	40.88151911851789	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
