Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
JPV-022_107_086_S26_L001_R1_001	JPV-022_107_086_S26_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38057259.0	0.0	151.0	41.0	90.3340375433618	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
JPV-022_107_086_S26_L001_R2_001	JPV-022_107_086_S26_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38057259.0	0.0	151.0	41.0	90.95902632778903	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
JPV-023_132_061_S16_L001_R1_001	JPV-023_132_061_S16_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38863215.0	0.0	151.0	40.0	90.65245886251145	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	warn
JPV-023_132_061_S16_L001_R2_001	JPV-023_132_061_S16_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38863215.0	0.0	151.0	40.0	91.28500296676887	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	warn
JPV-029_190_003_S27_L001_R1_001	JPV-029_190_003_S27_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40804406.0	0.0	151.0	40.0	90.72688570975014	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
JPV-029_190_003_S27_L001_R2_001	JPV-029_190_003_S27_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40804406.0	0.0	151.0	40.0	91.32727027792619	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	warn
JPV009_178_015_S28_L001_R1_001	JPV009_178_015_S28_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37623291.0	0.0	151.0	41.0	90.63426670582388	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
JPV009_178_015_S28_L001_R2_001	JPV009_178_015_S28_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37623291.0	0.0	151.0	41.0	91.21042234863712	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
JPV016_120_073_S17_L001_R1_001	JPV016_120_073_S17_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37327473.0	0.0	151.0	40.0	89.83942795849615	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
JPV016_120_073_S17_L001_R2_001	JPV016_120_073_S17_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37327473.0	0.0	151.0	40.0	90.63538535987597	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
SCCA1009_159_034_S36_L002_R1_001	SCCA1009_159_034_S36_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	120294426.0	0.0	151.0	40.0	89.46730869319678	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
SCCA1009_159_034_S36_L002_R2_001	SCCA1009_159_034_S36_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	120294426.0	0.0	151.0	40.0	89.90858513693557	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
SCCA1011_145_048_S31_L002_R1_001	SCCA1011_145_048_S31_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95639220.0	0.0	151.0	40.0	90.24268227632625	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	warn
SCCA1011_145_048_S31_L002_R2_001	SCCA1011_145_048_S31_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95639220.0	0.0	151.0	40.0	90.61324459772166	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	warn
SCCA1012_109_084_S34_L002_R1_001	SCCA1012_109_084_S34_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99843569.0	0.0	151.0	40.0	90.14862084797745	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
SCCA1012_109_084_S34_L002_R2_001	SCCA1012_109_084_S34_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99843569.0	0.0	151.0	40.0	90.73747857600469	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
SCCA1017_147_046_S45_L002_R1_001	SCCA1017_147_046_S45_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114847007.0	0.0	151.0	40.0	88.1851547058028	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	warn
SCCA1017_147_046_S45_L002_R2_001	SCCA1017_147_046_S45_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114847007.0	0.0	151.0	40.0	88.51441077866164	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	warn
SCCA1018_157_036_S30_L002_R1_001	SCCA1018_157_036_S30_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91911389.0	0.0	151.0	40.0	90.61168389538862	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	warn
SCCA1018_157_036_S30_L002_R2_001	SCCA1018_157_036_S30_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91911389.0	0.0	151.0	41.0	90.90863735441481	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	warn
SCCA1020_135_058_S46_L002_R1_001	SCCA1020_135_058_S46_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108110457.0	0.0	151.0	40.0	89.4228540194074	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
SCCA1020_135_058_S46_L002_R2_001	SCCA1020_135_058_S46_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108110457.0	0.0	151.0	40.0	90.0619724281213	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
SCCA1026_097_096_S35_L002_R1_001	SCCA1026_097_096_S35_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80372558.0	0.0	151.0	40.0	90.25951765904146	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	warn
