unpaired,,,paired,,,,,,,,,,,,,,
size,sample,,size,sample,,,,sample,unpaired_percent,,avg_unpaired_percent,,,,,sample,unpaired_percent
275824,JPV009,,1803424,JPV009,,,,JPV009,0.082269756,,0.088367927,,,,,SQT031,0.170216274
16128,JPV009,,1745292,JPV009,,,,JPV016,0.078808618,,,,,,,scca0561,0.151532639
264892,JPV016,,1811288,JPV016,,,,JPV-022,0.119876684,,,,,,,scca0551,0.150053639
14320,JPV016,,1731624,JPV016,,,,JPV-023,0.064822629,,,,,,,scca0506,0.139980498
382148,JPV-022,,1676232,JPV-022,,,,JPV-029,0.071815085,,,,,,,scca1046,0.139023923
14628,JPV-022,,1633636,JPV-022,,,,scaa0503,0.10949161,,,,,,,scca0507,0.133180734
233168,JPV-023,,1947368,JPV-023,,,,scca0200,0.118556044,,,,,,,scca0586,0.127089759
15384,JPV-023,,1886972,JPV-023,,,,scca0201,0.101757479,,,,,,,JPV-022,0.119876684
264696,JPV-029,,1997100,JPV-029,,,,scca0207,0.099218762,,,,,,,scca0200,0.118556044
17564,JPV-029,,1933272,JPV-029,,,,scca0506,0.139980498,,,,,,,scca0583,0.11840921
421528,scaa0503,,2035256,scaa0503,,,,scca0507,0.133180734,,,,,,,scca0509,0.115455375
16964,scaa0503,,1969544,scaa0503,,,,scca0509,0.115455375,,,,,,,scca0554,0.110999849
576004,scca0200,,2488424,scca0200,,,,scca0539,0.075094195,,,,,,,scca0549,0.110182537
15888,scca0200,,2504084,scca0200,,,,scca0540,0.083894194,,,,,,,scaa0503,0.10949161
477956,scca0201,,2429000,scca0201,,,,scca0548,0.105278625,,,,,,,scca0548,0.105278625
16160,scca0201,,2426820,scca0201,,,,scca0549,0.110182537,,,,,,,scca0550,0.102219355
442192,scca0207,,2306460,scca0207,,,,scca0550,0.102219355,,,,,,,scca1029,0.101885338
14964,scca0207,,2301096,scca0207,,,,scca0551,0.150053639,,,,,,,scca0201,0.101757479
518188,scca0506,,1938588,scca0506,,,,scca0554,0.110999849,,,,,,,scca0207,0.099218762
16972,scca0506,,1884516,scca0506,,,,scca0561,0.151532639,,,,,,,SQT019,0.097799745
520672,scca0507,,2040052,scca0507,,,,scca0583,0.11840921,,,,,,,scca1025,0.097426958
17172,scca0507,,1998400,scca0507,,,,scca0586,0.127089759,,,,,,,scca0587,0.089836681
468472,scca0509,,2137824,scca0509,,,,scca0587,0.089836681,,,,,,,SQT056,0.087851106
18516,scca0509,,2080152,scca0509,,,,scca1001,0.078958762,,,,,,,SQT118,0.08568976
248704,scca0539,,1783844,scca0539,,,,SCCA1009,0.031498785,,,,,,,SQT034,0.084661701
13980,scca0539,,1714216,scca0539,,,,SCCA1011,0.045406838,,,,,,,scca0540,0.083894194
267648,scca0540,,1702296,scca0540,,,,SCCA1012,0.033293217,,,,,,,JPV009,0.082269756
13116,scca0540,,1644348,scca0540,,,,SCCA1017,0.052326304,,,,,,,scca1001,0.078958762
450848,scca0548,,2209824,scca0548,,,,SCCA1018,0.062569307,,,,,,,JPV016,0.078808618
10568,scca0548,,2172984,scca0548,,,,SCCA1020,0.035127216,,,,,,,SQT017,0.075383145
