#Duplication rate	Coverage
1.0	5.0677114E7
2.0	1853147.0
3.0	186478.0
4.0	54727.0
5.0	26019.0
6.0	16804.0
7.0	11927.0
8.0	8969.0
9.0	7254.0
10.0	6035.0
11.0	5163.0
12.0	4406.0
13.0	3965.0
14.0	3469.0
15.0	3211.0
16.0	2898.0
17.0	2611.0
18.0	2435.0
19.0	2210.0
20.0	2042.0
21.0	1825.0
22.0	1754.0
23.0	1637.0
24.0	1416.0
25.0	1376.0
26.0	1219.0
27.0	1113.0
28.0	929.0
29.0	938.0
30.0	824.0
31.0	740.0
32.0	696.0
33.0	592.0
34.0	569.0
35.0	513.0
36.0	440.0
37.0	386.0
38.0	380.0
39.0	343.0
40.0	293.0
41.0	298.0
42.0	259.0
43.0	232.0
44.0	218.0
45.0	179.0
46.0	171.0
47.0	135.0
48.0	147.0
49.0	119.0
50.0	1754.0
