#Mapping quality	mapping quality
0.0	7.3644404E7
1.0	4392903.0
2.0	4394556.0
3.0	4698135.0
4.0	4263807.0
5.0	4011004.0
6.0	4239554.0
7.0	3793577.0
8.0	4100900.0
9.0	4056826.0
10.0	4017823.0
11.0	3289286.0
12.0	3463868.0
13.0	4697721.0
14.0	2966342.0
15.0	3830628.0
16.0	3513077.0
17.0	3188961.0
18.0	3430233.0
19.0	3283994.0
20.0	6550538.0
21.0	4070278.0
22.0	4169983.0
23.0	4046403.0
24.0	4517736.0
25.0	4592898.0
26.0	4193907.0
27.0	5848157.0
28.0	4176289.0
29.0	4042769.0
30.0	1.0694875E7
31.0	4921516.0
32.0	5028322.0
33.0	5844339.0
34.0	5254790.0
35.0	5245345.0
36.0	5562679.0
37.0	5279219.0
38.0	4961461.0
39.0	5477605.0
40.0	1.5848563E7
41.0	6315968.0
42.0	6636790.0
43.0	6862653.0
44.0	6210799.0
45.0	9053847.0
46.0	7282603.0
47.0	7556444.0
48.0	9232399.0
49.0	7021559.0
50.0	1.099428E7
51.0	7800792.0
52.0	7782352.0
53.0	9822666.0
54.0	8070609.0
55.0	8976734.0
56.0	8824597.0
57.0	8387340.0
58.0	7663701.0
59.0	7491664.0
60.0	1.792309383E9
