## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../pre_dup_removal/merged/JPV022_merged.bam] OUTPUT=JPV022_merged_dedup.bam METRICS_FILE=JPV022_merged_metrics.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 16 07:43:04 CDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
wgs_JPV022	9800312	25385929	1129141	5834713	1340111	1957408	230267	0.086755	174710184

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.008505	21599031	0	21799657
2.0	1.88062	1709189	225287	1535755
3.0	2.63479	113312	2451	88369
4.0	3.286966	6477	26	4417
5.0	3.850942	448	0	268
6.0	4.338646	46	0	37
7.0	4.760393	10	0	11
8.0	5.125103	3	0	2
9.0	5.44049	2	0	3
10.0	5.713224	1	0	0
11.0	5.949073	0	0	0
12.0	6.153026	0	0	0
13.0	6.329397	0	0	0
14.0	6.481915	0	0	0
15.0	6.613807	0	0	0
16.0	6.727862	0	0	0
17.0	6.826492	1	0	1
18.0	6.911783	0	0	0
19.0	6.985539	0	0	0
20.0	7.049321	0	0	0
21.0	7.104477	1	0	1
22.0	7.152173	0	0	0
23.0	7.193419	0	0	0
24.0	7.229087	0	0	0
25.0	7.259932	0	0	0
26.0	7.286604	0	0	0
27.0	7.30967	0	0	0
28.0	7.329616	0	0	0
29.0	7.346865	0	0	0
30.0	7.361781	0	0	0
31.0	7.37468	0	0	0
32.0	7.385834	0	0	0
33.0	7.39548	0	0	0
34.0	7.403821	0	0	0
35.0	7.411035	0	0	0
36.0	7.417272	0	0	0
37.0	7.422666	0	0	0
38.0	7.427331	0	0	0
39.0	7.431365	0	0	0
40.0	7.434853	0	0	0
41.0	7.43787	0	0	0
42.0	7.440478	0	0	0
43.0	7.442734	0	0	0
44.0	7.444685	0	0	0
45.0	7.446372	0	0	0
46.0	7.44783	0	0	0
47.0	7.449092	0	0	0
48.0	7.450183	0	0	0
49.0	7.451126	0	0	0
50.0	7.451942	0	0	0
51.0	7.452647	0	0	0
52.0	7.453257	0	0	0
53.0	7.453785	0	0	0
54.0	7.454241	0	0	0
55.0	7.454636	0	0	0
56.0	7.454977	0	0	0
57.0	7.455272	0	0	0
58.0	7.455527	0	0	0
59.0	7.455747	0	0	0
60.0	7.455938	0	0	0
61.0	7.456103	0	0	0
62.0	7.456246	0	0	0
63.0	7.456369	0	0	0
64.0	7.456476	0	0	0
65.0	7.456568	0	0	0
66.0	7.456648	0	0	0
67.0	7.456717	0	0	0
68.0	7.456777	0	0	0
69.0	7.456828	0	0	0
70.0	7.456873	0	0	0
71.0	7.456911	0	0	0
72.0	7.456945	0	0	0
73.0	7.456974	0	0	0
74.0	7.456999	0	0	0
75.0	7.45702	0	0	0
76.0	7.457039	0	0	0
77.0	7.457055	0	0	0
78.0	7.457069	0	0	0
79.0	7.457081	0	0	0
80.0	7.457091	0	0	0
81.0	7.4571	0	0	0
82.0	7.457108	0	0	0
83.0	7.457115	0	0	0
84.0	7.457121	0	0	0
85.0	7.457126	0	0	0
86.0	7.45713	0	0	0
87.0	7.457134	0	0	0
88.0	7.457137	0	0	0
89.0	7.45714	0	0	0
90.0	7.457142	0	0	0
91.0	7.457145	0	0	0
92.0	7.457146	0	0	0
93.0	7.457148	0	0	0
94.0	7.457149	0	0	0
95.0	7.457151	0	0	0
96.0	7.457152	0	0	0
97.0	7.457152	0	0	0
98.0	7.457153	0	0	0
99.0	7.457154	0	0	0
100.0	7.457154	0	0	0

