## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../pre_dup_removal/merged/JPV023_merged.bam] OUTPUT=JPV023_merged_dedup.bam METRICS_FILE=JPV023_merged_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 09 12:58:04 EDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	19843940	85463928	1362201	16758368	3979604	5204320	525707	0.075421	742427973

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.00584	75857869	0	76325151
2.0	1.902309	4071349	516178	3654317
3.0	2.701301	242295	4671	196385
4.0	3.413413	31251	57	27567
5.0	4.048094	13281	4	12927
6.0	4.613762	8439	0	8400
7.0	5.117922	6235	0	6188
8.0	5.567262	4683	0	4663
9.0	5.967742	3703	0	3660
10.0	6.324676	2858	0	2857
11.0	6.642799	2343	0	2326
12.0	6.926331	1983	0	1958
13.0	7.179032	1657	0	1643
14.0	7.404256	1355	0	1359
15.0	7.60499	1210	0	1220
16.0	7.783897	991	0	952
17.0	7.943351	885	0	892
18.0	8.085466	760	0	747
19.0	8.212128	596	0	598
20.0	8.325018	552	0	547
21.0	8.425632	522	0	505
22.0	8.515306	462	0	473
23.0	8.59523	399	0	388
24.0	8.666463	375	0	375
25.0	8.72995	304	0	298
26.0	8.786534	242	0	245
27.0	8.836965	232	0	235
28.0	8.881913	237	0	228
29.0	8.921973	190	0	194
30.0	8.957677	194	0	183
31.0	8.989499	161	0	169
32.0	9.017861	147	0	145
33.0	9.043139	139	0	130
34.0	9.065668	147	0	146
35.0	9.085747	125	0	121
36.0	9.103644	92	0	91
37.0	9.119594	90	0	90
38.0	9.13381	88	0	90
39.0	9.14648	83	0	82
40.0	9.157772	76	0	65
41.0	9.167837	62	0	61
42.0	9.176807	57	0	61
43.0	9.184801	56	0	56
44.0	9.191927	48	0	44
45.0	9.198277	46	0	46
46.0	9.203938	41	0	49
47.0	9.208982	39	0	33
48.0	9.213478	43	0	37
49.0	9.217486	41	0	44
50.0	9.221057	26	0	27
51.0	9.22424	33	0	35
52.0	9.227077	35	0	34
53.0	9.229606	26	0	23
54.0	9.231859	27	0	28
55.0	9.233868	24	0	19
56.0	9.235658	15	0	21
57.0	9.237254	33	0	30
58.0	9.238676	22	0	17
59.0	9.239943	11	0	17
60.0	9.241073	18	0	16
61.0	9.242079	14	0	14
62.0	9.242977	18	0	23
63.0	9.243776	14	0	10
64.0	9.244489	11	0	8
65.0	9.245124	12	0	15
66.0	9.245691	14	0	9
67.0	9.246195	13	0	18
68.0	9.246645	12	0	9
69.0	9.247046	8	0	8
70.0	9.247403	7	0	10
71.0	9.247722	8	0	10
72.0	9.248005	6	0	7
73.0	9.248258	14	0	11
74.0	9.248484	9	0	9
75.0	9.248685	5	0	3
76.0	9.248864	5	0	7
77.0	9.249023	11	0	8
78.0	9.249165	8	0	7
79.0	9.249292	3	0	4
80.0	9.249405	7	0	5
81.0	9.249506	3	0	6
82.0	9.249596	4	0	6
83.0	9.249676	9	0	5
84.0	9.249747	4	0	2
85.0	9.249811	3	0	3
86.0	9.249867	2	0	5
87.0	9.249918	3	0	1
88.0	9.249963	3	0	5
89.0	9.250003	7	0	4
90.0	9.250038	2	0	3
91.0	9.25007	2	0	1
92.0	9.250099	1	0	5
93.0	9.250124	4	0	1
94.0	9.250147	2	0	3
95.0	9.250167	3	0	2
96.0	9.250185	2	0	1
