#Insert size (bp)	insert size
2.0	140.0
3.0	131.0
4.0	129.0
5.0	130.0
6.0	137.0
7.0	134.0
8.0	109.0
9.0	134.0
10.0	141.0
11.0	153.0
12.0	150.0
13.0	116.0
14.0	101.0
15.0	121.0
16.0	143.0
17.0	167.0
18.0	126.0
19.0	3648.0
20.0	3980.0
21.0	3019.0
22.0	1827.0
23.0	980.0
24.0	642.0
25.0	503.0
26.0	419.0
27.0	390.0
28.0	417.0
29.0	407.0
30.0	384.0
31.0	377.0
32.0	405.0
33.0	409.0
34.0	414.0
35.0	427.0
36.0	417.0
37.0	484.0
38.0	473.0
39.0	454.0
40.0	506.0
41.0	527.0
42.0	532.0
43.0	550.0
44.0	531.0
45.0	594.0
46.0	569.0
47.0	611.0
48.0	675.0
49.0	578.0
50.0	643.0
51.0	718.0
52.0	675.0
53.0	729.0
54.0	681.0
55.0	683.0
56.0	703.0
57.0	690.0
58.0	783.0
59.0	746.0
60.0	781.0
61.0	801.0
62.0	863.0
63.0	934.0
64.0	989.0
65.0	977.0
66.0	903.0
67.0	963.0
68.0	990.0
69.0	988.0
70.0	994.0
71.0	984.0
72.0	1058.0
73.0	1048.0
74.0	1099.0
75.0	1063.0
76.0	1194.0
77.0	1213.0
78.0	1247.0
79.0	1231.0
80.0	1364.0
81.0	1331.0
82.0	1353.0
83.0	1376.0
84.0	1305.0
85.0	1305.0
86.0	1343.0
87.0	1409.0
88.0	1392.0
89.0	1377.0
90.0	1379.0
91.0	1325.0
92.0	1352.0
93.0	1531.0
94.0	1541.0
95.0	1475.0
96.0	1442.0
97.0	1490.0
98.0	1523.0
99.0	1502.0
100.0	1478.0
101.0	1509.0
102.0	1585.0
103.0	1588.0
104.0	1540.0
105.0	1537.0
106.0	1525.0
107.0	1554.0
108.0	1564.0
109.0	1699.0
110.0	1688.0
111.0	1652.0
112.0	1740.0
113.0	1677.0
114.0	1750.0
115.0	1779.0
116.0	1789.0
117.0	1841.0
118.0	1852.0
119.0	1799.0
120.0	1781.0
121.0	1840.0
122.0	2040.0
123.0	2028.0
124.0	2067.0
125.0	2122.0
126.0	2156.0
127.0	2307.0
128.0	2379.0
129.0	2449.0
130.0	2555.0
131.0	2700.0
132.0	2714.0
133.0	2866.0
134.0	3076.0
135.0	3229.0
136.0	3424.0
137.0	3608.0
138.0	3795.0
139.0	4252.0
140.0	4814.0
141.0	5379.0
142.0	6271.0
143.0	8700.0
144.0	85165.0
145.0	88906.0
146.0	91178.0
147.0	92562.0
148.0	94199.0
149.0	95333.0
150.0	96318.0
151.0	98322.0
152.0	98839.0
153.0	100333.0
154.0	101708.0
155.0	102847.0
156.0	103608.0
157.0	104674.0
158.0	106392.0
159.0	107607.0
160.0	108240.0
161.0	109332.0
162.0	110162.0
163.0	111551.0
164.0	112850.0
165.0	114017.0
166.0	115318.0
167.0	115991.0
168.0	118313.0
169.0	119002.0
170.0	119349.0
171.0	120190.0
172.0	121721.0
173.0	121833.0
174.0	122997.0
175.0	124091.0
176.0	125178.0
177.0	125441.0
178.0	126530.0
179.0	126962.0
180.0	128129.0
181.0	128075.0
182.0	129068.0
183.0	129829.0
184.0	130533.0
185.0	130873.0
186.0	132364.0
187.0	132341.0
188.0	133934.0
189.0	133774.0
190.0	134188.0
191.0	135222.0
192.0	134910.0
193.0	135468.0
194.0	136638.0
195.0	136638.0
196.0	136367.0
197.0	137571.0
198.0	137838.0
199.0	137469.0
200.0	138096.0
201.0	138939.0
202.0	138504.0
203.0	138856.0
204.0	138948.0
205.0	138591.0
206.0	139315.0
207.0	139960.0
208.0	139299.0
209.0	139086.0
210.0	139262.0
211.0	139484.0
212.0	139184.0
213.0	139643.0
214.0	139699.0
215.0	138973.0
216.0	139721.0
217.0	138871.0
218.0	138674.0
219.0	138791.0
220.0	138287.0
221.0	138212.0
222.0	138172.0
223.0	138590.0
224.0	137284.0
225.0	136797.0
226.0	136582.0
227.0	136586.0
228.0	136710.0
229.0	135747.0
230.0	135399.0
231.0	135451.0
232.0	134482.0
233.0	134486.0
234.0	133911.0
235.0	133841.0
236.0	132575.0
237.0	131905.0
238.0	132395.0
239.0	131408.0
240.0	131509.0
241.0	130376.0
242.0	129319.0
243.0	129493.0
244.0	128761.0
245.0	127713.0
246.0	126881.0
247.0	127371.0
248.0	125789.0
249.0	125327.0
250.0	124719.0
251.0	124301.0
252.0	123510.0
253.0	122930.0
254.0	121703.0
255.0	121459.0
256.0	121155.0
257.0	120302.0
258.0	120130.0
259.0	118832.0
260.0	118240.0
261.0	117662.0
262.0	117165.0
263.0	116182.0
264.0	115537.0
265.0	114373.0
266.0	113848.0
267.0	113233.0
268.0	112209.0
269.0	111351.0
270.0	110631.0
271.0	109881.0
272.0	109196.0
273.0	108638.0
274.0	107833.0
275.0	106676.0
276.0	106066.0
277.0	105777.0
278.0	105090.0
279.0	103986.0
280.0	103052.0
281.0	102150.0
282.0	100937.0
283.0	100850.0
284.0	100352.0
285.0	99510.0
286.0	98518.0
287.0	98149.0
288.0	97121.0
289.0	96411.0
290.0	95274.0
291.0	95039.0
292.0	93516.0
293.0	93153.0
294.0	92746.0
295.0	92146.0
296.0	91716.0
297.0	90522.0
298.0	89344.0
299.0	89301.0
300.0	88166.0
301.0	87785.0
302.0	86439.0
303.0	85677.0
304.0	85304.0
305.0	84759.0
306.0	83441.0
307.0	83320.0
308.0	82214.0
309.0	81864.0
310.0	80357.0
311.0	79992.0
312.0	79644.0
313.0	78734.0
314.0	78111.0
315.0	77206.0
316.0	76567.0
317.0	75831.0
318.0	75003.0
319.0	74606.0
320.0	73547.0
321.0	73530.0
322.0	72865.0
323.0	72100.0
324.0	71200.0
325.0	70804.0
326.0	69997.0
327.0	69801.0
328.0	68857.0
329.0	68050.0
330.0	67245.0
331.0	66757.0
332.0	66010.0
333.0	65366.0
334.0	64793.0
335.0	64394.0
336.0	63925.0
337.0	63087.0
338.0	62264.0
339.0	61971.0
340.0	61398.0
341.0	60542.0
342.0	60351.0
343.0	59496.0
344.0	59156.0
345.0	58382.0
346.0	57921.0
347.0	57027.0
348.0	56867.0
349.0	55895.0
350.0	55639.0
351.0	55211.0
352.0	54638.0
353.0	53534.0
354.0	53324.0
355.0	52714.0
356.0	52117.0
357.0	51562.0
358.0	50794.0
359.0	50524.0
360.0	50200.0
361.0	49496.0
362.0	49017.0
363.0	48384.0
364.0	48194.0
