## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../pre_dup_removal/merged/SCCA1011_merged.bam] OUTPUT=SCCA1011_merged_dedup.bam METRICS_FILE=SCCA1011_merged_metrics.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 16 12:18:41 CDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
wgs_SCCA1011	13319623	78458392	981412	10167981	2258985	3327356	306788	0.052361	984792127

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.003771	71951519	0	72236619
2.0	1.930675	3050064	303513	2785529
3.0	2.786597	118269	1618	98697
4.0	3.576973	7909	13	6982
5.0	4.306824	1739	0	1699
6.0	4.980783	694	0	681
7.0	5.603131	338	0	331
8.0	6.17782	174	0	175
9.0	6.7085	122	0	117
10.0	7.198541	79	0	79
11.0	7.651056	37	0	35
12.0	8.068917	31	0	32
13.0	8.454779	14	0	15
14.0	8.811092	16	0	15
15.0	9.140119	7	0	7
16.0	9.443949	8	0	7
17.0	9.724512	2	0	3
18.0	9.98359	3	0	2
19.0	10.222828	3	0	4
20.0	10.443746	4	0	3
21.0	10.647746	0	0	0
22.0	10.836124	1	0	1
23.0	11.010076	0	0	0
24.0	11.170706	0	0	0
25.0	11.319036	0	0	0
26.0	11.456007	0	0	0
27.0	11.582489	0	0	0
28.0	11.699285	0	0	0
29.0	11.807137	0	0	0
30.0	11.90673	0	0	0
31.0	11.998696	1	0	1
32.0	12.08362	1	0	1
33.0	12.16204	0	0	0
34.0	12.234454	0	0	0
35.0	12.301323	0	0	0
36.0	12.363072	0	0	0
37.0	12.420092	0	0	0
38.0	12.472745	0	0	0
39.0	12.521366	0	0	0
40.0	12.566264	0	0	0
41.0	12.607724	0	0	0
42.0	12.646008	0	0	0
43.0	12.681361	0	0	0
44.0	12.714007	0	0	0
45.0	12.744152	0	0	0
46.0	12.77199	0	0	0
47.0	12.797695	0	0	0
48.0	12.821432	0	0	0
49.0	12.843351	0	0	0
50.0	12.863591	0	0	0
51.0	12.882282	0	0	0
52.0	12.899541	0	0	0
53.0	12.915479	0	0	0
54.0	12.930196	0	0	0
55.0	12.943786	0	0	0
56.0	12.956335	0	0	0
57.0	12.967924	0	0	0
58.0	12.978625	0	0	0
59.0	12.988506	0	0	0
60.0	12.997631	0	0	0
61.0	13.006057	0	0	0
62.0	13.013838	0	0	0
63.0	13.021022	0	0	0
64.0	13.027657	0	0	0
65.0	13.033784	0	0	0
66.0	13.039441	0	0	0
67.0	13.044665	0	0	0
68.0	13.049489	0	0	1
69.0	13.053944	1	0	0
70.0	13.058058	0	0	0
71.0	13.061856	0	0	0
72.0	13.065364	0	0	0
73.0	13.068603	0	0	0
74.0	13.071594	0	0	0
75.0	13.074356	0	0	0
76.0	13.076906	0	0	0
77.0	13.079261	0	0	0
78.0	13.081436	0	0	0
79.0	13.083444	0	0	0
80.0	13.085299	0	0	0
81.0	13.087011	0	0	0
82.0	13.088593	0	0	0
83.0	13.090053	0	0	0
84.0	13.091401	0	0	0
85.0	13.092646	0	0	0
86.0	13.093796	0	0	0
87.0	13.094858	0	0	0
88.0	13.095838	0	0	0
89.0	13.096744	0	0	0
90.0	13.09758	0	0	0
91.0	13.098352	0	0	0
92.0	13.099065	0	0	0
93.0	13.099723	0	0	0
94.0	13.100331	0	0	0
95.0	13.100892	0	0	0
96.0	13.10141	0	0	0
97.0	13.101889	0	0	0
98.0	13.102331	0	0	0
99.0	13.102739	0	0	0
100.0	13.103116	0	0	0

