#Duplication rate	Coverage
1.0	1.50538918E8
2.0	1.2055025E7
3.0	2088732.0
4.0	622078.0
5.0	248919.0
6.0	124455.0
7.0	71423.0
8.0	46607.0
9.0	32384.0
10.0	24576.0
11.0	18757.0
12.0	15326.0
13.0	12343.0
14.0	10610.0
15.0	9359.0
16.0	7875.0
17.0	6969.0
18.0	6291.0
19.0	5530.0
20.0	4945.0
21.0	4534.0
22.0	4213.0
23.0	3780.0
24.0	3483.0
25.0	3078.0
26.0	2845.0
27.0	2790.0
28.0	2548.0
29.0	2444.0
30.0	2260.0
31.0	2086.0
32.0	2010.0
33.0	1899.0
34.0	1802.0
35.0	1687.0
36.0	1748.0
37.0	1611.0
38.0	1666.0
39.0	1497.0
40.0	1406.0
41.0	1434.0
42.0	1385.0
43.0	1334.0
44.0	1273.0
45.0	1321.0
46.0	1261.0
47.0	1217.0
48.0	1184.0
49.0	1162.0
50.0	39754.0
