#Coverage (X)	Coverage
1.0	98.65027300296435
2.0	96.54057176558999
3.0	91.95122682771603
4.0	84.10304424576148
5.0	73.2450199990746
6.0	60.599788150394694
7.0	47.82607020701279
8.0	36.35559278378898
9.0	27.031070628999416
10.0	20.05176290453089
11.0	15.167062384177896
12.0	11.91333172807498
13.0	9.803951049369289
14.0	8.436540508854407
15.0	7.524673565890538
16.0	6.8779100271543
17.0	6.3857699246726725
18.0	5.983490497583304
19.0	5.637758862810685
20.0	5.329469332993611
21.0	5.049069792590274
22.0	4.7912442955457095
23.0	4.551772620388846
24.0	4.328716532660906
25.0	4.120196368678137
26.0	3.924304369254628
27.0	3.7402285353073523
28.0	3.5670448054153496
29.0	3.4038723092204037
30.0	3.2498848755720218
31.0	3.1043114587550207
32.0	2.9672401813242004
33.0	2.838189903365347
34.0	2.7164236418517334
35.0	2.600993111427556
36.0	2.491704485095056
37.0	2.388216922855932
38.0	2.290045697380407
39.0	2.197150068414416
40.0	2.1090519151558595
41.0	2.025629620664944
42.0	1.946450954643737
43.0	1.8712132955014198
44.0	1.7998884411789362
45.0	1.7322023273342069
46.0	1.667981408299056
47.0	1.6065995912587994
48.0	1.5480193681852796
49.0	1.4920353328977995
50.0	1.4387713755499476
51.0	1.387815405097541
