#Mapping quality	mapping quality
0.0	3.9196194E7
1.0	6593240.0
2.0	5864246.0
3.0	5724823.0
4.0	5185895.0
5.0	4954002.0
6.0	4936431.0
7.0	4537928.0
8.0	4528715.0
9.0	4585691.0
10.0	4574335.0
11.0	4176729.0
12.0	4289351.0
13.0	4927030.0
14.0	4058863.0
15.0	4505476.0
16.0	4443843.0
17.0	4282316.0
18.0	4443346.0
19.0	4333032.0
20.0	5749113.0
21.0	4808819.0
22.0	4833547.0
23.0	4844459.0
24.0	5230819.0
25.0	5328243.0
26.0	5464697.0
27.0	5846120.0
28.0	5507426.0
29.0	5575674.0
30.0	7399578.0
31.0	6117470.0
32.0	6323451.0
33.0	6836423.0
34.0	6646303.0
35.0	6902620.0
36.0	7475106.0
37.0	7363499.0
38.0	7345654.0
39.0	7537598.0
40.0	1.2063921E7
41.0	8287178.0
42.0	8918700.0
43.0	8869829.0
44.0	9123230.0
45.0	1.1469229E7
46.0	1.0301401E7
47.0	1.0028714E7
48.0	1.2699895E7
49.0	1.0694219E7
50.0	1.4641541E7
51.0	1.3429193E7
52.0	1.3890598E7
53.0	1.5502457E7
54.0	1.4849189E7
55.0	1.7071819E7
56.0	1.9691229E7
57.0	2.1738885E7
58.0	2.2380985E7
59.0	2.2139561E7
60.0	2.246327213E9
