#Insert size (bp)	insert size
2.0	352.0
3.0	359.0
4.0	391.0
5.0	388.0
6.0	371.0
7.0	367.0
8.0	325.0
9.0	357.0
10.0	360.0
11.0	417.0
12.0	435.0
13.0	378.0
14.0	377.0
15.0	352.0
16.0	437.0
17.0	439.0
18.0	427.0
19.0	6759.0
20.0	7455.0
21.0	5574.0
22.0	3281.0
23.0	2016.0
24.0	1268.0
25.0	1204.0
26.0	1071.0
27.0	983.0
28.0	1025.0
29.0	1033.0
30.0	988.0
31.0	1055.0
32.0	1071.0
33.0	1116.0
34.0	1169.0
35.0	1279.0
36.0	1207.0
37.0	1341.0
38.0	1340.0
39.0	1451.0
40.0	1523.0
41.0	1601.0
42.0	1552.0
43.0	1580.0
44.0	1674.0
45.0	1797.0
46.0	1872.0
47.0	1859.0
48.0	1989.0
49.0	1963.0
50.0	2035.0
51.0	1985.0
52.0	2098.0
53.0	2013.0
54.0	2044.0
55.0	2217.0
56.0	2099.0
57.0	2308.0
58.0	2222.0
59.0	2277.0
60.0	2292.0
61.0	2321.0
62.0	2340.0
63.0	2385.0
64.0	2494.0
65.0	2397.0
66.0	2284.0
67.0	2365.0
68.0	2376.0
69.0	2424.0
70.0	2561.0
71.0	2551.0
72.0	2563.0
73.0	2662.0
74.0	2667.0
75.0	2759.0
76.0	2812.0
77.0	3011.0
78.0	2976.0
79.0	3130.0
80.0	3048.0
81.0	3074.0
82.0	3094.0
83.0	3232.0
84.0	3106.0
85.0	3040.0
86.0	3004.0
87.0	3054.0
88.0	3134.0
89.0	3060.0
90.0	3083.0
91.0	3103.0
92.0	3098.0
93.0	3143.0
94.0	3373.0
95.0	3248.0
96.0	3147.0
97.0	3135.0
98.0	3358.0
99.0	3216.0
100.0	3357.0
101.0	3230.0
102.0	3222.0
103.0	3379.0
104.0	3414.0
105.0	3358.0
106.0	3304.0
107.0	3257.0
108.0	3328.0
109.0	3431.0
110.0	3474.0
111.0	3386.0
112.0	3416.0
113.0	3505.0
114.0	3450.0
115.0	3635.0
116.0	3536.0
117.0	3660.0
118.0	3493.0
119.0	3464.0
120.0	3567.0
121.0	3529.0
122.0	3533.0
123.0	3666.0
124.0	3779.0
125.0	3802.0
126.0	4027.0
127.0	4231.0
128.0	4420.0
129.0	4688.0
130.0	4818.0
131.0	4931.0
132.0	5028.0
133.0	5319.0
134.0	5499.0
135.0	5997.0
136.0	6222.0
137.0	6428.0
138.0	6866.0
139.0	7393.0
140.0	8086.0
141.0	9016.0
142.0	10281.0
143.0	14273.0
144.0	128029.0
145.0	133425.0
146.0	135996.0
147.0	137239.0
148.0	139991.0
149.0	142277.0
150.0	143915.0
151.0	145428.0
152.0	148020.0
153.0	149431.0
154.0	151265.0
155.0	152585.0
156.0	154634.0
157.0	156177.0
158.0	158150.0
159.0	159897.0
160.0	161694.0
161.0	163498.0
162.0	165728.0
163.0	167636.0
164.0	169133.0
165.0	172264.0
166.0	172829.0
167.0	174295.0
168.0	176893.0
169.0	178403.0
170.0	180598.0
171.0	181938.0
172.0	183554.0
173.0	185816.0
174.0	187852.0
175.0	191064.0
176.0	192700.0
177.0	194988.0
178.0	196028.0
179.0	198205.0
180.0	199388.0
181.0	201039.0
182.0	204077.0
183.0	205790.0
184.0	208039.0
185.0	210380.0
186.0	211932.0
187.0	214044.0
188.0	216663.0
189.0	218261.0
190.0	220732.0
191.0	222503.0
192.0	224501.0
193.0	226450.0
194.0	229346.0
195.0	230352.0
196.0	233138.0
197.0	234219.0
198.0	237148.0
199.0	240324.0
