## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../pre_dup_removal/merged/SCCA1033_merged.bam] OUTPUT=SCCA1033_merged_dedup.bam METRICS_FILE=SCCA1033_merged_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 02 11:26:14 EDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	14053631	96905070	1982572	11737942	2874908	4730105	430927	0.059342	1050043747

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.004264	87979828	0	88376327
2.0	1.919995	3967493	425794	3601932
3.0	2.755	168041	2541	138788
4.0	3.516393	19552	17	18125
5.0	4.210664	9495	0	9397
6.0	4.843732	6270	0	6248
7.0	5.42099	4523	0	4504
8.0	5.947359	3388	0	3377
9.0	6.427326	2624	0	2606
10.0	6.86498	2073	0	2055
11.0	7.264053	1709	0	1715
12.0	7.627945	1345	0	1322
13.0	7.959757	1188	0	1183
14.0	8.262318	921	0	921
15.0	8.538206	815	0	810
16.0	8.789773	659	0	666
17.0	9.019163	581	0	566
18.0	9.228331	515	0	520
19.0	9.419059	415	0	403
20.0	9.592973	353	0	353
21.0	9.751556	334	0	335
22.0	9.896159	279	0	277
23.0	10.028014	256	0	257
24.0	10.148245	256	0	250
25.0	10.257877	198	0	197
26.0	10.357844	174	0	163
27.0	10.448999	166	0	170
28.0	10.532117	135	0	133
29.0	10.607908	145	0	151
30.0	10.677018	98	0	95
31.0	10.740036	100	0	96
32.0	10.797497	88	0	82
33.0	10.849894	78	0	78
34.0	10.897671	79	0	82
35.0	10.941236	70	0	67
36.0	10.980961	60	0	59
37.0	11.017184	45	0	42
38.0	11.050213	40	0	45
39.0	11.080331	49	0	48
40.0	11.107794	34	0	37
41.0	11.132836	36	0	33
42.0	11.15567	28	0	26
43.0	11.176491	32	0	29
44.0	11.195476	23	0	26
45.0	11.212788	23	0	21
46.0	11.228574	23	0	22
47.0	11.242968	27	0	28
48.0	11.256094	22	0	23
49.0	11.268062	20	0	19
50.0	11.278975	14	0	14
51.0	11.288926	9	0	10
52.0	11.298	20	0	19
53.0	11.306273	14	0	11
54.0	11.313818	11	0	13
55.0	11.320697	8	0	9
56.0	11.32697	11	0	12
57.0	11.33269	16	0	14
58.0	11.337906	6	0	7
59.0	11.342662	13	0	12
60.0	11.346998	11	0	11
61.0	11.350953	7	0	7
62.0	11.354558	4	0	3
63.0	11.357846	9	0	9
64.0	11.360844	4	0	5
65.0	11.363578	6	0	5
66.0	11.366071	10	0	12
67.0	11.368344	5	0	4
68.0	11.370416	5	0	3
69.0	11.372306	7	0	7
70.0	11.374029	4	0	4
71.0	11.375601	3	0	4
72.0	11.377034	5	0	4
73.0	11.37834	0	0	0
74.0	11.379531	2	0	2
75.0	11.380618	4	0	5
76.0	11.381608	3	0	3
77.0	11.382511	4	0	4
78.0	11.383335	3	0	3
79.0	11.384086	1	0	3
80.0	11.384771	5	0	3
81.0	11.385395	1	0	0
82.0	11.385965	1	0	1
83.0	11.386484	4	0	4
84.0	11.386957	0	0	1
85.0	11.387389	1	0	1
86.0	11.387783	2	0	1
87.0	11.388142	0	0	1
88.0	11.388469	2	0	3
89.0	11.388767	2	0	1
90.0	11.389039	2	0	1
91.0	11.389287	0	0	1
92.0	11.389514	2	0	1
93.0	11.38972	1	0	1
94.0	11.389908	0	0	1
95.0	11.39008	2	0	1
96.0	11.390236	3	0	3
97.0	11.390379	2	0	2
98.0	11.390509	0	0	0
99.0	11.390627	0	0	0
100.0	11.390736	0	0	1
101.0	0	3	0	2
102.0	0	0	0	2
103.0	0	3	0	1
104.0	0	1	0	1
109.0	0	0	0	1
111.0	0	1	0	0
118.0	0	1	0	1
121.0	0	0	0	1
122.0	0	1	0	0

