#Mapping quality	mapping quality
0.0	6.212919E7
1.0	4314415.0
2.0	4292360.0
3.0	4631059.0
4.0	4133417.0
5.0	3941134.0
6.0	4144072.0
7.0	3725902.0
8.0	3874281.0
9.0	3976478.0
10.0	3896444.0
11.0	3192796.0
12.0	3374282.0
13.0	4765517.0
14.0	2939077.0
15.0	3801339.0
16.0	3511737.0
17.0	3164259.0
18.0	3433499.0
19.0	3257866.0
20.0	6507165.0
21.0	4014680.0
22.0	4055128.0
23.0	3919581.0
24.0	4389374.0
25.0	4496365.0
26.0	4227928.0
27.0	5839162.0
28.0	4167033.0
29.0	4114171.0
30.0	9507280.0
31.0	4888486.0
32.0	4933238.0
33.0	5901792.0
34.0	5142341.0
35.0	5246100.0
36.0	5626220.0
37.0	5449200.0
38.0	5104745.0
39.0	5589463.0
40.0	1.6145768E7
41.0	6405481.0
42.0	6739839.0
43.0	6960633.0
44.0	6507671.0
45.0	9046348.0
46.0	7640963.0
47.0	7633155.0
48.0	9319559.0
49.0	7401060.0
50.0	1.2149575E7
51.0	8202427.0
52.0	8362131.0
53.0	1.1254646E7
54.0	8698439.0
55.0	1.0535326E7
56.0	1.0545067E7
57.0	9940373.0
58.0	9215768.0
59.0	9166936.0
60.0	1.983356272E9
