## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../pre_dup_removal/merged/SQT019_merged.bam] OUTPUT=SQT019_merged_dedup.bam METRICS_FILE=SQT019_merged_metrics.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 16 15:56:26 CDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
wgs_SQT019	11331594	34978291	721643	6629161	1813954	3018394	406546	0.096579	217129400

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.010838	29164730	0	29515028
2.0	1.871275	2587724	395738	2288498
3.0	2.60369	193362	5330	147046
4.0	3.22713	12863	48	8468
5.0	3.757809	969	1	651
6.0	4.20953	149	0	114
7.0	4.59404	42	0	40
8.0	4.921339	37	0	33
9.0	5.19994	10	0	8
10.0	5.437089	4	0	4
11.0	5.638952	4	0	4
12.0	5.810781	1	0	1
13.0	5.957044	0	0	0
14.0	6.081544	0	0	0
15.0	6.187521	0	0	0
16.0	6.277729	0	0	0
17.0	6.354516	1	0	1
18.0	6.419877	0	0	0
19.0	6.475513	0	0	0
20.0	6.522872	0	0	0
21.0	6.563184	0	0	0
22.0	6.597498	0	0	0
23.0	6.626707	0	0	0
24.0	6.651569	0	0	0
25.0	6.672733	0	0	0
26.0	6.690747	0	0	0
27.0	6.706081	0	0	0
28.0	6.719134	0	0	0
29.0	6.730245	0	0	0
30.0	6.739702	0	0	0
31.0	6.747752	0	0	0
32.0	6.754605	0	0	0
33.0	6.760438	0	0	0
34.0	6.765403	0	0	0
35.0	6.769629	0	0	0
36.0	6.773227	0	0	0
37.0	6.776289	0	0	0
38.0	6.778896	0	0	0
39.0	6.781114	0	0	0
40.0	6.783003	0	0	0
41.0	6.784611	0	0	0
42.0	6.785979	0	0	0
43.0	6.787144	1	0	1
44.0	6.788135	0	0	0
45.0	6.788979	0	0	0
46.0	6.789698	0	0	0
47.0	6.790309	0	0	0
48.0	6.79083	0	0	0
49.0	6.791273	0	0	0
50.0	6.79165	0	0	0
51.0	6.791971	0	0	0
52.0	6.792244	0	0	0
53.0	6.792477	0	0	0
54.0	6.792675	0	0	0
55.0	6.792844	0	0	0
56.0	6.792987	0	0	0
57.0	6.793109	0	0	0
58.0	6.793213	0	0	0
59.0	6.793302	0	0	0
60.0	6.793377	0	0	0
61.0	6.793441	0	0	0
62.0	6.793496	0	0	0
63.0	6.793542	0	0	0
64.0	6.793582	0	0	0
65.0	6.793615	0	0	0
66.0	6.793644	0	0	0
67.0	6.793668	0	0	0
68.0	6.793689	0	0	0
69.0	6.793707	0	0	0
70.0	6.793722	0	0	0
71.0	6.793735	0	0	0
72.0	6.793746	0	0	0
73.0	6.793755	0	0	0
74.0	6.793763	0	0	0
75.0	6.793769	0	0	0
76.0	6.793775	0	0	0
77.0	6.79378	0	0	0
78.0	6.793784	0	0	0
79.0	6.793788	0	0	0
80.0	6.793791	0	0	0
81.0	6.793793	0	0	0
82.0	6.793795	0	0	0
83.0	6.793797	0	0	0
84.0	6.793799	0	0	0
85.0	6.7938	0	0	0
86.0	6.793801	0	0	0
87.0	6.793802	0	0	0
88.0	6.793803	0	0	0
89.0	6.793804	0	0	0
90.0	6.793804	0	0	0
91.0	6.793805	0	0	0
92.0	6.793805	0	0	0
93.0	6.793806	0	0	0
94.0	6.793806	0	0	0
95.0	6.793806	0	0	0
96.0	6.793807	0	0	0
97.0	6.793807	0	0	0
98.0	6.793807	0	0	0
99.0	6.793807	0	0	0
100.0	6.793807	0	0	0

