#Duplication rate	Coverage
1.0	6.7840183E7
2.0	3497755.0
3.0	365025.0
4.0	95752.0
5.0	41378.0
6.0	23955.0
7.0	15529.0
8.0	11823.0
9.0	9264.0
10.0	7589.0
11.0	6307.0
12.0	5549.0
13.0	4768.0
14.0	4194.0
15.0	3698.0
16.0	3408.0
17.0	2941.0
18.0	2592.0
19.0	2294.0
20.0	2090.0
21.0	1853.0
22.0	1663.0
23.0	1578.0
24.0	1243.0
25.0	1154.0
26.0	949.0
27.0	900.0
28.0	731.0
29.0	662.0
30.0	628.0
31.0	508.0
32.0	434.0
33.0	378.0
34.0	318.0
35.0	274.0
36.0	256.0
37.0	220.0
38.0	201.0
39.0	152.0
40.0	174.0
41.0	135.0
42.0	135.0
43.0	118.0
44.0	129.0
45.0	87.0
46.0	76.0
47.0	76.0
48.0	74.0
49.0	60.0
50.0	1101.0
