## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../pre_dup_removal/merged/SQT031_merged.bam] OUTPUT=SQT031_merged_dedup.bam METRICS_FILE=SQT031_merged_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 09 14:15:16 EDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	50252745	93803247	1651941	20943152	11029785	6202980	613700	0.098528	745486290

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.00618	82218584	0	82760430
2.0	1.893395	4992801	602745	4513587
3.0	2.675712	306605	5370	249433
4.0	3.365533	32526	69	27797
5.0	3.973793	11670	2	11230
6.0	4.510137	7344	0	7286
7.0	4.983066	5342	0	5306
8.0	5.40008	3974	0	3955
9.0	5.767788	3152	0	3118
10.0	6.092021	2559	0	2558
11.0	6.377918	2016	0	1981
12.0	6.630013	1658	0	1651
13.0	6.852302	1443	0	1456
14.0	7.048308	1161	0	1140
15.0	7.221141	1023	0	1010
16.0	7.373538	851	0	847
17.0	7.507917	766	0	769
18.0	7.626408	672	0	662
19.0	7.730889	559	0	572
20.0	7.823017	541	0	517
21.0	7.904252	445	0	451
22.0	7.975883	379	0	359
23.0	8.039045	343	0	357
24.0	8.094738	349	0	337
25.0	8.143847	289	0	282
26.0	8.187149	265	0	262
27.0	8.225332	252	0	255
28.0	8.259	227	0	216
29.0	8.288688	178	0	179
30.0	8.314865	174	0	175
31.0	8.337947	134	0	133
32.0	8.358301	159	0	156
33.0	8.376247	141	0	139
34.0	8.392072	126	0	122
35.0	8.406026	103	0	104
36.0	8.41833	105	0	102
37.0	8.42918	94	0	90
38.0	8.438746	81	0	97
39.0	8.447181	85	0	76
40.0	8.45462	77	0	75
41.0	8.461178	62	0	56
42.0	8.466961	56	0	55
43.0	8.472061	44	0	44
44.0	8.476557	41	0	41
45.0	8.480522	42	0	48
46.0	8.484018	36	0	33
47.0	8.487101	44	0	34
48.0	8.489819	36	0	43
49.0	8.492216	44	0	37
50.0	8.49433	37	0	42
51.0	8.496193	31	0	28
52.0	8.497836	23	0	22
53.0	8.499285	26	0	28
54.0	8.500563	26	0	23
55.0	8.50169	24	0	24
56.0	8.502683	24	0	24
57.0	8.503559	19	0	24
58.0	8.504331	25	0	24
59.0	8.505012	21	0	14
60.0	8.505613	19	0	19
61.0	8.506142	20	0	27
62.0	8.506609	19	0	16
63.0	8.507021	18	0	21
64.0	8.507384	14	0	11
65.0	8.507704	13	0	12
66.0	8.507986	12	0	10
67.0	8.508235	5	0	6
68.0	8.508455	10	0	7
69.0	8.508648	9	0	14
70.0	8.508819	16	0	17
71.0	8.508969	13	0	10
72.0	8.509102	7	0	4
73.0	8.509219	6	0	8
74.0	8.509322	7	0	6
75.0	8.509413	4	0	6
76.0	8.509493	7	0	8
77.0	8.509564	8	0	5
78.0	8.509626	3	0	5
79.0	8.509681	7	0	7
80.0	8.50973	9	0	7
81.0	8.509773	4	0	3
82.0	8.50981	4	0	4
83.0	8.509844	7	0	6
84.0	8.509873	1	0	2
85.0	8.509899	2	0	4
86.0	8.509922	4	0	4
87.0	8.509942	6	0	4
88.0	8.509959	4	0	5
89.0	8.509975	4	0	5
90.0	8.509989	5	0	5
91.0	8.510001	6	0	7
92.0	8.510012	3	0	0
93.0	8.510021	2	0	1
94.0	8.510029	0	0	1
95.0	8.510037	2	0	3
96.0	8.510043	4	0	3
97.0	8.510049	3	0	4
98.0	8.510054	1	0	3
99.0	8.510058	3	0	1
100.0	8.510062	3	0	3
101.0	0	4	0	4
102.0	0	2	0	4
103.0	0	2	0	2
104.0	0	2	0	2
105.0	0	4	0	2
106.0	0	2	0	2
107.0	0	4	0	2
109.0	0	1	0	1
110.0	0	0	0	2
111.0	0	3	0	1
114.0	0	1	0	1
115.0	0	2	0	2
116.0	0	0	0	1
117.0	0	1	0	0
118.0	0	0	0	1
119.0	0	0	0	1
120.0	0	2	0	0
121.0	0	1	0	1
122.0	0	1	0	2
123.0	0	1	0	0
125.0	0	2	0	3
127.0	0	1	0	2
128.0	0	2	0	0
129.0	0	0	0	1
130.0	0	0	0	2
131.0	0	3	0	1
132.0	0	0	0	1
133.0	0	2	0	0
138.0	0	1	0	1
139.0	0	1	0	1
142.0	0	1	0	1
144.0	0	1	0	1
145.0	0	0	0	1
147.0	0	1	0	0
148.0	0	0	0	1
150.0	0	1	0	0
160.0	0	0	0	1
161.0	0	1	0	0
163.0	0	0	0	2
164.0	0	2	0	0
167.0	0	0	0	1
169.0	0	1	0	0
173.0	0	0	0	1
175.0	0	1	0	0
180.0	0	0	0	1
181.0	0	1	0	0
185.0	0	0	0	1
188.0	0	1	0	0
192.0	0	1	0	1
196.0	0	0	0	1
197.0	0	1	0	0
213.0	0	0	0	1
214.0	0	1	0	0

