#Insert size (bp)	insert size
2.0	114.0
3.0	114.0
4.0	120.0
5.0	138.0
6.0	137.0
7.0	130.0
8.0	140.0
9.0	142.0
10.0	122.0
11.0	183.0
12.0	167.0
13.0	141.0
14.0	119.0
15.0	146.0
16.0	168.0
17.0	148.0
18.0	173.0
19.0	4842.0
20.0	4918.0
21.0	3420.0
22.0	1883.0
23.0	1031.0
24.0	683.0
25.0	559.0
26.0	459.0
27.0	445.0
28.0	448.0
29.0	418.0
30.0	440.0
31.0	447.0
32.0	456.0
33.0	487.0
34.0	542.0
35.0	625.0
36.0	597.0
37.0	667.0
38.0	670.0
39.0	760.0
40.0	701.0
41.0	744.0
42.0	843.0
43.0	857.0
44.0	915.0
45.0	1044.0
46.0	1007.0
47.0	1072.0
48.0	1078.0
49.0	1116.0
50.0	1172.0
51.0	1257.0
52.0	1325.0
53.0	1418.0
54.0	1447.0
55.0	1473.0
56.0	1482.0
57.0	1552.0
58.0	1576.0
59.0	1551.0
60.0	1667.0
61.0	1734.0
62.0	1742.0
63.0	1770.0
64.0	1848.0
65.0	1888.0
66.0	1812.0
67.0	1944.0
68.0	2015.0
69.0	1972.0
70.0	2031.0
71.0	2106.0
72.0	2104.0
73.0	2092.0
74.0	2182.0
75.0	2148.0
76.0	2241.0
77.0	2344.0
78.0	2235.0
79.0	2383.0
80.0	2329.0
81.0	2446.0
82.0	2469.0
83.0	2535.0
84.0	2446.0
85.0	2499.0
86.0	2467.0
87.0	2477.0
88.0	2617.0
89.0	2553.0
90.0	2502.0
91.0	2473.0
92.0	2485.0
93.0	2522.0
94.0	2610.0
95.0	2589.0
96.0	2345.0
97.0	2392.0
98.0	2412.0
99.0	2452.0
100.0	2480.0
101.0	2495.0
102.0	2395.0
103.0	2423.0
104.0	2470.0
105.0	2451.0
106.0	2419.0
107.0	2348.0
108.0	2315.0
109.0	2296.0
110.0	2329.0
111.0	2401.0
112.0	2239.0
113.0	2333.0
114.0	2264.0
115.0	2286.0
116.0	2279.0
117.0	2308.0
118.0	2072.0
119.0	1938.0
120.0	1938.0
121.0	1965.0
122.0	1948.0
123.0	2026.0
124.0	2020.0
125.0	2159.0
126.0	2221.0
127.0	2345.0
128.0	2507.0
129.0	2588.0
130.0	2502.0
131.0	2737.0
132.0	2879.0
133.0	2887.0
134.0	3118.0
135.0	3328.0
136.0	3517.0
137.0	3789.0
138.0	4197.0
139.0	4586.0
140.0	5368.0
141.0	5893.0
142.0	7071.0
143.0	10087.0
144.0	105854.0
145.0	110807.0
146.0	113101.0
147.0	113586.0
148.0	115950.0
149.0	116687.0
150.0	118085.0
151.0	119152.0
152.0	120266.0
153.0	121531.0
154.0	122853.0
155.0	123214.0
156.0	124158.0
157.0	125418.0
158.0	125756.0
159.0	126775.0
160.0	127462.0
161.0	128771.0
162.0	128868.0
163.0	131093.0
164.0	131451.0
165.0	132672.0
166.0	133319.0
167.0	133641.0
168.0	134383.0
169.0	135373.0
170.0	135954.0
171.0	135963.0
172.0	136224.0
173.0	137429.0
