#GC Content (%)	Sample
1.0	1.1033374855600706E-7
2.0	0.0
3.0	0.0
4.0	2.2066749711201413E-7
5.0	7.723362398920495E-7
6.0	1.2136712341160778E-6
7.0	1.434338731228092E-6
8.0	1.544672479784099E-6
9.0	2.5376762167881624E-6
10.0	1.8756737254521203E-6
11.0	2.7583437139001766E-6
12.0	4.744351187908304E-6
13.0	6.620024913360423E-6
14.0	1.2247046089716783E-5
15.0	1.9860074740081274E-5
16.0	3.398279455525018E-5
17.0	7.083426657295653E-5
18.0	1.2710447833652014E-4
19.0	2.4350658306310758E-4
20.0	4.7344211505382635E-4
21.0	8.665612611588794E-4
22.0	0.0014980013041449077
23.0	0.002551798936603331
24.0	0.004140825583306945
25.0	0.007191112395886316
26.0	0.008588709988845259
27.0	0.013059874815328887
28.0	0.01726932799023767
29.0	0.022182158812190995
30.0	0.027415178172453855
31.0	0.03277309533608211
32.0	0.03826727467917705
33.0	0.04306116572018699
34.0	0.046324617334976566
35.0	0.04778036081342454
36.0	0.04830234977784299
37.0	0.04857807381548446
38.0	0.04751986283308379
39.0	0.04551719496304371
40.0	0.04314832938154624
41.0	0.04095412212401292
42.0	0.03879047731482963
43.0	0.03696853612492428
44.0	0.034963330578667406
45.0	0.03175791451561829
46.0	0.028419656619307745
47.0	0.02540875895496287
48.0	0.022806427161520884
49.0	0.02076845249194288
50.0	0.01889487510771332
51.0	0.01883055053230517
52.0	0.01391121001918704
53.0	0.014225881870068771
54.0	0.012967415134038953
55.0	0.01174149685383316
56.0	0.01059612221007325
57.0	0.009555233626195881
58.0	0.008709966778508311
59.0	0.007862824257095289
60.0	0.007235576896554387
61.0	0.006602923182334243
62.0	0.005904841555220386
63.0	0.005184141509652548
64.0	0.004267157725403573
65.0	0.00347639574950267
66.0	0.0027373803016745354
67.0	0.00211995264475512
68.0	0.0016526892196204299
69.0	0.0012605630772523806
70.0	9.611172836713775E-4
71.0	7.090046682209014E-4
72.0	5.256299781208176E-4
73.0	3.977531635444055E-4
74.0	2.9624611487287896E-4
75.0	2.4582359178278374E-4
76.0	1.8833970878510408E-4
77.0	1.4861955930494153E-4
78.0	1.186087796977076E-4
79.0	1.0062437868307844E-4
80.0	9.04736738159258E-5
81.0	5.980089171735583E-5
82.0	4.5016169410850884E-5
83.0	3.332079206391413E-5
84.0	2.570776341354965E-5
85.0	2.008074223719329E-5
86.0	1.621906103773304E-5
87.0	1.1254042352712721E-5
88.0	9.488702375816608E-6
89.0	7.061359907584452E-6
90.0	3.7513474509042407E-6
91.0	1.6550062283401061E-6
92.0	9.930037370040636E-7
93.0	6.620024913360423E-7
94.0	4.4133499422402826E-7
95.0	3.3100124566802117E-7
96.0	3.3100124566802117E-7
97.0	2.2066749711201413E-7
98.0	3.3100124566802117E-7
99.0	1.1033374855600707E-6
100.0	3.644323714804913E-4
