Sample	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage
JPV009_merged	0.085072															
JPV009_merged_dedup		2.6509	90.62702748994373	57165991.0	63078303.0	1.11										
JPV009_merged_dedup_flagstats							63078303	57165991								
JPV009_merged_dedup_qualimap									41.08864268295273	249	80.07082853360217	12.662941463080228	3.0813214172657926	0.35209364989694236	0.09938444679914352	2
JPV016_merged	0.087283															
JPV016_merged_dedup		2.6287	90.53378147755367	56884325.0	62832154.0	1.09										
JPV016_merged_dedup_flagstats							62832154	56884325								
JPV016_merged_dedup_qualimap									40.38867976560179	247	80.34574572159455	12.331170699992311	2.974643221824708	0.32116320146972593	0.08921209907205181	2
JPV022_merged	0.086755															
JPV022_merged_dedup		2.5614	90.63164703088002	56446384.0	62281097.0	1.08										
JPV022_merged_dedup_flagstats							62281097	56446384								
JPV022_merged_dedup_qualimap									40.9696113186507	221	78.56448807920063	12.334044823687739	2.9445115949441205	0.30998854403946235	0.08848023077644046	2
JPV023_merged	0.085909															
JPV023_merged_dedup		2.8275	91.20381718503586	60548371.0	66387979.0	1.09										
JPV023_merged_dedup_flagstats							66387979	60548371								
JPV023_merged_dedup_qualimap									40.79721362229101	249	82.59393718357477	14.00793271637145	3.2244107796726045	0.3881602473729473	0.11194945863675534	2
JPV029_merged	0.086989															
JPV029_merged_dedup		2.9071	90.68807535765238	62575181.0	69000451.0	1.09										
JPV029_merged_dedup_flagstats							69000451	62575181								
JPV029_merged_dedup_qualimap									40.76729841483174	249	83.34332872557152	14.723461470660204	3.408998051212146	0.4061981635765372	0.1140354164753704	2
SCCA1009_merged	0.05096															
SCCA1009_merged_dedup		9.9766	93.96292766265219	207167158.0	220477547.0	1.0999999999999999										
SCCA1009_merged_dedup_flagstats							220477547	207167158								
SCCA1009_merged_dedup_qualimap									40.631234151364794	325	98.90092029456356	81.63383218144119	27.714650321952362	3.654257612925978	1.6716418153461106	7
SCCA1011_merged	0.052361															
SCCA1011_merged_dedup		7.8144	94.1045648408427	162304122.0	172472103.0	1.11										
SCCA1011_merged_dedup_flagstats							172472103	162304122								
SCCA1011_merged_dedup_qualimap									40.694804256674985	288	98.2123055750582	65.10003518267249	15.798821006741134	2.66399221354931	1.1027866423290142	6
SCCA1012_merged	0.052615															
SCCA1012_merged_dedup		8.278	94.08705174926392	171447028.0	182221703.0	1.09										
SCCA1012_merged_dedup_flagstats							182221703	171447028								
SCCA1012_merged_dedup_qualimap									40.77847799217203	325	98.52724496570052	70.86338914498087	18.164844933706174	2.743141754018353	1.1510129447209507	6
SCCA1017_merged	0.057561															
SCCA1017_merged_dedup		9.341	94.64281415228027	193690762.0	204654483.0	1.18										
SCCA1017_merged_dedup_flagstats							204654483	193690762								
SCCA1017_merged_dedup_qualimap									40.19032849075892	273	98.50361391343085	71.59583494346134	21.713230312049873	3.922339602128221	1.790399265245007	6
SCCA1018_merged	0.049273															
SCCA1018_merged_dedup		7.3328	93.9262806734782	153341074.0	163256836.0	1.13										
SCCA1018_merged_dedup_flagstats							163256836	153341074								
SCCA1018_merged_dedup_qualimap									40.96103413689762	276	97.81556277335991	59.700562336412695	14.038436049231827	2.44977296042471	0.9828482223276775	5
SCCA1020_merged	0.054799															
SCCA1020_merged_dedup		8.8461	93.69739340446792	184379719.0	196782122.0	1.1199999999999999										
SCCA1020_merged_dedup_flagstats							196782122	184379719								
SCCA1020_merged_dedup_qualimap									40.59073245024303	316	98.65027300296435	73.2450199990746	20.051762904530886	3.2498848755720253	1.4387713755499745	6
SCCA1026_merged	0.04673															
SCCA1026_merged_dedup		6.6781	94.26346288027105	138628195.0	147064611.0	1.1199999999999999										
SCCA1026_merged_dedup_flagstats							147064611	138628195								
SCCA1026_merged_dedup_qualimap									40.78852229143433	310	97.63334983814441	53.69974749865389	11.08727551695557	2.1046986751569157	0.7954495180677997	5
SCCA1033_merged	0.053457															
SCCA1033_merged_dedup		9.6375	94.66685159609698	198988871.0	210199101.0	1.08										
SCCA1033_merged_dedup_flagstats							210199101	198988871								
SCCA1033_merged_dedup_qualimap									40.19892187809492	304	98.98791295552255	78.59549041801515	27.045023828587446	3.4917265537390585	1.633729936545495	7
SCCA1034_merged	0.057459															
SCCA1034_merged_dedup		8.5591	94.31646435172622	177367591.0	188055810.0	1.09										
SCCA1034_merged_dedup_flagstats							188055810	177367591								
SCCA1034_merged_dedup_qualimap									40.602579975522765	300	98.61167692232058	72.57436540923716	19.80555654925783	2.8671583551454947	1.2240977638115689	6
SCCA1040_merged	0.050594															
SCCA1040_merged_dedup		8.1979	93.88905911697573	170710413.0	181821412.0	1.15										
SCCA1040_merged_dedup_flagstats							181821412	170710413								
SCCA1040_merged_dedup_qualimap									40.48725470508903	297	98.44582771684355	66.55956085839321	17.022145345066804	3.043466120178106	1.3280007203587298	6
SQT017_merged	0.089621															
SQT017_merged_dedup		3.1148	90.3494016761535	67522123.0	74734444.0	1.0699999999999998										
SQT017_merged_dedup_flagstats							74734444	67522123								
SQT017_merged_dedup_qualimap									40.68767993879909	250	85.34660597674488	16.609834900216292	3.719037849119629	0.4863023117773374	0.13361364816100263	2
SQT019_merged	0.096579															
SQT019_merged_dedup		3.4329	91.7943983380353	74159077.0	80788238.0	1.0699999999999998										
SQT019_merged_dedup_flagstats							80788238	74159077								
SQT019_merged_dedup_qualimap									40.39905540487102	241	87.42184749466767	19.825024956300414	4.24888602257463	0.59283296143342	0.16694659945233703	2
SQT031_merged	0.098769															
SQT031_merged_dedup		3.5475	91.32548572062646	78121668.0	85542023.0	1.0999999999999999										
SQT031_merged_dedup_flagstats							85542023	78121668								
SQT031_merged_dedup_qualimap									40.85001744077219	229	87.01536397171783	20.634927674441432	4.669913070328375	0.7241327620695837	0.21797144117993084	2
SQT034_merged	0.090372															
SQT034_merged_dedup		3.2083	91.13862012790092	69046810.0	75760210.0	1.1199999999999999										
SQT034_merged_dedup_flagstats							75760210	69046810								
SQT034_merged_dedup_qualimap									40.88216057753097	251	84.83338426682027	16.960173238329645	4.1198244851035355	0.6083065503635346	0.17864342120260948	2
SQT047_merged	0.088576															
SQT047_merged_dedup		3.1723	90.52653241834143	68234458.0	75375093.0	1.11										
SQT047_merged_dedup_flagstats							75375093	68234458								
SQT047_merged_dedup_qualimap									40.435090463871084	258	85.25382404398924	16.721351062986113	3.9164285713159255	0.5660915843440394	0.16673057310077635	2
SQT056_merged	0.086829															
SQT056_merged_dedup		3.2233	91.15760564235914	69745056.0	76510408.0	1.11										
SQT056_merged_dedup_flagstats							76510408	69745056								
SQT056_merged_dedup_qualimap									40.52038345313181	242	84.86548172639628	17.26278811605354	4.194127817843716	0.5987132683400757	0.16585247322190697	2
SQT096_merged	0.093359															
SQT096_merged_dedup		3.2866	90.13296667963186	70453040.0	78165673.0	1.11										
SQT096_merged_dedup_flagstats							78165673	70453040								
SQT096_merged_dedup_qualimap									40.96377312741715	257	86.325396689985	18.058812366511113	4.048869347698749	0.5523458155177836	0.15691753523432062	2
SQT118_merged	0.08854															
SQT118_merged_dedup		3.6526	91.00143613233239	78849027.0	86645915.0	1.11										
SQT118_merged_dedup_flagstats							86645915	78849027								
SQT118_merged_dedup_qualimap									40.646693839245415	236	87.89636148783816	21.43321082458335	4.757457482906103	0.7343173993589313	0.2101261185140853	2
SQT121_merged	0.081846															
SQT121_merged_dedup		2.5586	90.57186099618811	55376489.0	61140942.0	1.11										
SQT121_merged_dedup_flagstats							61140942	55376489								
SQT121_merged_dedup_qualimap									40.511583772204816	242	79.07791157237139	12.032292168864888	2.9543602938524978	0.30514997288830215	0.08593213567045345	2
scaa0503_merged	0.089969															
scaa0503_merged_dedup		3.0672	90.7580941069741	66671838.0	73461038.0	1.1199999999999999										
scaa0503_merged_dedup_flagstats							73461038	66671838								
scaa0503_merged_dedup_qualimap									40.80057996022425	235	83.55159720216082	16.162331553416852	3.8296189751079917	0.5008043504288859	0.1448877942151928	2
scca0200_merged	0.067803															
scca0200_merged_dedup		4.0599	94.90078310509901	89109813.0	93897869.0	1.11										
scca0200_merged_dedup_flagstats							93897869	89109813								
scca0200_merged_dedup_qualimap									40.441619100616094	228	89.92102541885396	25.016648911516953	5.6133967947005905	0.9469326870143144	0.29278184267954616	3
scca0201_merged	0.056766															
scca0201_merged_dedup		3.921	94.55533269232662	87414826.0	92448330.0	1.09										
scca0201_merged_dedup_flagstats							92448330	87414826								
scca0201_merged_dedup_qualimap									40.38721315062204	237	90.44331483666127	23.84027798239662	5.0949724087037795	0.805020600737473	0.2427696466742469	3
scca0207_merged	0.057164															
scca0207_merged_dedup		3.7099	94.3501783039083	79981851.0	84771277.0	1.0699999999999998										
scca0207_merged_dedup_flagstats							84771277	79981851								
scca0207_merged_dedup_qualimap									40.50267056714527	241	89.03726310641572	22.057508972477983	4.730696747980222	0.705882477967937	0.20619459519913125	3
scca0506_merged	0.091459															
scca0506_merged_dedup		2.9903	90.9060353550723	66047400.0	72654582.0	1.1199999999999999										
scca0506_merged_dedup_flagstats							72654582	66047400								
scca0506_merged_dedup_qualimap									40.83307381873511	222	82.12884409888544	15.492657251523624	3.834624805070316	0.4870939229738572	0.1374148879084584	2
scca0507_merged	0.086493															
scca0507_merged_dedup		3.1737	91.38985911007435	69973183.0	76565588.0	1.11										
scca0507_merged_dedup_flagstats							76565588	69973183								
scca0507_merged_dedup_qualimap									40.36755715655879	210	83.09089948296419	17.10405662722267	4.174688039087775	0.5872711175764344	0.1642074833468937	2
scca0509_merged	0.086672															
scca0509_merged_dedup		3.2608	90.51683531340272	71093454.0	78541692.0	1.11										
scca0509_merged_dedup_flagstats							78541692	71093454								
scca0509_merged_dedup_qualimap									40.75788579798136	223	84.78354490610381	18.11021040601507	4.110905068904116	0.5533448574760782	0.1632005206591683	2
scca0539_merged	0.091935															
scca0539_merged_dedup		2.5815	90.72117469714043	55832049.0	61542467.0	1.11										
scca0539_merged_dedup_flagstats							61542467	55832049								
scca0539_merged_dedup_qualimap									40.441735713059494	250	79.61700380537557	11.842815889242384	3.0145061219118863	0.3158906951102433	0.08546477711507107	2
scca0540_merged	0.080937															
scca0540_merged_dedup		2.517	91.28497659550355	54313682.0	59499037.0	1.13										
scca0540_merged_dedup_flagstats							59499037	54313682								
scca0540_merged_dedup_qualimap									40.74338849617671	246	77.9132026564146	11.410994343552087	2.99913930299374	0.349370623883123	0.10065982631336418	2
scca0548_merged	0.140305															
scca0548_merged_dedup		3.2604	93.90169729314754	69616553.0	74137694.0	1.08										
scca0548_merged_dedup_flagstats							74137694	69616553								
scca0548_merged_dedup_qualimap									40.75153452230041	232	85.42463841021245	18.104771422261678	4.137542375422949	0.5232854406534858	0.14630009934356447	2
scca0549_merged	0.138189															
scca0549_merged_dedup		3.3836	93.85964785373648	73959362.0	78797826.0	1.0999999999999999										
scca0549_merged_dedup_flagstats							78797826	73959362								
scca0549_merged_dedup_qualimap									40.67587579043166	219	85.92656515996875	19.179346024711705	4.325353774549447	0.5822215282479275	0.1611581445919056	2
scca0550_merged	0.13869															
scca0550_merged_dedup		2.9877	94.19647968782172	65295437.0	69318341.0	1.08										
scca0550_merged_dedup_flagstats							69318341	65295437								
scca0550_merged_dedup_qualimap									40.62581629487157	218	82.57508183388633	15.748357364677247	3.655713961572261	0.42648791119022994	0.11404006945992391	2
scca0551_merged	0.147505															
scca0551_merged_dedup		3.0516	94.39808270625637	67354751.0	71351821.0	1.13										
scca0551_merged_dedup_flagstats							71351821	67354751								
scca0551_merged_dedup_qualimap									40.7328996352162	206	81.62104450120536	16.11406593152949	3.9272083288815636	0.5297813622798472	0.1473495782336605	2
scca0554_merged	0.111303															
scca0554_merged_dedup		2.7957	93.62133028626658	62177704.0	66414036.0	1.06										
scca0554_merged_dedup_flagstats							66414036	62177704								
scca0554_merged_dedup_qualimap									40.47411358044697	225	81.84191535558455	13.934366366657994	3.1630059463423477	0.3561369513980789	0.10118149336784822	2
scca0561_merged	0.051752															
scca0561_merged_dedup		3.442	94.81409964288463	77605625.0	81850300.0	1.02										
scca0561_merged_dedup_flagstats							81850300	77605625								
