Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
JPV009_merged	wgs_JPV009	7714916.0	27190001.0	353614.0	5912312.0	1132199.0	2075171.0	262564.0	0.085072	190931855.0
JPV016_merged	wgs_JPV016	7648818.0	27108027.0	419190.0	5947829.0	1191529.0	2104104.0	267365.0	0.087283	187061351.0
JPV022_merged	wgs_JPV022	9800312.0	25385929.0	1129141.0	5834713.0	1340111.0	1957408.0	230267.0	0.086755	174710184.0
JPV023_merged	wgs_JPV023	6916081.0	29442359.0	400465.0	5839608.0	1051297.0	2300798.0	305145.0	0.085909	202879108.0
JPV029_merged	wgs_JPV029	7726133.0	30176832.0	417608.0	6425270.0	1157870.0	2382177.0	289471.0	0.086989	203337617.0
SCCA1009_merged	wgs_SCCA1009	13739106.0	101661538.0	1166558.0	13310389.0	2666980.0	4197301.0	398832.0	0.05096	1315802596.0
SCCA1011_merged	wgs_SCCA1011	13319623.0	78458392.0	981412.0	10167981.0	2258985.0	3327356.0	306788.0	0.052361	984792127.0
SCCA1012_merged	wgs_SCCA1012	11712302.0	84173729.0	861196.0	10774675.0	2087120.0	3693404.0	373161.0	0.052615	1029411334.0
SCCA1017_merged	wgs_SCCA1017	16872445.0	93581060.0	1400535.0	10963721.0	3398724.0	4172807.0	361248.0	0.057561	1108654979.0
SCCA1018_merged	wgs_SCCA1018	15678184.0	72277564.0	1002882.0	9915762.0	2476998.0	2709061.0	237311.0	0.049273	1025669297.0
SCCA1020_merged	wgs_SCCA1020	13472446.0	90163843.0	1199565.0	12402403.0	2561478.0	4029250.0	381939.0	0.054799	1074897495.0
SCCA1026_merged	wgs_SCCA1026	9855468.0	67345840.0	835726.0	8436416.0	1691053.0	2531813.0	209109.0	0.04673	947768359.0
SCCA1033_merged	wgs_SCCA1033	14012221.0	97189631.0	1737311.0	11210230.0	2541613.0	4299155.0	431426.0	0.053457	1177818042.0
SCCA1034_merged	wgs_SCCA1034	13231619.0	86767490.0	1332323.0	10688219.0	2365807.0	4182762.0	399577.0	0.057459	956860068.0
SCCA1040_merged	wgs_SCCA1040	12845259.0	82686280.0	1509338.0	11110999.0	2214036.0	3401354.0	317378.0	0.050594	1072350832.0
SQT017_merged	wgs_SQT017	8809196.0	32415733.0	481238.0	7212321.0	1354989.0	2622394.0	351274.0	0.089621	215529240.0
SQT019_merged	wgs_SQT019	11331594.0	34978291.0	721643.0	6629161.0	1813954.0	3018394.0	406546.0	0.096579	217129400.0
SQT031_merged	wgs_SQT031	17867313.0	34127261.0	506037.0	7420355.0	2755388.0	2875408.0	361958.0	0.098769	215398387.0
SQT034_merged	wgs_SQT034	9577583.0	32978769.0	337931.0	6713400.0	1543836.0	2641203.0	378113.0	0.090372	223814813.0
SQT047_merged	wgs_SQT047	7875310.0	33183495.0	568223.0	7140635.0	1253837.0	2661114.0	353042.0	0.088576	222416532.0
SQT056_merged	wgs_SQT056	9833047.0	32899153.0	680733.0	6765352.0	1481006.0	2543012.0	328272.0	0.086829	228515736.0
SQT096_merged	wgs_SQT096	7899022.0	34688802.0	390910.0	7712633.0	1325120.0	2944688.0	374350.0	0.093359	217464948.0
SQT118_merged	wgs_SQT118	10903540.0	37336239.0	849928.0	7796888.0	1762583.0	2907168.0	380143.0	0.08854	257764971.0
SQT121_merged	wgs_SQT121	7004284.0	26320607.0	612756.0	5764453.0	988395.0	1946685.0	225957.0	0.081846	189063911.0
scaa0503_merged	wgs_scaa0503	11099256.0	30814257.0	487291.0	6789200.0	1719407.0	2411908.0	347726.0	0.089969	214562601.0
scca0200_merged	wgs_scca0200	14193725.0	38887035.0	3377716.0	4788056.0	1968522.0	2133588.0	155846.0	0.067803	366223519.0
scca0201_merged	wgs_scca0201	12398280.0	37713918.0	4574235.0	5033504.0	1616865.0	1684330.0	119141.0	0.056766	438879974.0
scca0207_merged	wgs_scca0207	11378927.0	35832816.0	1684462.0	4789426.0	1433422.0	1656874.0	121087.0	0.057164	403212030.0
scca0506_merged	wgs_scca0506	13072222.0	29343972.0	850352.0	6607182.0	1929358.0	2316880.0	286510.0	0.091459	198123629.0
scca0507_merged	wgs_scca0507	12821020.0	31007088.0	1610740.0	6592405.0	1902915.0	2284919.0	267209.0	0.086493	223798713.0
scca0509_merged	wgs_scca0509	12054806.0	32420786.0	861823.0	7448238.0	1785427.0	2439660.0	305357.0	0.086672	230796617.0
scca0539_merged	wgs_scca0539	7227622.0	26846672.0	511841.0	5710418.0	1139916.0	2230421.0	287068.0	0.091935	172528081.0
scca0540_merged	wgs_scca0540	7401913.0	25622850.0	412815.0	5185355.0	1064080.0	1841333.0	246292.0	0.080937	193315621.0
scca0548_merged	wgs_scca0548	11357676.0	34364286.0	766827.0	4521141.0	2172978.0	4531772.0	697000.0	0.140305	136341065.0
scca0549_merged	wgs_scca0549	12324361.0	35314705.0	2468872.0	4838464.0	2378395.0	4542443.0	641131.0	0.138189	142294975.0
scca0550_merged	wgs_scca0550	10048530.0	31395809.0	2557492.0	4022904.0	1915389.0	4093407.0	575723.0	0.13869	124532969.0
scca0551_merged	wgs_scca0551	13826036.0	31028482.0	2664897.0	3997070.0	2748380.0	4222383.0	598511.0	0.147505	117403017.0
scca0554_merged	wgs_scca0554	9722954.0	28584032.0	2731842.0	4236332.0	1538632.0	2953262.0	377967.0	0.111303	144911750.0
scca0561_merged	wgs_scca0561	14434464.0	31600005.0	3988876.0	4244675.0	1374285.0	1321720.0	99616.0	0.051752	395400281.0
scca0583_merged	wgs_scca0583	14398734.0	39903864.0	2065099.0	5228094.0	2012893.0	2174439.0	157777.0	0.06753	378310944.0
scca0586_merged	wgs_scca0586	14103646.0	35403526.0	4828697.0	4778935.0	1605773.0	1717328.0	124101.0	0.059362	378752272.0
scca0587_merged	wgs_scca0587	11809070.0	40639422.0	3339608.0	5369227.0	1485300.0	2102718.0	144419.0	0.061133	405081210.0
scca1001_merged	wgs_scca1001	8352826.0	29631128.0	362460.0	6575545.0	1318086.0	2386687.0	318623.0	0.09009	197845798.0
scca1025_merged	wgs_scca1025	9087749.0	28197565.0	487523.0	5995289.0	1385383.0	2221862.0	267303.0	0.089017	190136037.0
scca1029_merged	wgs_scca1029	9805733.0	28767917.0	1857716.0	6325292.0	1556798.0	2162214.0	274278.0	0.087334	205413215.0
scca1039_merged	wgs_scca1039	6265827.0	26146358.0	345751.0	5420232.0	882286.0	1956690.0	244082.0	0.081895	187146257.0
scca1046_merged	wgs_scca1046	12663768.0	29435328.0	1678460.0	6327883.0	1834268.0	2317487.0	284965.0	0.090435	199202658.0
