Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
JPV009_merged_dedup	JPV009_merged_dedup.bam	63078303.0	57165991.0	7463463945.0	7454733704.0	38753.4928	250.0	43.2798	0.0111	2.6509	90.62702748994373
JPV016_merged_dedup	JPV016_merged_dedup.bam	62832154.0	56884325.0	7400921052.0	7392361073.0	40534.2416	248.0	42.658	0.0109	2.6287	90.53378147755367
JPV022_merged_dedup	JPV022_merged_dedup.bam	62281097.0	56446384.0	7211364481.0	7203139229.0	125027.0023	222.0	41.4753	0.0108	2.5614	90.63164703088002
JPV023_merged_dedup	JPV023_merged_dedup.bam	66387979.0	60548371.0	7960516882.0	7951334028.0	38577.2107	250.0	43.0012	0.0109	2.8275	91.20381718503586
JPV029_merged_dedup	JPV029_merged_dedup.bam	69000451.0	62575181.0	8184761785.0	8175294694.0	40716.5413	250.0	43.0877	0.0109	2.9071	90.68807535765238
SCCA1009_merged_dedup	SCCA1009_merged_dedup.bam	220477547.0	207167158.0	28087977084.0	28055480882.0	43272.6605	326.0	43.6697	0.011	9.9766	93.96292766265219
SCCA1011_merged_dedup	SCCA1011_merged_dedup.bam	172472103.0	162304122.0	22000714875.0	21974952013.0	44025.5918	289.0	43.6757	0.0111	7.8144	94.1045648408427
SCCA1012_merged_dedup	SCCA1012_merged_dedup.bam	182221703.0	171447028.0	23305875222.0	23278908336.0	37069.836	326.0	43.7353	0.0109	8.278	94.08705174926392
SCCA1017_merged_dedup	SCCA1017_merged_dedup.bam	204654483.0	193690762.0	26298524425.0	26266375787.0	47001.7298	274.0	43.3487	0.0118	9.341	94.64281415228027
SCCA1018_merged_dedup	SCCA1018_merged_dedup.bam	163256836.0	153341074.0	20644734893.0	20620376744.0	46311.3685	278.0	43.7963	0.0113	7.3328	93.9262806734782
SCCA1020_merged_dedup	SCCA1020_merged_dedup.bam	196782122.0	184379719.0	24905252118.0	24876104464.0	49141.5595	317.0	43.5014	0.0112	8.8461	93.69739340446792
SCCA1026_merged_dedup	SCCA1026_merged_dedup.bam	147064611.0	138628195.0	18801493250.0	18779526613.0	47430.1027	311.0	43.7346	0.0112	6.6781	94.26346288027105
SCCA1033_merged_dedup	SCCA1033_merged_dedup.bam	210199101.0	198988871.0	27133286914.0	27101199423.0	76304.1542	305.0	44.19	0.0108	9.6375	94.66685159609698
SCCA1034_merged_dedup	SCCA1034_merged_dedup.bam	188055810.0	177367591.0	24097284462.0	24069195618.0	57409.3397	301.0	43.7247	0.0109	8.5591	94.31646435172622
SCCA1040_merged_dedup	SCCA1040_merged_dedup.bam	181821412.0	170710413.0	23080479117.0	23052499895.0	71274.5052	298.0	43.853	0.0115	8.1979	93.88905911697573
SQT017_merged_dedup	SQT017_merged_dedup.bam	74734444.0	67522123.0	8769408534.0	8759407981.0	42090.5057	251.0	42.8914	0.0107	3.1148	90.3494016761535
SQT019_merged_dedup	SQT019_merged_dedup.bam	80788238.0	74159077.0	9665031732.0	9653896040.0	61021.0814	242.0	42.5074	0.0107	3.4329	91.7943983380353
SQT031_merged_dedup	SQT031_merged_dedup.bam	85542023.0	78121668.0	9987663741.0	9975966370.0	38663.6653	229.0	42.4247	0.011	3.5475	91.32548572062646
SQT034_merged_dedup	SQT034_merged_dedup.bam	75760210.0	69046810.0	9032608329.0	9021885570.0	27360.9552	251.0	43.2689	0.0112	3.2083	91.13862012790092
SQT047_merged_dedup	SQT047_merged_dedup.bam	75375093.0	68234458.0	8931297431.0	8920715038.0	55168.6067	258.0	43.3262	0.0111	3.1723	90.52653241834143
SQT056_merged_dedup	SQT056_merged_dedup.bam	76510408.0	69745056.0	9074750471.0	9063962224.0	60792.0544	243.0	43.0886	0.0111	3.2233	91.15760564235914
SQT096_merged_dedup	SQT096_merged_dedup.bam	78165673.0	70453040.0	9253182212.0	9242335060.0	30552.6223	258.0	43.6549	0.0111	3.2866	90.13296667963186
SQT118_merged_dedup	SQT118_merged_dedup.bam	86645915.0	78849027.0	10283529296.0	10271442382.0	68166.5959	237.0	43.1818	0.0111	3.6526	91.00143613233239
SQT121_merged_dedup	SQT121_merged_dedup.bam	61140942.0	55376489.0	7203472244.0	7195038008.0	73750.9969	242.0	43.2026	0.0111	2.5586	90.57186099618811
scaa0503_merged_dedup	scaa0503_merged_dedup.bam	73461038.0	66671838.0	8635266381.0	8625093366.0	41924.663	236.0	42.9768	0.0112	3.0672	90.7580941069741
scca0200_merged_dedup	scca0200_merged_dedup.bam	93897869.0	89109813.0	11430152498.0	11416919977.0	259314.9963	229.0	41.3637	0.0111	4.0599	94.90078310509901
scca0201_merged_dedup	scca0201_merged_dedup.bam	92448330.0	87414826.0	11039127352.0	11026663939.0	420255.5491	240.0	40.2951	0.0109	3.921	94.55533269232662
scca0207_merged_dedup	scca0207_merged_dedup.bam	84771277.0	79981851.0	10444774093.0	10433067828.0	155011.3816	242.0	41.9582	0.0107	3.7099	94.3501783039083
scca0506_merged_dedup	scca0506_merged_dedup.bam	72654582.0	66047400.0	8418869490.0	8408976442.0	71495.5865	223.0	42.2249	0.0112	2.9903	90.9060353550723
scca0507_merged_dedup	scca0507_merged_dedup.bam	76565588.0	69973183.0	8935325035.0	8924783438.0	131767.1878	211.0	42.0628	0.0111	3.1737	91.38985911007435
scca0509_merged_dedup	scca0509_merged_dedup.bam	78541692.0	71093454.0	9180334473.0	9169581619.0	68334.1151	223.0	42.6856	0.0111	3.2608	90.51683531340272
scca0539_merged_dedup	scca0539_merged_dedup.bam	61542467.0	55832049.0	7267976197.0	7259479344.0	54467.4083	251.0	42.7415	0.0111	2.5815	90.72117469714043
scca0540_merged_dedup	scca0540_merged_dedup.bam	59499037.0	54313682.0	7086230444.0	7077805972.0	45038.5287	247.0	43.1948	0.0113	2.517	91.28497659550355
scca0548_merged_dedup	scca0548_merged_dedup.bam	74137694.0	69616553.0	9179217158.0	9168893816.0	59850.8849	233.0	42.4397	0.0108	3.2604	93.90169729314754
scca0549_merged_dedup	scca0549_merged_dedup.bam	78797826.0	73959362.0	9526128296.0	9515386711.0	184425.2961	220.0	41.2986	0.011	3.3836	93.85964785373648
scca0550_merged_dedup	scca0550_merged_dedup.bam	69318341.0	65295437.0	8411654280.0	8402272234.0	218882.0905	219.0	41.2483	0.0108	2.9877	94.19647968782172
scca0551_merged_dedup	scca0551_merged_dedup.bam	71351821.0	67354751.0	8591450567.0	8581556872.0	206791.5384	207.0	41.1302	0.0113	3.0516	94.39808270625637
scca0554_merged_dedup	scca0554_merged_dedup.bam	66414036.0	62177704.0	7870908894.0	7862241060.0	314382.1854	226.0	40.5902	0.0106	2.7957	93.62133028626658
scca0561_merged_dedup	scca0561_merged_dedup.bam	81850300.0	77605625.0	9690542503.0	9679790565.0	395486.6104	214.0	40.7417	0.0102	3.442	94.81409964288463
scca0583_merged_dedup	scca0583_merged_dedup.bam	95137884.0	89909790.0	11706526879.0	11692867470.0	159055.4795	231.0	42.2627	0.0112	4.158	94.5047190664867
scca0586_merged_dedup	scca0586_merged_dedup.bam	89477901.0	84698966.0	10553655887.0	10541588261.0	444556.802	225.0	40.2374	0.0108	3.7485	94.65908906379018
scca0587_merged_dedup	scca0587_merged_dedup.bam	96106013.0	90736786.0	11695848805.0	11682502745.0	289349.7025	245.0	40.9322	0.0108	4.1542	94.41322469594073
scca1001_merged_dedup	scca1001_merged_dedup.bam	68461627.0	61886082.0	8066772503.0	8057487820.0	34446.0709	252.0	42.7793	0.0109	2.8652	90.39528376969481
scca1025_merged_dedup	scca1025_merged_dedup.bam	66136584.0	60141295.0	7831559228.0	7822545112.0	45287.2786	234.0	42.4988	0.0109	2.7817	90.9349884173032
scca1029_merged_dedup	scca1029_merged_dedup.bam	69643349.0	63318057.0	8062805725.0	8053323556.0	174481.1671	224.0	41.7819	0.0114	2.8638	90.91759358097498
scca1039_merged_dedup	scca1039_merged_dedup.bam	59528860.0	54108628.0	7104208963.0	7095812823.0	38824.6152	251.0	43.4218	0.0111	2.5233	90.89478279946903
scca1046_merged_dedup	scca1046_merged_dedup.bam	73071525.0	66743642.0	8488304839.0	8478671371.0	143395.6609	211.0	41.4654	0.0107	3.015	91.34015199491184
