Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
JPV009_merged_dedup_flagstats	63078303	0	0	0	353614	0	0	0	57165991	0	90.63	nan	56786186	0	28303045	0	28483141	0	48900522	0	86.11	nan	50229660	0	1955413	0	3.44	nan	1104022	0	683783	0	63078303
JPV016_merged_dedup_flagstats	62832154	0	0	0	419190	0	0	0	56884325	0	90.53	nan	56848353	0	28308229	0	28540124	0	48647098	0	85.57	nan	50007846	0	2115171	0	3.72	nan	1089470	0	662874	0	62832154
JPV022_merged_dedup_flagstats	62281097	0	0	0	1129141	0	0	0	56446384	0	90.63	nan	53060485	0	26446970	0	26613515	0	43589268	0	82.15	nan	46857042	0	1852380	0	3.49	nan	2939386	0	2153602	0	62281097
JPV023_merged_dedup_flagstats	66387979	0	0	0	400465	0	0	0	60548371	0	91.2	nan	61002908	0	30402387	0	30600521	0	52831718	0	86.61	nan	54283122	0	2044782	0	3.35	nan	1173320	0	723756	0	66387979
JPV029_merged_dedup_flagstats	69000451	0	0	0	417608	0	0	0	62575181	0	90.69	nan	62790215	0	31295882	0	31494333	0	54054084	0	86.09	nan	55589310	0	2148390	0	3.42	nan	1261062	0	800570	0	69000451
SCCA1009_merged_dedup_flagstats	220477547	0	0	0	1166558	0	0	0	207167158	0	93.96	nan	211349052	0	105448506	0	105900546	0	188700008	0	89.28	nan	194928474	0	5224098	0	2.47	nan	5033904	0	3041122	0	220477547
SCCA1011_merged_dedup_flagstats	172472103	0	0	0	981412	0	0	0	162304122	0	94.1	nan	162747755	0	81235526	0	81512229	0	145453462	0	89.37	nan	150262072	0	4079103	0	2.51	nan	3845694	0	2381058	0	172472103
SCCA1012_merged_dedup_flagstats	182221703	0	0	0	861196	0	0	0	171447028	0	94.09	nan	174389988	0	87017182	0	87372806	0	156404574	0	89.69	nan	160960650	0	4398539	0	2.52	nan	3570800	0	2085174	0	182221703
SCCA1017_merged_dedup_flagstats	204654483	0	0	0	1400535	0	0	0	193690762	0	94.64	nan	191686843	0	95748386	0	95938457	0	172436146	0	89.96	nan	178816506	0	3973338	0	2.07	nan	5251748	0	3320497	0	204654483
SCCA1018_merged_dedup_flagstats	163256836	0	0	0	1002882	0	0	0	153341074	0	93.93	nan	151110338	0	75449315	0	75661023	0	134458908	0	88.98	nan	139137006	0	3976361	0	2.63	nan	3775356	0	2398353	0	163256836
SCCA1020_merged_dedup_flagstats	196782122	0	0	0	1199565	0	0	0	184379719	0	93.7	nan	187789759	0	93643972	0	94145787	0	166136248	0	88.47	nan	172269186	0	5079752	0	2.71	nan	5013398	0	3164656	0	196782122
SCCA1026_merged_dedup_flagstats	147064611	0	0	0	835726	0	0	0	138628195	0	94.26	nan	140008085	0	69885834	0	70122251	0	125153232	0	89.39	nan	129628054	0	3334171	0	2.38	nan	3723698	0	2385699	0	147064611
SCCA1033_merged_dedup_flagstats	210199101	0	0	0	1737311	0	0	0	198988871	0	94.67	nan	199346902	0	99543428	0	99803474	0	176655006	0	88.62	nan	185780952	0	4300040	0	2.16	nan	7943770	0	5692336	0	210199101
