#Coverage (X)	Coverage
1.0	98.36990128812036
2.0	94.65872582645684
3.0	88.02518648988753
4.0	78.63205902305955
5.0	67.36345149802708
6.0	55.482924667803104
7.0	44.17810639919151
8.0	34.28664924240954
9.0	26.211824325222295
10.0	19.988785452183464
11.0	15.404808034886628
12.0	12.146636358555341
13.0	9.879092844439256
14.0	8.317217289780544
15.0	7.2324981908176795
16.0	6.462389149541082
17.0	5.894789788187921
18.0	5.456334912159193
19.0	5.101101812816978
20.0	4.801439137581539
21.0	4.53893897229041
22.0	4.304611660709853
23.0	4.092447019679099
24.0	3.8976728720890037
25.0	3.7175612350624334
26.0	3.5503718984744523
27.0	3.3945921874280742
28.0	3.2490385490627034
29.0	3.112800324921068
30.0	2.9850537302722557
31.0	2.865070134841318
32.0	2.752497718520374
33.0	2.646267306027255
34.0	2.5461957601533243
35.0	2.4517669030939686
36.0	2.36255771525326
37.0	2.278244213083269
38.0	2.1980175097729386
39.0	2.121884185544957
40.0	2.0495571874269842
41.0	1.98076975762784
42.0	1.9150543306621302
43.0	1.8523755285910823
44.0	1.7924807152249969
45.0	1.7352673056317087
46.0	1.6806357092500548
47.0	1.628276101101136
48.0	1.5780789463546654
49.0	1.5299588869535938
50.0	1.4839660878539291
51.0	1.4397562333590344
