#GC Content (%)	Sample
1.0	1.267118239449023E-7
2.0	3.801354718347069E-7
3.0	5.068472957796092E-7
4.0	8.869827676143163E-7
5.0	1.3515927887456247E-6
6.0	1.858440084525234E-6
7.0	1.942914633821835E-6
8.0	2.829897401436152E-6
9.0	3.928066542291972E-6
10.0	4.392676563423281E-6
11.0	6.293353922596815E-6
12.0	1.0052471366295584E-5
13.0	1.4445147929718866E-5
14.0	2.3906297450938234E-5
15.0	3.7633411711635986E-5
16.0	6.153970916257423E-5
17.0	1.1543447161380604E-4
18.0	2.1659274439648636E-4
19.0	3.998180418208151E-4
20.0	7.341683079367641E-4
21.0	0.0012907288759774235
22.0	0.0022097274977751517
23.0	0.003600981087415531
24.0	0.005575235779026405
25.0	0.00912392712042734
26.0	0.010368152757016984
27.0	0.01500301785327362
28.0	0.019102441018813747
29.0	0.02348227745074395
30.0	0.027897213057906885
31.0	0.0324441823856204
32.0	0.036849318945064935
33.0	0.04062364180763709
34.0	0.04280904063521482
35.0	0.04354836189065867
36.0	0.043532607387214865
37.0	0.043666752971497864
38.0	0.04329797932654355
39.0	0.04215140626894078
40.0	0.04051517648634026
41.0	0.03903995519469905
42.0	0.03767830993458714
43.0	0.03666161649652788
44.0	0.03540155188194513
45.0	0.03252798113852263
46.0	0.02951671687974668
47.0	0.026619662211619727
48.0	0.024052100523024172
49.0	0.02185158075112235
50.0	0.01992737722996971
51.0	0.01989194015653979
52.0	0.014812781168257676
53.0	0.015045001704274032
54.0	0.013758074183014954
55.0	0.012559422565770828
56.0	0.011473206573640479
57.0	0.010356030659192923
58.0	0.00944036878209241
59.0	0.008547810694224518
60.0	0.007907578085105576
61.0	0.007298051974655946
62.0	0.006593956606268772
63.0	0.005832376307085261
64.0	0.004981675358393835
65.0	0.00409688892906123
66.0	0.003256620587207935
67.0	0.0026280877031665704
68.0	0.0020677680176822127
69.0	0.001629133920459609
70.0	0.001268343120413824
71.0	9.802004327631162E-4
72.0	7.258475648310489E-4
73.0	5.471416557940882E-4
74.0	4.3360786153945574E-4
75.0	3.378981971864062E-4
76.0	2.58534358122249E-4
77.0	2.0400603655129277E-4
78.0	1.6193771100158518E-4
79.0	1.4567636026198934E-4
80.0	1.2143216461386472E-4
81.0	9.583637617699446E-5
82.0	7.370404426128485E-5
83.0	5.5161880690680806E-5
84.0	4.654547666242745E-5
85.0	3.1551244162280675E-5
86.0	2.470880566925595E-5
87.0	1.752846897904482E-5
88.0	1.1741962352227616E-5
89.0	1.0686030486020096E-5
90.0	5.3641338803341995E-6
91.0	2.2808128310082415E-6
92.0	1.5627791619871284E-6
93.0	6.757963943728122E-7
94.0	3.801354718347069E-7
95.0	4.223727464830077E-7
96.0	2.534236478898046E-7
97.0	1.9006773591735346E-6
98.0	3.4634565211606636E-6
99.0	5.237422056389296E-6
100.0	2.4248419375589474E-4
