#Coverage	Number of genomic locations
0.0	4.0952399E7
1.0	8.7452755E7
2.0	1.69064434E8
3.0	2.51811669E8
4.0	3.10594164E8
5.0	3.31554882E8
6.0	3.16480081E8
7.0	2.75771884E8
8.0	2.23082435E8
9.0	1.7001512E8
10.0	1.23532597E8
11.0	8.6643523E7
12.0	5.9473411E7
13.0	4.0559879E7
14.0	2.7930005E7
15.0	1.9827478E7
16.0	1.463842E7
17.0	1.1363661E7
18.0	9258034.0
19.0	7858486.0
20.0	6872558.0
21.0	6174014.0
22.0	5607737.0
23.0	5142252.0
24.0	4779590.0
25.0	4429346.0
26.0	4135931.0
27.0	3860703.0
28.0	3612917.0
29.0	3384042.0
30.0	3176900.0
31.0	2988154.0
32.0	2815596.0
33.0	2657719.0
34.0	2511434.0
35.0	2377266.0
36.0	2255079.0
37.0	2145133.0
38.0	2039469.0
39.0	1941303.0
40.0	1848606.0
41.0	1760668.0
42.0	1690386.0
43.0	1608057.0
44.0	1542712.0
45.0	1476484.0
46.0	1411176.0
47.0	1357721.0
48.0	1303587.0
49.0	1253322.0
50.0	1202678.0
51.0	1155524.0
52.0	1114455.0
53.0	1068230.0
54.0	1030473.0
55.0	995995.0
56.0	961914.0
57.0	928268.0
58.0	892016.0
59.0	860407.0
60.0	829831.0
61.0	800002.0
62.0	770147.0
63.0	743021.0
64.0	719274.0
65.0	693805.0
66.0	667069.0
67.0	645793.0
68.0	624361.0
69.0	598788.0
70.0	577451.0
71.0	556085.0
72.0	538825.0
73.0	519733.0
74.0	500301.0
75.0	480635.0
76.0	464370.0
77.0	447889.0
78.0	434291.0
79.0	417709.0
80.0	402434.0
81.0	387979.0
82.0	374933.0
83.0	361674.0
84.0	347569.0
85.0	338035.0
86.0	326005.0
87.0	314309.0
88.0	304787.0
89.0	294906.0
90.0	286600.0
91.0	277234.0
92.0	268500.0
93.0	261035.0
94.0	253741.0
95.0	246138.0
96.0	238991.0
97.0	232620.0
98.0	227391.0
99.0	220858.0
100.0	213325.0
101.0	207241.0
102.0	202079.0
103.0	195029.0
104.0	189508.0
105.0	184691.0
106.0	179411.0
107.0	175732.0
108.0	170592.0
109.0	165719.0
110.0	160314.0
111.0	155835.0
112.0	151569.0
113.0	147184.0
114.0	143677.0
115.0	139600.0
116.0	136601.0
117.0	132681.0
118.0	129381.0
119.0	125711.0
120.0	123406.0
121.0	120487.0
122.0	118485.0
123.0	116281.0
124.0	112549.0
125.0	109284.0
126.0	106413.0
127.0	104518.0
128.0	101694.0
129.0	99223.0
130.0	96648.0
131.0	93826.0
132.0	92332.0
133.0	90570.0
134.0	87619.0
135.0	85562.0
136.0	84185.0
137.0	81859.0
138.0	80298.0
