#Duplication rate	Coverage
1.0	1.36093765E8
2.0	1.5727156E7
3.0	2784073.0
4.0	888267.0
5.0	365173.0
6.0	194848.0
7.0	113027.0
8.0	74512.0
9.0	50606.0
10.0	37177.0
11.0	27748.0
12.0	21590.0
13.0	17117.0
14.0	14191.0
15.0	11678.0
16.0	9859.0
17.0	8513.0
18.0	7236.0
19.0	6407.0
20.0	5532.0
21.0	5018.0
22.0	4482.0
23.0	3896.0
24.0	3731.0
25.0	3291.0
26.0	2931.0
27.0	2732.0
28.0	2397.0
29.0	2201.0
30.0	2121.0
31.0	1992.0
32.0	1734.0
33.0	1695.0
34.0	1538.0
35.0	1387.0
36.0	1381.0
37.0	1263.0
38.0	1171.0
39.0	1120.0
40.0	1026.0
41.0	1040.0
42.0	923.0
43.0	862.0
44.0	807.0
45.0	761.0
46.0	733.0
47.0	669.0
48.0	635.0
49.0	588.0
50.0	19594.0
