#Insert size (bp)	insert size
1.0	45.0
2.0	759.0
3.0	721.0
4.0	750.0
5.0	809.0
6.0	763.0
7.0	732.0
8.0	712.0
9.0	771.0
10.0	741.0
11.0	882.0
12.0	867.0
13.0	734.0
14.0	699.0
15.0	681.0
16.0	787.0
17.0	799.0
18.0	763.0
19.0	37798.0
20.0	42264.0
21.0	28948.0
22.0	16291.0
23.0	8460.0
24.0	5091.0
25.0	4089.0
26.0	3526.0
27.0	3144.0
28.0	2826.0
29.0	2688.0
30.0	2463.0
31.0	2675.0
32.0	2429.0
33.0	2487.0
34.0	2526.0
35.0	2537.0
36.0	2462.0
37.0	2485.0
38.0	2580.0
39.0	2490.0
40.0	2427.0
41.0	2646.0
42.0	2597.0
43.0	2805.0
44.0	2713.0
45.0	2764.0
46.0	2705.0
47.0	2822.0
48.0	3424.0
49.0	2870.0
50.0	2893.0
51.0	3107.0
52.0	2827.0
53.0	3014.0
54.0	2995.0
55.0	3023.0
56.0	3013.0
57.0	4033.0
58.0	3586.0
59.0	3578.0
60.0	3453.0
61.0	4097.0
62.0	3724.0
63.0	3893.0
64.0	3844.0
65.0	3905.0
66.0	3710.0
67.0	3718.0
68.0	3980.0
69.0	3935.0
70.0	3998.0
71.0	4046.0
72.0	4007.0
73.0	4076.0
74.0	4171.0
75.0	4357.0
76.0	4519.0
77.0	4449.0
78.0	4563.0
79.0	4571.0
80.0	4854.0
81.0	4927.0
82.0	4949.0
83.0	5038.0
84.0	4810.0
85.0	4985.0
86.0	5554.0
87.0	5013.0
88.0	4991.0
89.0	5139.0
90.0	5335.0
91.0	5011.0
92.0	5138.0
93.0	5313.0
94.0	5497.0
95.0	5451.0
96.0	5353.0
97.0	5434.0
98.0	5831.0
99.0	5855.0
100.0	5448.0
101.0	5564.0
102.0	5774.0
103.0	5842.0
104.0	5848.0
105.0	5711.0
106.0	5901.0
107.0	5997.0
108.0	6032.0
109.0	6264.0
110.0	6200.0
111.0	6269.0
112.0	6559.0
113.0	6567.0
114.0	6437.0
115.0	6750.0
116.0	6849.0
117.0	7116.0
118.0	7098.0
119.0	7241.0
120.0	7072.0
121.0	7463.0
122.0	7669.0
123.0	7822.0
124.0	8041.0
125.0	8284.0
126.0	8656.0
127.0	8899.0
128.0	9260.0
129.0	9603.0
130.0	9840.0
131.0	10493.0
132.0	10933.0
133.0	11491.0
134.0	12258.0
135.0	12833.0
136.0	13933.0
137.0	14508.0
138.0	15556.0
139.0	17109.0
140.0	19288.0
141.0	21360.0
142.0	24693.0
143.0	33512.0
144.0	273991.0
145.0	286539.0
146.0	293952.0
147.0	297474.0
148.0	302680.0
149.0	306346.0
150.0	310202.0
151.0	313414.0
152.0	318700.0
153.0	322675.0
154.0	325369.0
155.0	329855.0
156.0	332747.0
157.0	335790.0
158.0	339579.0
159.0	342760.0
160.0	345457.0
161.0	348340.0
162.0	351579.0
163.0	354902.0
164.0	360452.0
165.0	364710.0
166.0	366633.0
167.0	369862.0
168.0	374024.0
169.0	376852.0
170.0	377511.0
171.0	380486.0
172.0	383895.0
173.0	384202.0
174.0	389515.0
175.0	392547.0
176.0	394586.0
177.0	396821.0
178.0	398606.0
179.0	400477.0
180.0	403671.0
181.0	403700.0
182.0	406392.0
183.0	407907.0
184.0	408277.0
185.0	412611.0
186.0	415430.0
187.0	415184.0
188.0	418137.0
189.0	418084.0
190.0	419493.0
191.0	421924.0
192.0	420789.0
193.0	422761.0
194.0	424629.0
195.0	425862.0
196.0	425909.0
197.0	427051.0
198.0	428514.0
199.0	428424.0
200.0	427495.0
201.0	430075.0
202.0	428684.0
203.0	430019.0
204.0	430104.0
205.0	430461.0
206.0	430326.0
207.0	431489.0
208.0	429643.0
209.0	430771.0
210.0	429149.0
211.0	430937.0
212.0	429026.0
213.0	429204.0
214.0	427932.0
215.0	427991.0
216.0	428316.0
217.0	427402.0
218.0	425592.0
219.0	426093.0
220.0	423296.0
221.0	421448.0
222.0	421128.0
223.0	421208.0
224.0	419270.0
225.0	417902.0
226.0	416598.0
227.0	416206.0
228.0	416369.0
229.0	413668.0
230.0	411701.0
231.0	411007.0
232.0	409298.0
233.0	407161.0
234.0	405975.0
235.0	405039.0
236.0	401516.0
237.0	399578.0
238.0	399811.0
239.0	398095.0
240.0	395533.0
241.0	393860.0
242.0	391489.0
243.0	389210.0
244.0	387249.0
245.0	385694.0
246.0	382374.0
247.0	382118.0
248.0	377879.0
249.0	377329.0
250.0	374897.0
251.0	372864.0
252.0	370441.0
253.0	368618.0
254.0	365708.0
255.0	363371.0
256.0	362065.0
257.0	359290.0
258.0	357531.0
259.0	354732.0
260.0	352775.0
261.0	350147.0
262.0	348251.0
263.0	344874.0
264.0	342917.0
265.0	340163.0
266.0	337914.0
267.0	335309.0
268.0	333602.0
269.0	330018.0
270.0	327588.0
271.0	325481.0
272.0	323204.0
273.0	320660.0
274.0	318582.0
275.0	315672.0
276.0	313114.0
277.0	312178.0
278.0	310135.0
279.0	307313.0
280.0	303587.0
281.0	301801.0
282.0	298208.0
283.0	296495.0
284.0	294290.0
285.0	291896.0
286.0	289279.0
287.0	287777.0
288.0	284744.0
289.0	283264.0
290.0	279456.0
291.0	277449.0
292.0	275255.0
293.0	272154.0
294.0	270694.0
295.0	269524.0
296.0	266651.0
297.0	264035.0
298.0	261362.0
299.0	260228.0
300.0	257242.0
301.0	254379.0
302.0	251904.0
303.0	250124.0
304.0	247723.0
305.0	245205.0
306.0	243087.0
307.0	240820.0
308.0	238834.0
309.0	237250.0
310.0	234047.0
311.0	232182.0
312.0	229964.0
313.0	227736.0
314.0	225527.0
315.0	223998.0
316.0	221650.0
317.0	219723.0
318.0	217582.0
319.0	215961.0
320.0	213518.0
321.0	212498.0
322.0	209325.0
323.0	207443.0
324.0	205701.0
325.0	203574.0
326.0	201546.0
327.0	199530.0
328.0	197812.0
329.0	195368.0
330.0	193845.0
331.0	191868.0
332.0	190158.0
333.0	187613.0
334.0	186171.0
335.0	185414.0
336.0	182513.0
337.0	180871.0
338.0	179344.0
339.0	177230.0
340.0	175554.0
341.0	172719.0
342.0	171220.0
343.0	170155.0
344.0	168742.0
345.0	167348.0
346.0	165075.0
347.0	162543.0
348.0	162050.0
349.0	160079.0
350.0	158032.0
351.0	156941.0
352.0	155236.0
353.0	152162.0
354.0	151700.0
355.0	150353.0
356.0	147928.0
357.0	146552.0
358.0	143861.0
359.0	143414.0
360.0	141593.0
361.0	139575.0
362.0	138347.0
363.0	136649.0
364.0	135596.0
365.0	133799.0
366.0	133014.0
367.0	131406.0
368.0	129369.0
369.0	128239.0
370.0	126104.0
371.0	124768.0
372.0	123812.0
373.0	122282.0
374.0	120813.0
375.0	119652.0
376.0	117925.0
377.0	116622.0
378.0	116296.0
379.0	114800.0
380.0	113269.0
381.0	111605.0
382.0	110174.0
383.0	108790.0
384.0	107877.0
385.0	106791.0
386.0	105650.0
387.0	104727.0
388.0	103103.0
389.0	102536.0
390.0	101307.0
391.0	100196.0
392.0	98979.0
393.0	97537.0
394.0	96185.0
395.0	95163.0
396.0	93853.0
397.0	92791.0
398.0	91923.0
399.0	91442.0
400.0	89987.0
401.0	89416.0
402.0	88414.0
403.0	87240.0
404.0	86445.0
405.0	85625.0
406.0	84225.0
407.0	82963.0
408.0	82333.0
409.0	81482.0
410.0	80583.0
411.0	78976.0
412.0	78065.0
413.0	77591.0
414.0	76761.0
415.0	75185.0
416.0	74781.0
417.0	73134.0
418.0	72565.0
419.0	71329.0
420.0	70196.0
421.0	70004.0
422.0	68944.0
423.0	68209.0
424.0	67100.0
425.0	66521.0
426.0	65482.0
427.0	64579.0
428.0	63636.0
429.0	62848.0
430.0	61906.0
431.0	61184.0
432.0	60644.0
433.0	60311.0
434.0	58880.0
435.0	58619.0
436.0	57834.0
437.0	57110.0
438.0	56184.0
439.0	55670.0
440.0	55329.0
441.0	54681.0
442.0	53808.0
443.0	52927.0
444.0	52676.0
445.0	52060.0
446.0	50807.0
447.0	50537.0
448.0	50016.0
449.0	49350.0
450.0	49111.0
451.0	48212.0
452.0	47826.0
453.0	46623.0
454.0	46214.0
455.0	45917.0
456.0	45118.0
457.0	44601.0
458.0	44173.0
459.0	43106.0
460.0	42847.0
461.0	42635.0
462.0	42007.0
463.0	40994.0
464.0	40612.0
465.0	40130.0
466.0	39665.0
467.0	39238.0
468.0	38714.0
469.0	38463.0
470.0	37704.0
471.0	37088.0
472.0	36745.0
473.0	36515.0
474.0	36061.0
475.0	35436.0
476.0	34921.0
477.0	34536.0
478.0	34042.0
479.0	33809.0
480.0	33034.0
481.0	32873.0
482.0	32088.0
483.0	31837.0
484.0	31518.0
485.0	31155.0
486.0	30819.0
487.0	30229.0
488.0	30106.0
489.0	29604.0
490.0	29508.0
491.0	28687.0
492.0	28474.0
493.0	28206.0
494.0	27746.0
495.0	27183.0
496.0	27296.0
497.0	26676.0
498.0	26346.0
499.0	25965.0
500.0	25646.0
501.0	25152.0
502.0	24808.0
503.0	24420.0
504.0	24320.0
505.0	24021.0
506.0	23667.0
507.0	23151.0
508.0	23196.0
509.0	22868.0
510.0	22431.0
511.0	22221.0
512.0	21767.0
513.0	21556.0
514.0	21244.0
515.0	21035.0
516.0	20529.0
517.0	20538.0
518.0	20272.0
519.0	20388.0
520.0	19816.0
521.0	19503.0
