#Mapping quality	mapping quality
0.0	3.9177021E7
1.0	6171950.0
2.0	5433519.0
3.0	5144690.0
4.0	4683781.0
5.0	4476227.0
6.0	4433265.0
7.0	4056102.0
8.0	4154140.0
9.0	4062845.0
10.0	4173441.0
11.0	3775167.0
12.0	3906408.0
13.0	4367024.0
14.0	3738412.0
15.0	4140802.0
16.0	4051847.0
17.0	3925122.0
18.0	4038297.0
19.0	3943082.0
20.0	5373818.0
21.0	4343731.0
22.0	4415169.0
23.0	4422305.0
24.0	4795850.0
25.0	4891278.0
26.0	4961128.0
27.0	5270924.0
28.0	5042831.0
29.0	5082213.0
30.0	7450749.0
31.0	5626483.0
32.0	5841289.0
33.0	6282866.0
34.0	6154395.0
35.0	6288302.0
36.0	7035821.0
37.0	6716626.0
38.0	6721016.0
39.0	6774770.0
40.0	1.1402893E7
41.0	7498334.0
42.0	8192966.0
43.0	7984367.0
44.0	8159893.0
45.0	1.0731169E7
46.0	9228150.0
47.0	8800326.0
48.0	1.156047E7
49.0	9331226.0
50.0	1.3259253E7
51.0	1.1800507E7
52.0	1.2089878E7
53.0	1.3589054E7
54.0	1.285927E7
55.0	1.4968214E7
56.0	1.7151752E7
57.0	1.9015544E7
58.0	2.1017095E7
59.0	2.1456032E7
60.0	2.16090218E9
61.0	1.1831464E7
62.0	6224795.0
63.0	1980325.0
64.0	396935.0
65.0	965379.0
66.0	160978.0
67.0	30396.0
68.0	11699.0
69.0	456.0
70.0	152491.0
