#Mapping quality	mapping quality
0.0	3.1424601E7
1.0	5705134.0
2.0	5098342.0
3.0	4960828.0
4.0	4515504.0
5.0	4338996.0
6.0	4349488.0
7.0	4014008.0
8.0	4048002.0
9.0	4051478.0
10.0	4124228.0
11.0	3773725.0
12.0	3891531.0
13.0	4409742.0
14.0	3738196.0
15.0	4109943.0
16.0	4043947.0
17.0	3928903.0
18.0	4037239.0
19.0	3930607.0
20.0	5216793.0
21.0	4358216.0
22.0	4384070.0
23.0	4373896.0
24.0	4731603.0
25.0	4818752.0
26.0	4952843.0
27.0	5244868.0
28.0	4984112.0
29.0	5033550.0
30.0	6949209.0
31.0	5559859.0
32.0	5768614.0
33.0	6177959.0
34.0	6053280.0
35.0	6214758.0
36.0	6868047.0
37.0	6652829.0
38.0	6600868.0
39.0	6658709.0
40.0	1.0957725E7
41.0	7328254.0
42.0	7992126.0
43.0	7768171.0
44.0	7906501.0
45.0	1.0192056E7
46.0	8961198.0
47.0	8456001.0
48.0	1.0974195E7
49.0	8941305.0
50.0	1.2493834E7
51.0	1.1194831E7
52.0	1.1473763E7
53.0	1.2645958E7
54.0	1.1934312E7
55.0	1.3716046E7
56.0	1.5760156E7
57.0	1.7387808E7
58.0	1.8428716E7
59.0	1.8376602E7
60.0	2.193868706E9
61.0	1.3006276E7
62.0	6668245.0
63.0	2017288.0
64.0	440254.0
65.0	945549.0
66.0	174895.0
67.0	33248.0
68.0	12449.0
69.0	357.0
70.0	133718.0
