#Insert size (bp)	insert size
1.0	82.0
2.0	1494.0
3.0	1525.0
4.0	1580.0
5.0	1842.0
6.0	1566.0
7.0	1564.0
8.0	1561.0
9.0	1514.0
10.0	1435.0
11.0	1884.0
12.0	1933.0
13.0	1557.0
14.0	1500.0
15.0	1375.0
16.0	1585.0
17.0	1666.0
18.0	1710.0
19.0	35819.0
20.0	39967.0
21.0	27528.0
22.0	15719.0
23.0	8978.0
24.0	5966.0
25.0	4757.0
26.0	4256.0
27.0	3976.0
28.0	3758.0
29.0	3437.0
30.0	3499.0
31.0	3555.0
32.0	3600.0
33.0	3608.0
34.0	3756.0
35.0	3735.0
36.0	3763.0
37.0	3751.0
38.0	4113.0
39.0	3871.0
40.0	4008.0
41.0	4377.0
42.0	4127.0
43.0	4514.0
44.0	4394.0
45.0	4690.0
46.0	4680.0
47.0	4686.0
48.0	5321.0
49.0	4710.0
50.0	4758.0
51.0	4904.0
52.0	4928.0
53.0	5170.0
54.0	5044.0
55.0	5142.0
56.0	5161.0
57.0	6937.0
58.0	5632.0
59.0	5902.0
60.0	5776.0
61.0	6027.0
62.0	5795.0
63.0	6028.0
64.0	5871.0
65.0	5815.0
66.0	5866.0
67.0	5883.0
68.0	6270.0
69.0	6117.0
70.0	5978.0
71.0	6127.0
72.0	5792.0
73.0	5865.0
74.0	5769.0
75.0	6057.0
76.0	6115.0
77.0	6168.0
78.0	6254.0
79.0	6337.0
80.0	6632.0
81.0	6533.0
82.0	6783.0
83.0	6859.0
84.0	6770.0
85.0	6939.0
86.0	7452.0
87.0	6912.0
88.0	6687.0
89.0	6701.0
90.0	6528.0
91.0	6171.0
92.0	6363.0
93.0	6325.0
94.0	6658.0
95.0	6427.0
96.0	6413.0
97.0	6415.0
98.0	6625.0
99.0	7089.0
100.0	6587.0
101.0	6578.0
102.0	6554.0
103.0	6898.0
104.0	6755.0
105.0	6544.0
106.0	6634.0
107.0	6614.0
108.0	6807.0
109.0	6715.0
110.0	7211.0
111.0	7596.0
112.0	7321.0
113.0	7229.0
114.0	7185.0
115.0	7325.0
116.0	7522.0
