#Coverage (X)	Coverage
1.0	99.15673488951583
2.0	97.44514670002036
3.0	94.02632446916095
4.0	88.40753310102461
5.0	80.51747373880264
6.0	70.77304141769966
7.0	59.986922879490805
8.0	49.131664906537196
9.0	39.069622352850814
10.0	30.398273263805194
11.0	23.3794810387612
12.0	17.997597205812696
13.0	14.048947237752472
14.0	11.253079086738893
15.0	9.31922713007475
16.0	7.992213511605243
17.0	7.075145473843946
18.0	6.425437835170641
19.0	5.947271278326539
20.0	5.5769840712365095
21.0	5.274635186447654
22.0	5.01639371909171
23.0	4.788225791675941
24.0	4.581666095598237
25.0	4.3920044852868045
26.0	4.21632492397265
27.0	4.052199309488444
28.0	3.8983519658561363
29.0	3.753567141485064
30.0	3.616943900381827
31.0	3.487953532744669
32.0	3.366274457915992
33.0	3.2505123710718635
34.0	3.140934621484135
35.0	3.0371129401657413
36.0	2.9380964479725122
37.0	2.843542307909516
38.0	2.75384359586279
39.0	2.668316042609135
40.0	2.5869345102192227
41.0	2.5092478098292617
42.0	2.434919795569641
43.0	2.36369760944541
44.0	2.295483657142711
45.0	2.2301053372027297
46.0	2.167419067687959
47.0	2.1071895501864475
48.0	2.0494232170506876
49.0	1.9937275099402711
50.0	1.940142501671943
51.0	1.8886159940748115
