#Duplication rate	Coverage
1.0	1.28927553E8
2.0	1.3772828E7
3.0	2480556.0
4.0	805179.0
5.0	347715.0
6.0	185642.0
7.0	110719.0
8.0	72647.0
9.0	50049.0
10.0	36963.0
11.0	27453.0
12.0	21325.0
13.0	16846.0
14.0	13838.0
15.0	11228.0
16.0	9607.0
17.0	8096.0
18.0	7006.0
19.0	6059.0
20.0	5339.0
21.0	4687.0
22.0	4250.0
23.0	3939.0
24.0	3499.0
25.0	3119.0
26.0	2868.0
27.0	2738.0
28.0	2513.0
29.0	2222.0
30.0	2014.0
31.0	1907.0
32.0	1747.0
33.0	1641.0
34.0	1510.0
35.0	1468.0
36.0	1356.0
37.0	1236.0
38.0	1143.0
39.0	1083.0
40.0	1073.0
41.0	968.0
42.0	898.0
43.0	885.0
44.0	830.0
45.0	765.0
46.0	767.0
47.0	693.0
48.0	621.0
49.0	608.0
50.0	20255.0
