#Insert size (bp)	insert size
1.0	49.0
2.0	738.0
3.0	706.0
4.0	693.0
5.0	817.0
6.0	724.0
7.0	640.0
8.0	679.0
9.0	706.0
10.0	727.0
11.0	791.0
12.0	814.0
13.0	697.0
14.0	691.0
15.0	683.0
16.0	700.0
17.0	749.0
18.0	790.0
19.0	38404.0
20.0	43083.0
21.0	29607.0
22.0	16051.0
23.0	8711.0
24.0	5203.0
25.0	4305.0
26.0	3692.0
27.0	3244.0
28.0	3111.0
29.0	2795.0
30.0	2705.0
31.0	2885.0
32.0	2648.0
33.0	2733.0
34.0	2804.0
35.0	2879.0
36.0	2940.0
37.0	3120.0
38.0	3169.0
39.0	3134.0
40.0	3178.0
41.0	3464.0
42.0	3573.0
43.0	3766.0
44.0	3683.0
45.0	3972.0
46.0	3983.0
47.0	3945.0
48.0	4234.0
49.0	4201.0
50.0	4301.0
51.0	4463.0
52.0	4596.0
53.0	4684.0
54.0	4628.0
55.0	4722.0
56.0	4740.0
57.0	5809.0
58.0	5123.0
59.0	5175.0
60.0	5289.0
61.0	5753.0
62.0	5637.0
63.0	6007.0
64.0	5873.0
65.0	6033.0
66.0	6140.0
67.0	6213.0
68.0	6417.0
69.0	6538.0
70.0	6621.0
71.0	6848.0
72.0	6747.0
73.0	6856.0
74.0	6944.0
75.0	7181.0
76.0	7202.0
77.0	7284.0
78.0	7334.0
79.0	7438.0
80.0	7535.0
81.0	7715.0
82.0	7979.0
83.0	7956.0
84.0	7739.0
85.0	7853.0
86.0	8225.0
87.0	8034.0
88.0	8203.0
89.0	8130.0
90.0	8420.0
91.0	8075.0
92.0	8296.0
93.0	8274.0
94.0	8292.0
95.0	8210.0
96.0	7907.0
97.0	8212.0
98.0	8293.0
99.0	8301.0
100.0	8066.0
101.0	8150.0
102.0	7816.0
103.0	8085.0
104.0	8140.0
105.0	7930.0
106.0	7904.0
107.0	7973.0
108.0	8202.0
109.0	7838.0
110.0	8124.0
111.0	8261.0
112.0	8216.0
113.0	8339.0
114.0	8202.0
115.0	8229.0
116.0	8385.0
117.0	8740.0
118.0	8424.0
119.0	8352.0
120.0	8282.0
121.0	8702.0
122.0	8344.0
123.0	8923.0
124.0	9124.0
125.0	9222.0
126.0	9360.0
127.0	9882.0
128.0	10407.0
129.0	10595.0
130.0	11104.0
131.0	11424.0
132.0	12075.0
133.0	12337.0
134.0	13236.0
135.0	14136.0
136.0	14955.0
137.0	15873.0
138.0	16704.0
139.0	18332.0
140.0	20700.0
141.0	22848.0
142.0	26651.0
143.0	36072.0
144.0	296743.0
145.0	309937.0
146.0	316638.0
147.0	321070.0
148.0	326359.0
149.0	329681.0
150.0	333909.0
151.0	338123.0
152.0	340534.0
153.0	345430.0
154.0	348635.0
155.0	351176.0
156.0	355008.0
157.0	357191.0
158.0	360004.0
159.0	362412.0
160.0	365943.0
161.0	369727.0
162.0	372432.0
163.0	375143.0
164.0	377580.0
165.0	381974.0
166.0	385135.0
167.0	389075.0
168.0	390801.0
169.0	391656.0
170.0	395370.0
171.0	398763.0
172.0	400043.0
173.0	401899.0
174.0	405579.0
175.0	407947.0
176.0	409041.0
177.0	411025.0
178.0	413019.0
179.0	416316.0
180.0	416572.0
181.0	417535.0
182.0	420871.0
183.0	422450.0
184.0	424586.0
185.0	426406.0
186.0	429113.0
187.0	429558.0
188.0	431346.0
189.0	433703.0
190.0	434160.0
191.0	433825.0
192.0	435226.0
193.0	438415.0
194.0	437875.0
195.0	439532.0
196.0	440408.0
197.0	441600.0
198.0	442819.0
199.0	443207.0
200.0	442874.0
201.0	444478.0
202.0	444791.0
203.0	444306.0
204.0	446022.0
205.0	445996.0
206.0	446568.0
207.0	447354.0
208.0	445819.0
209.0	446646.0
210.0	447288.0
211.0	446271.0
212.0	445481.0
213.0	445863.0
214.0	445615.0
215.0	446207.0
216.0	445331.0
217.0	445641.0
218.0	445954.0
219.0	444271.0
220.0	443128.0
221.0	442859.0
222.0	441923.0
223.0	441660.0
224.0	440161.0
225.0	440680.0
226.0	438390.0
227.0	437755.0
228.0	437903.0
229.0	435919.0
230.0	434452.0
231.0	434552.0
232.0	432262.0
233.0	431203.0
234.0	430695.0
235.0	430268.0
236.0	427860.0
237.0	425477.0
238.0	423289.0
239.0	423199.0
240.0	422060.0
241.0	419286.0
242.0	418378.0
243.0	415698.0
244.0	414524.0
245.0	413292.0
246.0	411460.0
247.0	410243.0
248.0	408448.0
249.0	407415.0
250.0	404545.0
251.0	401289.0
252.0	399267.0
253.0	395888.0
254.0	395439.0
255.0	394382.0
256.0	390231.0
257.0	389598.0
258.0	387635.0
259.0	383586.0
260.0	382666.0
261.0	380464.0
262.0	377628.0
263.0	375561.0
264.0	373843.0
265.0	370996.0
266.0	369347.0
267.0	367512.0
268.0	364703.0
269.0	362425.0
270.0	359436.0
271.0	356704.0
272.0	354452.0
273.0	353583.0
274.0	350363.0
275.0	347580.0
276.0	345160.0
277.0	341881.0
278.0	340438.0
279.0	337482.0
280.0	335102.0
281.0	333307.0
282.0	329651.0
283.0	328052.0
284.0	324937.0
285.0	322899.0
286.0	320472.0
287.0	316989.0
288.0	315189.0
289.0	312574.0
290.0	310235.0
291.0	307315.0
