#Coverage (X)	Coverage
1.0	99.03460676994085
2.0	97.11331180045417
3.0	93.45040925898253
4.0	87.72856321211248
5.0	80.00169019303908
6.0	70.74750501522946
7.0	60.67682569747597
8.0	50.59678590206367
9.0	41.194234151597456
10.0	32.94780046500955
11.0	26.085035855356097
12.0	20.619497060050776
13.0	16.42358431952603
14.0	13.299274223989073
15.0	11.02195342316547
16.0	9.38234636345453
17.0	8.203941676854328
18.0	7.349522608356793
19.0	6.716399201008656
20.0	6.232808840172794
21.0	5.84922252247712
22.0	5.533085557389754
23.0	5.263276169472562
24.0	5.025997591054406
25.0	4.812787877579595
26.0	4.617976207933225
27.0	4.437347579816091
28.0	4.26902064102363
29.0	4.111375067173256
30.0	3.9631886373542926
31.0	3.8232186876046796
32.0	3.6907368833898317
33.0	3.5653711833557793
34.0	3.446007053044937
35.0	3.3327938413315223
36.0	3.225245646828725
37.0	3.1228978984221527
38.0	3.0254478689011677
39.0	2.9325265852178717
40.0	2.8438243332959843
41.0	2.7593225554288665
42.0	2.678442302923685
43.0	2.601233408028577
44.0	2.5273362135164916
45.0	2.45656732340602
46.0	2.3886673734146058
47.0	2.3238245283367434
48.0	2.2616032365793615
49.0	2.201814298256778
50.0	2.1443689912654946
51.0	2.0889493207995713
