#Duplication rate	Coverage
1.0	1.58346001E8
2.0	2.0873491E7
3.0	4202178.0
4.0	1447788.0
5.0	625373.0
6.0	335345.0
7.0	196950.0
8.0	128712.0
9.0	88348.0
10.0	63976.0
11.0	47042.0
12.0	37147.0
13.0	28751.0
14.0	23308.0
15.0	18812.0
16.0	15916.0
17.0	13050.0
18.0	11288.0
19.0	9640.0
20.0	8473.0
21.0	7366.0
22.0	6553.0
23.0	5713.0
24.0	5109.0
25.0	4464.0
26.0	3997.0
27.0	3649.0
28.0	3262.0
29.0	3079.0
30.0	2862.0
31.0	2619.0
32.0	2417.0
33.0	2210.0
34.0	2076.0
35.0	1929.0
36.0	1789.0
37.0	1653.0
38.0	1643.0
39.0	1443.0
40.0	1434.0
41.0	1262.0
42.0	1196.0
43.0	1233.0
44.0	1107.0
45.0	1097.0
46.0	1061.0
47.0	955.0
48.0	880.0
49.0	893.0
50.0	27916.0
