#Mapping quality	mapping quality
0.0	3.7482837E7
1.0	6064624.0
2.0	5320889.0
3.0	5093857.0
4.0	4647630.0
5.0	4459749.0
6.0	4406454.0
7.0	4031580.0
8.0	4105811.0
9.0	4032333.0
10.0	4144079.0
11.0	3763647.0
12.0	3890062.0
13.0	4358729.0
14.0	3718824.0
15.0	4089695.0
16.0	3984585.0
17.0	3881344.0
18.0	4008659.0
19.0	3903784.0
20.0	5369999.0
21.0	4311878.0
22.0	4401002.0
23.0	4405856.0
24.0	4773751.0
25.0	4849615.0
26.0	4932890.0
27.0	5236525.0
28.0	5012625.0
29.0	5042383.0
30.0	7493858.0
31.0	5604211.0
32.0	5801877.0
33.0	6257179.0
34.0	6136845.0
35.0	6267781.0
36.0	7012096.0
37.0	6711042.0
38.0	6680605.0
39.0	6743735.0
40.0	1.1319679E7
41.0	7451942.0
42.0	8118492.0
43.0	7940520.0
44.0	8076116.0
45.0	1.055229E7
46.0	9122576.0
47.0	8675506.0
48.0	1.1312229E7
49.0	9180760.0
50.0	1.2983722E7
51.0	1.147203E7
52.0	1.1808341E7
53.0	1.3339661E7
54.0	1.2547171E7
55.0	1.4742835E7
56.0	1.7016881E7
57.0	1.9030107E7
58.0	2.1418975E7
59.0	2.1871454E7
60.0	2.16590201E9
61.0	1.2279576E7
62.0	6188770.0
63.0	1975384.0
64.0	418628.0
65.0	966925.0
66.0	168966.0
67.0	32492.0
68.0	11177.0
69.0	295.0
70.0	150865.0
