#Coverage	Number of genomic locations
0.0	5.6955591E7
1.0	1.24768332E8
2.0	2.14445313E8
3.0	2.90696784E8
4.0	3.33234108E8
5.0	3.35726431E8
6.0	3.04845595E8
7.0	2.54430171E8
8.0	1.98193675E8
9.0	1.45944622E8
10.0	1.03017102E8
11.0	7.0561784E7
12.0	4.7636914E7
13.0	3.2218573E7
14.0	2.2282907E7
15.0	1.6035559E7
16.0	1.2133373E7
17.0	9716008.0
18.0	8138306.0
19.0	7055840.0
20.0	6271993.0
21.0	5686516.0
22.0	5226150.0
23.0	4820971.0
24.0	4453680.0
25.0	4142603.0
26.0	3866397.0
27.0	3608205.0
28.0	3378915.0
29.0	3161240.0
30.0	2966837.0
31.0	2790482.0
32.0	2631366.0
33.0	2486595.0
34.0	2351659.0
35.0	2230250.0
36.0	2109404.0
37.0	2007186.0
38.0	1910345.0
39.0	1816602.0
40.0	1729405.0
41.0	1651799.0
42.0	1583977.0
43.0	1513989.0
44.0	1447281.0
45.0	1387623.0
46.0	1322850.0
47.0	1267226.0
48.0	1213715.0
49.0	1168629.0
50.0	1119508.0
51.0	1074405.0
52.0	1034099.0
53.0	990470.0
54.0	952679.0
55.0	915891.0
56.0	879029.0
57.0	845103.0
58.0	809418.0
59.0	777598.0
60.0	746509.0
61.0	717504.0
62.0	691122.0
63.0	665447.0
64.0	638579.0
65.0	618755.0
66.0	593954.0
67.0	567912.0
68.0	546556.0
69.0	526967.0
70.0	503198.0
71.0	483870.0
72.0	466520.0
73.0	449181.0
74.0	432186.0
75.0	414134.0
76.0	400682.0
77.0	385861.0
78.0	370468.0
79.0	357682.0
80.0	343431.0
81.0	330347.0
82.0	319270.0
83.0	307808.0
84.0	298687.0
85.0	288516.0
86.0	278320.0
87.0	269588.0
88.0	260509.0
89.0	252080.0
90.0	244573.0
91.0	236737.0
92.0	228950.0
93.0	221649.0
94.0	215057.0
95.0	209909.0
96.0	202142.0
97.0	196208.0
98.0	190389.0
99.0	183673.0
100.0	181524.0
101.0	176417.0
102.0	171940.0
103.0	166823.0
104.0	161373.0
105.0	157863.0
106.0	154075.0
107.0	150586.0
108.0	147077.0
109.0	142905.0
110.0	139414.0
111.0	136772.0
112.0	133695.0
113.0	130422.0
114.0	127078.0
115.0	124088.0
116.0	122387.0
117.0	119328.0
118.0	116275.0
119.0	113974.0
120.0	111055.0
121.0	109012.0
122.0	105411.0
123.0	102618.0
124.0	99797.0
125.0	97419.0
126.0	94990.0
127.0	92949.0
128.0	91097.0
129.0	88250.0
130.0	87171.0
131.0	85257.0
132.0	83633.0
133.0	82000.0
134.0	80480.0
135.0	78992.0
136.0	76722.0
137.0	75467.0
138.0	73719.0
139.0	72127.0
140.0	71006.0
141.0	69307.0
142.0	68108.0
143.0	66038.0
144.0	64990.0
145.0	64051.0
146.0	62605.0
147.0	61475.0
148.0	60421.0
149.0	59067.0
150.0	58455.0
151.0	56727.0
152.0	56068.0
153.0	54264.0
154.0	53556.0
155.0	52555.0
156.0	51579.0
157.0	50177.0
158.0	49440.0
159.0	48735.0
160.0	47669.0
161.0	46978.0
162.0	46093.0
163.0	45340.0
164.0	44746.0
165.0	43509.0
166.0	43479.0
167.0	42453.0
168.0	41332.0
169.0	40902.0
170.0	40052.0
171.0	39839.0
172.0	38780.0
173.0	38134.0
174.0	37542.0
175.0	37193.0
176.0	36282.0
177.0	35915.0
178.0	35027.0
179.0	34547.0
180.0	34334.0
181.0	33785.0
182.0	33111.0
183.0	32519.0
184.0	32215.0
185.0	31720.0
186.0	31256.0
187.0	30612.0
188.0	30247.0
189.0	29884.0
190.0	29391.0
191.0	28817.0
192.0	28862.0
193.0	28098.0
194.0	27526.0
195.0	27023.0
196.0	26691.0
197.0	25918.0
198.0	25595.0
199.0	25458.0
200.0	25130.0
201.0	24695.0
202.0	24517.0
203.0	23961.0
204.0	23374.0
205.0	22545.0
206.0	22516.0
207.0	21861.0
208.0	21514.0
209.0	21260.0
210.0	21160.0
211.0	20889.0
212.0	20725.0
213.0	19899.0
214.0	19740.0
215.0	19441.0
216.0	18948.0
217.0	18586.0
218.0	18354.0
219.0	18021.0
220.0	17898.0
221.0	17450.0
222.0	17141.0
223.0	16879.0
224.0	16649.0
225.0	16710.0
226.0	16207.0
227.0	15878.0
228.0	15596.0
229.0	15722.0
230.0	15487.0
231.0	15146.0
232.0	14971.0
233.0	14897.0
234.0	14632.0
235.0	14455.0
236.0	14271.0
237.0	13988.0
238.0	13771.0
239.0	13521.0
240.0	13116.0
241.0	12899.0
242.0	12848.0
243.0	12443.0
244.0	12256.0
245.0	12222.0
246.0	12061.0
247.0	11964.0
248.0	11806.0
249.0	11473.0
250.0	11382.0
251.0	11220.0
252.0	11010.0
253.0	11005.0
254.0	10774.0
255.0	10854.0
256.0	10815.0
257.0	10686.0
258.0	10363.0
259.0	10483.0
260.0	10403.0
261.0	10280.0
262.0	10306.0
263.0	10078.0
264.0	9907.0
265.0	9768.0
266.0	9541.0
267.0	9551.0
268.0	9508.0
269.0	9385.0
270.0	9243.0
271.0	9067.0
272.0	8985.0
273.0	9000.0
274.0	8708.0
275.0	8774.0
276.0	8656.0
277.0	8605.0
278.0	8670.0
279.0	8657.0
280.0	8442.0
281.0	8364.0
282.0	8467.0
283.0	8272.0
284.0	8106.0
285.0	8148.0
286.0	8104.0
287.0	8006.0
288.0	7783.0
289.0	7828.0
290.0	7854.0
291.0	7707.0
292.0	7885.0
293.0	7779.0
294.0	7532.0
295.0	7415.0
296.0	7578.0
297.0	7482.0
298.0	7468.0
299.0	7421.0
300.0	7287.0
301.0	7099.0
302.0	7185.0
303.0	6989.0
304.0	7058.0
305.0	6738.0
306.0	6812.0
307.0	6937.0
308.0	6756.0
309.0	6477.0
310.0	6535.0
311.0	6450.0
312.0	6449.0
313.0	6444.0
314.0	6350.0
315.0	6252.0
316.0	6146.0
317.0	6242.0
318.0	6278.0
319.0	6136.0
320.0	6188.0
321.0	6020.0
322.0	6009.0
323.0	5863.0
324.0	5851.0
325.0	5869.0
326.0	5526.0
327.0	5577.0
328.0	5722.0
329.0	5522.0
330.0	5418.0
331.0	5511.0
332.0	5449.0
333.0	5440.0
334.0	5255.0
335.0	5279.0
336.0	5290.0
337.0	5061.0
338.0	5084.0
339.0	5013.0
340.0	4884.0
341.0	4919.0
342.0	4906.0
343.0	4803.0
344.0	4670.0
345.0	4712.0
346.0	4761.0
347.0	4621.0
348.0	4742.0
349.0	4342.0
350.0	4400.0
351.0	4411.0
352.0	4207.0
353.0	4198.0
354.0	4221.0
355.0	4206.0
356.0	4207.0
357.0	4036.0
358.0	3943.0
359.0	4040.0
360.0	3932.0
361.0	4068.0
362.0	4059.0
363.0	3925.0
364.0	3803.0
365.0	3772.0
366.0	3773.0
367.0	3795.0
368.0	3750.0
369.0	3685.0
370.0	3654.0
371.0	3687.0
372.0	3573.0
373.0	3658.0
374.0	3693.0
375.0	3508.0
376.0	3596.0
377.0	3494.0
378.0	3502.0
379.0	3535.0
380.0	3408.0
381.0	3513.0
382.0	3240.0
383.0	3454.0
384.0	3376.0
385.0	3407.0
386.0	3396.0
387.0	3307.0
388.0	3346.0
389.0	3190.0
390.0	3337.0
391.0	3197.0
392.0	3200.0
393.0	3209.0
394.0	3121.0
395.0	3130.0
396.0	3104.0
397.0	3155.0
398.0	3141.0
399.0	3027.0
400.0	3002.0
401.0	2995.0
402.0	3051.0
403.0	3011.0
404.0	2928.0
405.0	2876.0
406.0	2915.0
407.0	2924.0
408.0	2941.0
409.0	2865.0
410.0	2891.0
411.0	2918.0
412.0	2895.0
413.0	2812.0
414.0	2920.0
415.0	2846.0
416.0	2840.0
417.0	2846.0
418.0	2806.0
419.0	2863.0
420.0	2682.0
421.0	2742.0
422.0	2830.0
423.0	2803.0
424.0	2673.0
425.0	2674.0
426.0	2694.0
427.0	2652.0
428.0	2685.0
429.0	2654.0
430.0	2623.0
431.0	2547.0
432.0	2707.0
433.0	2592.0
434.0	2541.0
435.0	2583.0
436.0	2582.0
437.0	2605.0
438.0	2579.0
439.0	2640.0
440.0	2616.0
441.0	2512.0
442.0	2494.0
443.0	2521.0
444.0	2501.0
445.0	2520.0
446.0	2488.0
447.0	2474.0
448.0	2469.0
449.0	2448.0
450.0	2389.0
451.0	2592.0
452.0	2512.0
453.0	2414.0
454.0	2413.0
455.0	2454.0
456.0	2366.0
457.0	2356.0
458.0	2385.0
459.0	2338.0
460.0	2387.0
461.0	2296.0
462.0	2289.0
463.0	2339.0
464.0	2277.0
465.0	2283.0
466.0	2199.0
467.0	2235.0
468.0	2217.0
469.0	2285.0
470.0	2274.0
471.0	2326.0
472.0	2280.0
473.0	2269.0
474.0	2270.0
475.0	2265.0
476.0	2305.0
477.0	2184.0
478.0	2158.0
479.0	2166.0
480.0	2034.0
481.0	2167.0
482.0	2093.0
483.0	2107.0
484.0	2166.0
485.0	2017.0
486.0	2067.0
487.0	1995.0
488.0	2078.0
489.0	2075.0
490.0	2010.0
491.0	2038.0
492.0	2073.0
493.0	2075.0
494.0	2045.0
495.0	1991.0
496.0	2036.0
497.0	1988.0
498.0	1927.0
499.0	1933.0
500.0	1857.0
501.0	1941.0
502.0	1914.0
503.0	1901.0
504.0	1898.0
505.0	1853.0
506.0	1907.0
507.0	1839.0
508.0	1838.0
509.0	1770.0
510.0	1727.0
511.0	1791.0
512.0	1712.0
513.0	1748.0
514.0	1684.0
515.0	1709.0
516.0	1684.0
517.0	1623.0
518.0	1723.0
519.0	1722.0
520.0	1639.0
521.0	1724.0
522.0	1604.0
523.0	1644.0
524.0	1714.0
525.0	1574.0
526.0	1707.0
527.0	1574.0
528.0	1630.0
529.0	1573.0
530.0	1552.0
531.0	1619.0
532.0	1556.0
533.0	1507.0
534.0	1445.0
535.0	1419.0
536.0	1503.0
537.0	1464.0
538.0	1457.0
539.0	1460.0
540.0	1448.0
541.0	1379.0
542.0	1346.0
543.0	1387.0
544.0	1416.0
545.0	1399.0
546.0	1401.0
547.0	1477.0
548.0	1422.0
549.0	1329.0
550.0	1407.0
551.0	1405.0
552.0	1360.0
553.0	1338.0
554.0	1368.0
555.0	1310.0
556.0	1291.0
557.0	1345.0
558.0	1244.0
559.0	1282.0
560.0	1276.0
561.0	1290.0
562.0	1251.0
563.0	1295.0
564.0	1206.0
565.0	1176.0
566.0	1182.0
567.0	1159.0
568.0	1188.0
569.0	1176.0
570.0	1189.0
571.0	1150.0
572.0	1098.0
573.0	1134.0
574.0	1154.0
575.0	1178.0
576.0	1141.0
577.0	1096.0
578.0	1119.0
579.0	1076.0
580.0	1131.0
581.0	1137.0
582.0	1136.0
583.0	1101.0
584.0	1111.0
585.0	1072.0
586.0	1110.0
587.0	1050.0
588.0	1022.0
589.0	1043.0
590.0	1045.0
591.0	982.0
592.0	1003.0
593.0	965.0
594.0	1066.0
595.0	970.0
596.0	971.0
597.0	947.0
598.0	970.0
599.0	991.0
600.0	927.0
601.0	941.0
602.0	893.0
603.0	884.0
604.0	864.0
605.0	888.0
606.0	874.0
607.0	868.0
608.0	867.0
609.0	889.0
610.0	855.0
611.0	866.0
612.0	799.0
613.0	834.0
614.0	855.0
615.0	894.0
616.0	869.0
