Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage
JPV009_merged_dedup_rg_realigned	8.7227	91.66619605783126	182738111.0	199351690.0	1.41										
JPV009_merged_dedup_rg_realigned_flagstats						200579330	183965751								
JPV009_merged_dedup_rg_realigned_qualimap								41.14749459046106	245	98.36990128812036	67.36345149802706	19.988785452183457	2.985053730272229	1.4839660878538912	6
JPV016_merged_dedup_rg_realigned	8.6955	91.66879673708316	182359646.0	198933173.0	1.38										
JPV016_merged_dedup_rg_realigned_flagstats						200366897	183793370								
JPV016_merged_dedup_rg_realigned_qualimap								40.480527856260565	243	98.48609042402263	68.21251829472878	19.52979802638642	2.928244301990181	1.4435992312717705	6
JPV023_merged_dedup_rg_realigned	9.1668	91.92485194585979	190771796.0	207530164.0	1.37										
JPV023_merged_dedup_rg_realigned_flagstats						208892365	192133997								
JPV023_merged_dedup_rg_realigned_qualimap								40.86109436383267	245	98.70369694617374	72.08992360039856	22.343638650872027	3.0752993401519055	1.5254671825940778	6
JPV029_merged_dedup_rg_realigned	9.0606	91.53232993533274	189550995.0	207086387.0	1.37										
JPV029_merged_dedup_rg_realigned_flagstats						208446139	190910747								
JPV029_merged_dedup_rg_realigned_qualimap								40.84719568650918	245	98.63303515103568	71.32976696108123	21.819501142746237	3.0732175499285392	1.5305074113584025	6
SCCA1009_merged_dedup_rg_realigned	10.844	93.95305572207205	216442070.0	230372571.0	1.4000000000000001										
SCCA1009_merged_dedup_rg_realigned_flagstats						231804769	217874268								
SCCA1009_merged_dedup_rg_realigned_qualimap								40.648190133467246	324	99.17870311078882	83.3192621679121	30.895898315419743	3.825233455672365	2.0009161814082073	8
SCCA1011_merged_dedup_rg_realigned	8.5073	94.11799728507712	169792997.0	180404388.0	1.4000000000000001										
SCCA1011_merged_dedup_rg_realigned_flagstats						181599326	170987935								
SCCA1011_merged_dedup_rg_realigned_qualimap								40.71207888523135	286	98.52834854011087	67.36563151101251	17.683253795014966	2.9401198294777435	1.4388057978253272	6
SCCA1012_merged_dedup_rg_realigned	9.0163	94.09249174552801	179560875.0	190834435.0	1.37										
SCCA1012_merged_dedup_rg_realigned_flagstats						191907439	180633879								
SCCA1012_merged_dedup_rg_realigned_qualimap								40.79035189016558	323	98.86185030619643	73.19594302803283	20.663078466312605	3.0221274811455086	1.4856470759747298	6
SCCA1017_merged_dedup_rg_realigned	10.2129	94.65816997257365	203513443.0	214998286.0	1.51										
SCCA1017_merged_dedup_rg_realigned_flagstats						216694002	205209159								
SCCA1017_merged_dedup_rg_realigned_qualimap								40.22421320467682	271	98.7488478094788	73.39730686198966	23.88640534978314	4.087173229977307	2.1380587425572277	7
SCCA1018_merged_dedup_rg_realigned	7.9557	93.9347345493047	159829081.0	170149074.0	1.43										
SCCA1018_merged_dedup_rg_realigned_flagstats						171357695	161037702								
SCCA1018_merged_dedup_rg_realigned_qualimap								40.98568426827152	275	98.04978838983514	61.72282868852728	15.340021232604132	2.679973276754558	1.281006217190312	5
SCCA1020_merged_dedup_rg_realigned	9.6527	93.71365439324012	193239931.0	206202535.0	1.4200000000000002										
SCCA1020_merged_dedup_rg_realigned_flagstats						207632391	194669787								
SCCA1020_merged_dedup_rg_realigned_qualimap								40.608886495445255	315	98.96117677123874	75.406667798046	22.645517715155343	3.4662806082061373	1.780853831432432	7
SCCA1026_merged_dedup_rg_realigned	7.2269	94.21799847727434	144138052.0	152983564.0	1.4200000000000002										
SCCA1026_merged_dedup_rg_realigned_flagstats						154005675	145160163								
SCCA1026_merged_dedup_rg_realigned_qualimap								40.81330655223258	309	97.93529883672791	55.86451581022894	11.962293083835146	2.4137134753603915	1.0948859126722457	5
SCCA1033_merged_dedup_rg_realigned	10.5049	94.65489506450253	207863771.0	219601713.0	1.38										
SCCA1033_merged_dedup_rg_realigned_flagstats						221584285	209846343								
SCCA1033_merged_dedup_rg_realigned_qualimap								40.203870675481326	303	99.15673488951583	80.51747373880264	30.398273263805198	3.6169439003818167	1.9401425016719402	7
SCCA1034_merged_dedup_rg_realigned	9.3669	94.3392371413292	186277369.0	197454818.0	1.38										
SCCA1034_merged_dedup_rg_realigned_flagstats						199014159	187836710								
SCCA1034_merged_dedup_rg_realigned_qualimap								40.616210920289035	298	98.91034322023744	74.96385718428138	22.779512157299646	3.131561279120318	1.5581705935519443	7
SCCA1040_merged_dedup_rg_realigned	8.9099	93.88670508680829	177754589.0	189328818.0	1.46										
SCCA1040_merged_dedup_rg_realigned_flagstats						191060968	179486739								
SCCA1040_merged_dedup_rg_realigned_qualimap								40.49866919668533	296	98.64700751453667	68.66793232690503	18.87402039106759	3.25348541179235	1.6409273924810746	6
SQT017_merged_dedup_rg_realigned	9.6596	91.37390520830286	203353029.0	222550441.0	1.3599999999999999										
SQT017_merged_dedup_rg_realigned_flagstats						224078700	204881288								
SQT017_merged_dedup_rg_realigned_qualimap								40.736132004421535	246	98.83114439946361	75.54575707001582	25.522095661332767	3.288271685032333	1.7094777124586347	7
SQT019_merged_dedup_rg_realigned	10.9992	92.48980181080795	230217384.0	248911101.0	1.35										
SQT019_merged_dedup_rg_realigned_flagstats						251153496	232459779								
SQT019_merged_dedup_rg_realigned_qualimap								40.475017435600485	237	99.09550077902998	82.29546421221502	33.991951640923254	3.806261675574668	2.0163110559685165	8
SQT031_merged_dedup_rg_realigned	11.0781	91.90766672630934	237859239.0	258802391.0	1.4200000000000002										
SQT031_merged_dedup_rg_realigned_flagstats						260454332	239511180								
SQT031_merged_dedup_rg_realigned_qualimap								40.918196642962116	224	99.03460676994085	80.00169019303908	32.94780046500955	3.963188637354291	2.144368991265505	8
SQT034_merged_dedup_rg_realigned	11.2682	91.80511676391959	236261689.0	257351330.0	1.44										
SQT034_merged_dedup_rg_realigned_flagstats						258669889	237580248								
SQT034_merged_dedup_rg_realigned_qualimap								40.94153269966829	246	99.07810936140073	80.90938451876113	33.37227713666549	4.097286699521965	2.2640985457401057	8
SQT047_merged_dedup_rg_realigned	9.5031	91.47975911124482	197614314.0	216019714.0	1.41										
SQT047_merged_dedup_rg_realigned_flagstats						217723864	199318464								
SQT047_merged_dedup_rg_realigned_qualimap								40.48858083161509	253	98.69631822456661	72.74300996161057	23.71262100350222	3.3035761739497094	1.7086624672301676	7
SQT056_merged_dedup_rg_realigned	9.7697	91.85338111894615	204773484.0	222935162.0	1.4200000000000002										
SQT056_merged_dedup_rg_realigned_flagstats						224967652	206805974								
SQT056_merged_dedup_rg_realigned_qualimap								40.56755875244702	238	98.71263444120414	73.3392331067653	24.80597860400672	3.598342313260942	1.9113863740659998	7
SQT096_merged_dedup_rg_realigned	9.2998	91.27149581475393	193837047.0	212374132.0	1.4000000000000001										
SQT096_merged_dedup_rg_realigned_flagstats						213575165	195038080								
SQT096_merged_dedup_rg_realigned_qualimap								41.00846146340271	253	98.64830655400196	71.84485300324117	23.25294838429342	3.177599991908544	1.611993229187459	6
SQT118_merged_dedup_rg_realigned	10.2881	91.70704617708152	214690509.0	234104704.0	1.4200000000000002										
SQT118_merged_dedup_rg_realigned_flagstats						236428013	217013818								
SQT118_merged_dedup_rg_realigned_qualimap								40.696237785471794	233	98.88487250909137	76.58316762108421	28.07761371167282	3.641717292761977	1.9229938129308422	7
SQT121_merged_dedup_rg_realigned	7.9694	91.56415552196098	166637950.0	181990375.0	1.41										
SQT121_merged_dedup_rg_realigned_flagstats						183846633	168494208								
SQT121_merged_dedup_rg_realigned_qualimap								40.56053387515862	238	97.89449173367474	62.28940452951402	16.481424883488376	2.6772623728823435	1.28775519670036	5
scaa0503_merged_dedup_rg_realigned	11.1334	91.70292435689727	234940905.0	256197833.0	1.4200000000000002										
scaa0503_merged_dedup_rg_realigned_flagstats						258000121	236743193								
scaa0503_merged_dedup_rg_realigned_qualimap								40.85973396046882	230	99.09494430660337	80.72762109797277	33.318479675926845	3.9870925161526816	2.134027912557846	8
scca0200_merged_dedup_rg_realigned	12.1103	93.93962657768178	249255486.0	265335828.0	1.43										
scca0200_merged_dedup_rg_realigned_flagstats						274478348	258398006								
scca0200_merged_dedup_rg_realigned_qualimap								40.49435882693389	225	99.25268632877373	83.80005031504425	37.892621028122605	4.511920097405927	2.461287819889901	8
scca0201_merged_dedup_rg_realigned	10.7582	93.46407842619764	221179790.0	236646842.0	1.38										
scca0201_merged_dedup_rg_realigned_flagstats						248061319	232594267								
scca0201_merged_dedup_rg_realigned_qualimap								40.44067266848385	234	99.15011174752256	80.54472543527369	30.307448076784457	3.795991241841915	1.9948912851652876	7
scca0207_merged_dedup_rg_realigned	10.5081	93.60558903709335	215412347.0	230127655.0	1.37										
scca0207_merged_dedup_rg_realigned_flagstats						234631795	219916487								
scca0207_merged_dedup_rg_realigned_qualimap								40.55251422103402	237	98.99721613328792	79.47828560342322	29.47411078484338	3.691070737271771	1.902003678913776	7
scca0506_merged_dedup_rg_realigned	9.5599	91.57384495970415	204797343.0	223641743.0	1.43										
scca0506_merged_dedup_rg_realigned_flagstats						226196392	207351992								
scca0506_merged_dedup_rg_realigned_qualimap								40.8910548800232	218	98.59046883654044	71.34800637718214	23.5497324339135	3.5018917382357992	1.8074516090332011	6
scca0507_merged_dedup_rg_realigned	10.6419	91.8583020395342	224995920.0	244938035.0	1.43										
scca0507_merged_dedup_rg_realigned_flagstats						249798774	229856659								
scca0507_merged_dedup_rg_realigned_qualimap								40.41761400899002	207	98.89645787833297	76.83422548152564	29.225798171121745	3.927280325245472	2.105850992417539	7
scca0509_merged_dedup_rg_realigned	10.4829	91.48447591909279	221360575.0	241965178.0	1.41										
scca0509_merged_dedup_rg_realigned_flagstats						244604360	223999757								
scca0509_merged_dedup_rg_realigned_qualimap								40.8000289302238	219	98.94102195582606	77.54784275661824	29.5347202547531	3.717359244406782	1.932340427760979	7
scca0539_merged_dedup_rg_realigned	8.4909	91.58242411312229	177877848.0	194227058.0	1.4000000000000001										
scca0539_merged_dedup_rg_realigned_flagstats						195878765	179529555								
scca0539_merged_dedup_rg_realigned_qualimap								40.507192973055155	245	98.36270126761669	66.05872956683285	18.144447369850432	2.9481306960722575	1.4517850282803368	6
scca0540_merged_dedup_rg_realigned	8.8366	91.70893171398622	185315556.0	202069256.0	1.4500000000000002										
scca0540_merged_dedup_rg_realigned_flagstats						203585033	186831333								
scca0540_merged_dedup_rg_realigned_qualimap								40.80869975298376	242	98.33194260819982	66.9682588135253	19.421147866390708	3.111488938296339	1.5879384488780448	6
scca0548_merged_dedup_rg_realigned	10.1449	92.77680328183807	212791977.0	229359031.0	1.3599999999999999										
scca0548_merged_dedup_rg_realigned_flagstats						231525407	214958353								
scca0548_merged_dedup_rg_realigned_qualimap								40.819005769591115	226	98.86734205653245	76.61939862287696	28.11721970228241	3.6256865025248852	1.839936763616476	7
scca0549_merged_dedup_rg_realigned	8.8365	92.74853315834845	185626163.0	200139190.0	1.38										
scca0549_merged_dedup_rg_realigned_flagstats						205502199	190989172								
scca0549_merged_dedup_rg_realigned_qualimap								40.7284382573475	215	98.29914027209657	67.76343077697979	20.850345799758657	3.0610130852422786	1.50918967097419	6
scca0550_merged_dedup_rg_realigned	9.2594	92.82289137747502	194009271.0	209010157.0	1.3599999999999999										
scca0550_merged_dedup_rg_realigned_flagstats						215500823	200499937								
scca0550_merged_dedup_rg_realigned_qualimap								40.66362370608267	214	98.50921761474004	70.91394335617892	23.1561061381489	3.2191592365940616	1.6120322669129956	6
scca0551_merged_dedup_rg_realigned	10.1967	93.02181047778339	216161233.0	232376936.0	1.43										
