Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
JPV009_merged_dedup_rg_realigned	JPV009_merged_dedup_rg_realigned.bam	199351690.0	182738111.0	23595548190.0	23563400909.0	47969.9761	246.0	51.104	0.0141	8.7227	91.66619605783126
JPV016_merged_dedup_rg_realigned	JPV016_merged_dedup_rg_realigned.bam	198933173.0	182359646.0	23521996790.0	23490325392.0	49806.3719	244.0	50.9336	0.0138	8.6955	91.66879673708316
JPV023_merged_dedup_rg_realigned	JPV023_merged_dedup_rg_realigned.bam	207530164.0	190771796.0	24796961628.0	24763885741.0	47298.942	246.0	51.3573	0.0137	9.1668	91.92485194585979
JPV029_merged_dedup_rg_realigned	JPV029_merged_dedup_rg_realigned.bam	207086387.0	189550995.0	24509667138.0	24476748184.0	49709.377	246.0	51.277	0.0137	9.0606	91.53232993533274
SCCA1009_merged_dedup_rg_realigned	SCCA1009_merged_dedup_rg_realigned.bam	230372571.0	216442070.0	29333887379.0	29293654465.0	56085.2164	325.0	51.384	0.014	10.844	93.95305572207205
SCCA1011_merged_dedup_rg_realigned	SCCA1011_merged_dedup_rg_realigned.bam	180404388.0	169792997.0	23012822630.0	22980885227.0	55748.8298	288.0	51.3326	0.014	8.5073	94.11799728507712
SCCA1012_merged_dedup_rg_realigned	SCCA1012_merged_dedup_rg_realigned.bam	190834435.0	179560875.0	24389812760.0	24356612179.0	48967.5285	325.0	51.5987	0.0137	9.0163	94.09249174552801
SCCA1017_merged_dedup_rg_realigned	SCCA1017_merged_dedup_rg_realigned.bam	214998286.0	203513443.0	27626731275.0	27586432458.0	60328.8885	273.0	50.7024	0.0151	10.2129	94.65816997257365
SCCA1018_merged_dedup_rg_realigned	SCCA1018_merged_dedup_rg_realigned.bam	170149074.0	159829081.0	21520743021.0	21490523062.0	58002.6108	277.0	51.2503	0.0143	7.9557	93.9347345493047
SCCA1020_merged_dedup_rg_realigned	SCCA1020_merged_dedup_rg_realigned.bam	206202535.0	193239931.0	26111289037.0	26075007271.0	61844.6602	316.0	51.3066	0.0142	9.6527	93.71365439324012
SCCA1026_merged_dedup_rg_realigned	SCCA1026_merged_dedup_rg_realigned.bam	152983564.0	144138052.0	19549361242.0	19522277646.0	60744.4015	311.0	51.3399	0.0142	7.2269	94.21799847727434
SCCA1033_merged_dedup_rg_realigned	SCCA1033_merged_dedup_rg_realigned.bam	219601713.0	207863771.0	28416476974.0	28376516038.0	89909.7956	304.0	51.7164	0.0138	10.5049	94.65489506450253
SCCA1034_merged_dedup_rg_realigned	SCCA1034_merged_dedup_rg_realigned.bam	197454818.0	186277369.0	25338038144.0	25303137314.0	69999.7526	300.0	51.5335	0.0138	9.3669	94.3392371413292
SCCA1040_merged_dedup_rg_realigned	SCCA1040_merged_dedup_rg_realigned.bam	189328818.0	177754589.0	24101874164.0	24067127832.0	85500.8036	297.0	51.1478	0.0146	8.9099	93.88670508680829
SQT017_merged_dedup_rg_realigned	SQT017_merged_dedup_rg_realigned.bam	222550441.0	203353029.0	26129858592.0	26095110587.0	51979.1992	247.0	51.2935	0.0136	9.6596	91.37390520830286
