#Duplication rate	Coverage
1.0	1.58960474E8
2.0	2.0717102E7
3.0	4047095.0
4.0	1381004.0
5.0	585529.0
6.0	313122.0
7.0	181657.0
8.0	118213.0
9.0	79397.0
10.0	57003.0
11.0	42323.0
12.0	32836.0
13.0	25374.0
14.0	20630.0
15.0	16763.0
16.0	14127.0
17.0	11700.0
18.0	10299.0
19.0	8763.0
20.0	7596.0
21.0	6693.0
22.0	5900.0
23.0	5325.0
24.0	4729.0
25.0	4241.0
26.0	3855.0
27.0	3549.0
28.0	3324.0
29.0	3022.0
30.0	2726.0
31.0	2562.0
32.0	2429.0
33.0	2217.0
34.0	1990.0
35.0	1917.0
36.0	1860.0
37.0	1646.0
38.0	1620.0
39.0	1493.0
40.0	1412.0
41.0	1349.0
42.0	1273.0
43.0	1114.0
44.0	1125.0
45.0	1082.0
46.0	993.0
47.0	990.0
48.0	895.0
49.0	844.0
50.0	28685.0
