#Coverage (X)	Coverage
1.0	99.09494430660337
2.0	97.29893600054353
3.0	93.8249070322666
4.0	88.29739377748932
5.0	80.72762109797277
6.0	71.53321602324294
7.0	61.43816027058733
8.0	51.2581185391848
9.0	41.714978335005
10.0	33.31847967592684
11.0	26.319900933786457
12.0	20.751661830615802
13.0	16.490875303179592
14.0	13.32936761549989
15.0	11.037658085737135
16.0	9.3975809837154
17.0	8.225385550495659
18.0	7.379520660573888
19.0	6.753899668232165
20.0	6.27534033124239
21.0	5.895548657913096
22.0	5.581300327636285
23.0	5.311107512361843
24.0	5.072124656270688
25.0	4.8557964717607405
26.0	4.657203318193353
27.0	4.4730264343847495
28.0	4.300749217869367
29.0	4.139101389930445
30.0	3.9870925161526714
31.0	3.843633052137605
32.0	3.7077925617924308
33.0	3.5794537101352546
34.0	3.457667946977125
35.0	3.342272541193225
36.0	3.2331470155605047
37.0	3.129037541918919
38.0	3.029944379041254
39.0	2.9356612110693447
40.0	2.8457484569479448
41.0	2.759931373896549
42.0	2.6780527019867435
43.0	2.5996260222861167
44.0	2.5245668639586256
45.0	2.4525394508101073
46.0	2.3835315465837823
47.0	2.317348036587063
48.0	2.253882306425581
49.0	2.192764754603189
50.0	2.1340279125578547
51.0	2.0771943075026087
