#Position (bp)	insert size	chromosomes
3381345.5	16830.370169045393	0.0
1.01440355E7	13936.840906089403	24900.07728457422
1.69067255E7	16739.455703535394	0.0
2.36694155E7	14287.134654822707	0.0
3.04321055E7	16081.336587838214	24900.07728457422
3.71947955E7	17203.837487699962	0.0
4.39574855E7	9986.251270465513	0.0
5.07201755E7	11211.405117940265	24900.07728457422
5.74828655E7	9217.929044655726	0.0
6.42455555E7	14357.214926009447	0.0
7.10082455E7	9141.789219700675	24900.07728457422
7.77709355E7	5644.644085415561	0.0
8.45336255E7	7066.472169806176	0.0
9.12963155E7	7085.8354645520685	24900.07728457422
9.80590055E7	7334.5644190432995	0.0
1.048216955E8	5546.657712957233	0.0
1.115843855E8	5284.9379770140595	24900.07728457422
1.183470755E8	4196.257893192488	0.0
1.251097655E8	2585.7334204969266	0.0
1.318724555E8	2890.4405325021676	24900.07728457422
1.386351455E8	1457.041912407777	0.0
1.453978355E8	1357.0564319003101	0.0
1.521605255E8	766.1819612219277	24900.07728457422
1.589232155E8	768.85451741564	0.0
1.656859055E8	1275.0145802424925	0.0
1.724485955E8	1154.425518134715	24900.07728457422
1.792112855E8	619.0506665134452	0.0
1.859739755E8	554.6862544592537	0.0
1.927366655E8	397.3328925731916	24900.07728457422
1.994993555E8	262.06397185032614	0.0
2.05937114E8	248.52486856818084	0.0
2.09318459E8	23915.619471070564	24900.07728457422
2.130247355E8	16146.246001035744	0.0
2.197874255E8	10537.446442502289	0.0
2.265501155E8	17966.956632312384	24900.07728457422
2.333128055E8	24900.07728457422	0.0
2.400754955E8	18171.792503949975	0.0
2.468381855E8	15500.259701047658	24900.07728457422
2.536008755E8	15671.998958216645	0.0
2.603635655E8	15014.069560721791	0.0
2.671262555E8	14094.608839468734	24900.07728457422
2.738889455E8	8151.228732984994	0.0
2.806516355E8	10169.851948324205	0.0
2.874143255E8	7475.723602850079	24900.07728457422
2.941770155E8	5998.775600662334	0.0
3.009397055E8	12099.65170417138	0.0
3.077023955E8	6327.328980644585	24900.07728457422
3.144650855E8	7206.6531123314135	0.0
3.212277755E8	4016.441233890869	0.0
3.279904655E8	2966.5866809881845	24900.07728457422
3.347531555E8	2324.4889782979762	0.0
3.415158455E8	1306.4851252711467	0.0
3.482785355E8	1761.4088309652348	24900.07728457422
3.550412255E8	954.610109318825	0.0
3.618039155E8	2748.4985814626084	0.0
3.685666055E8	933.4126944938531	24900.07728457422
3.753292955E8	669.5485678011404	0.0
3.820919855E8	648.8947510094213	0.0
3.888546755E8	278.1955311041465	24900.07728457422
3.956173655E8	344.5466326542207	0.0
4.023800555E8	266.0865632852075	0.0
4.07291275E8	249.26784626201078	24900.07728457422
4.1067262E8	16467.080161760077	0.0
4.159054355E8	17394.038699823235	0.0
4.226681255E8	15030.314979348903	24900.07728457422
