#Insert size (bp)	insert size
1.0	67.0
2.0	912.0
3.0	871.0
4.0	946.0
5.0	978.0
6.0	884.0
7.0	884.0
8.0	959.0
9.0	893.0
10.0	856.0
11.0	1039.0
12.0	1087.0
13.0	922.0
14.0	870.0
15.0	844.0
16.0	924.0
17.0	990.0
18.0	1038.0
19.0	45152.0
20.0	52331.0
21.0	36258.0
22.0	20611.0
23.0	10782.0
24.0	6495.0
25.0	5054.0
26.0	4415.0
27.0	4008.0
28.0	3771.0
29.0	3545.0
30.0	3352.0
31.0	3369.0
32.0	3568.0
33.0	3603.0
34.0	3577.0
35.0	3898.0
36.0	4152.0
37.0	4117.0
38.0	4735.0
39.0	4501.0
40.0	4668.0
41.0	5161.0
42.0	5232.0
43.0	5474.0
44.0	5444.0
45.0	5710.0
46.0	5873.0
47.0	6127.0
48.0	6168.0
49.0	6758.0
50.0	7011.0
51.0	7411.0
52.0	7577.0
53.0	7832.0
54.0	7719.0
55.0	8228.0
56.0	8196.0
57.0	8434.0
58.0	8421.0
59.0	9080.0
60.0	8529.0
61.0	9013.0
62.0	9114.0
63.0	9140.0
64.0	8811.0
65.0	8964.0
66.0	8847.0
67.0	8980.0
68.0	9297.0
69.0	9119.0
70.0	9461.0
71.0	9817.0
72.0	9734.0
73.0	10137.0
74.0	10156.0
75.0	10425.0
76.0	10860.0
77.0	10746.0
78.0	10733.0
79.0	10833.0
80.0	11083.0
81.0	11205.0
82.0	11183.0
83.0	11346.0
84.0	10363.0
85.0	10505.0
86.0	10831.0
87.0	10571.0
88.0	10683.0
89.0	10745.0
90.0	10528.0
91.0	10901.0
92.0	10850.0
93.0	10963.0
94.0	10888.0
95.0	10760.0
96.0	10708.0
97.0	10766.0
98.0	10958.0
99.0	11197.0
100.0	10789.0
101.0	10884.0
102.0	10951.0
103.0	11091.0
104.0	10960.0
105.0	10911.0
106.0	11046.0
107.0	11013.0
108.0	10958.0
109.0	10825.0
110.0	10998.0
111.0	11007.0
112.0	11072.0
113.0	11433.0
114.0	11208.0
115.0	11585.0
116.0	11645.0
117.0	11717.0
118.0	11773.0
119.0	11775.0
120.0	11584.0
121.0	12130.0
122.0	12018.0
123.0	12495.0
124.0	12643.0
125.0	12965.0
126.0	13641.0
127.0	13967.0
128.0	14621.0
129.0	15381.0
130.0	15753.0
131.0	16694.0
132.0	17538.0
133.0	18039.0
134.0	19125.0
135.0	20492.0
136.0	21998.0
