#GC Content (%)	Sample
1.0	1.9854437193714286E-7
2.0	2.647258292495238E-7
3.0	4.301794725304762E-7
4.0	4.963609298428571E-7
5.0	1.0919940456542857E-6
6.0	1.8861715334028571E-6
7.0	1.985443719371428E-6
8.0	2.8788933930885714E-6
9.0	3.5737986948685714E-6
10.0	5.55924241424E-6
11.0	6.121784801395238E-6
12.0	1.045667025535619E-5
13.0	1.757117691643714E-5
14.0	2.7167488226732378E-5
15.0	4.470557441451333E-5
16.0	7.915302294560762E-5
17.0	1.448381193281457E-4
18.0	2.625749318868714E-4
19.0	5.033761643179694E-4
20.0	8.981485571863219E-4
21.0	0.0015736626919737942
22.0	0.0026289591195483653
23.0	0.0041924629578247085
24.0	0.006342764687361277
25.0	0.010223479890516016
26.0	0.011346413767463839
27.0	0.016202279653387854
28.0	0.02042250573255511
29.0	0.024647463785920195
30.0	0.02899221027702069
31.0	0.033326533188594486
32.0	0.03769904280103753
33.0	0.0410691349702986
34.0	0.04299077976482089
35.0	0.0434244006731316
36.0	0.04331536672220945
37.0	0.04329091267373253
38.0	0.04286665644163151
39.0	0.04167879855506024
40.0	0.04010933838562579
41.0	0.038786536507594574
42.0	0.037462841179889635
43.0	0.03638027799190236
44.0	0.03515257886802905
45.0	0.03230988673209034
46.0	0.029229404620028262
47.0	0.026342437089147578
48.0	0.02371718413120871
49.0	0.021509569259639618
50.0	0.01957081655840208
51.0	0.019480214143341425
52.0	0.014444036876969829
53.0	0.014644930690641562
54.0	0.013324014984143751
55.0	0.01216160386790909
56.0	0.011002369461625425
57.0	0.009919376094165626
58.0	0.008964278392961999
59.0	0.008145415221635909
60.0	0.007535354548130382
61.0	0.006876749775686222
62.0	0.006196735301801508
63.0	0.00545560225208881
64.0	0.004641305601317276
65.0	0.003856989150708249
66.0	0.0030624145742158037
67.0	0.0024573175100087046
68.0	0.001949242462221556
69.0	0.0015182026307460187
70.0	0.0011858393521232418
71.0	9.107230340756741E-4
72.0	6.802791997139637E-4
73.0	5.064536020829951E-4
74.0	3.9728728824622275E-4
75.0	3.171746341695857E-4
76.0	2.3802161122397805E-4
77.0	1.8865024406894187E-4
78.0	1.5661841872974952E-4
79.0	1.3103928547851426E-4
80.0	1.1164811848598665E-4
81.0	8.927878591440188E-5
82.0	7.127742952543427E-5
83.0	5.4004069166902843E-5
84.0	4.344812672557809E-5
85.0	3.381872468662666E-5
86.0	2.39576875470819E-5
87.0	1.7538086187780952E-5
88.0	1.3567198749038095E-5
89.0	9.033768923139998E-6
90.0	5.426879499615238E-6
91.0	2.9450748504009524E-6
92.0	1.6876271614657143E-6
93.0	4.6327020118666667E-7
94.0	4.6327020118666667E-7
95.0	2.647258292495238E-7
96.0	4.6327020118666667E-7
97.0	1.7538086187780952E-6
98.0	3.1105284936819043E-6
99.0	5.923240429458094E-6
100.0	3.44507576039599E-4
