#Mapping quality	mapping quality
0.0	3.9155643E7
1.0	6789400.0
2.0	5861088.0
3.0	5436784.0
4.0	4967176.0
5.0	4731043.0
6.0	4630204.0
7.0	4262978.0
8.0	4327532.0
9.0	4244725.0
10.0	4332918.0
11.0	4006309.0
12.0	4133655.0
13.0	4467092.0
14.0	3966265.0
15.0	4300653.0
16.0	4223366.0
17.0	4159928.0
18.0	4230832.0
19.0	4151610.0
20.0	5361723.0
21.0	4555105.0
22.0	4649497.0
23.0	4653072.0
24.0	5020124.0
25.0	5114840.0
26.0	5187307.0
27.0	5427444.0
28.0	5346286.0
29.0	5370832.0
30.0	7369601.0
31.0	5934643.0
32.0	6148509.0
33.0	6503100.0
34.0	6483813.0
35.0	6644891.0
36.0	7325112.0
37.0	7091724.0
38.0	7143976.0
39.0	7181363.0
40.0	1.0799803E7
41.0	7885536.0
42.0	8601666.0
43.0	8409634.0
44.0	8617439.0
45.0	1.081386E7
46.0	9668226.0
47.0	9283668.0
48.0	1.1854377E7
49.0	9953436.0
50.0	1.3413089E7
51.0	1.2619571E7
52.0	1.3166246E7
53.0	1.4280115E7
54.0	1.4626299E7
55.0	1.6437199E7
56.0	1.83256E7
57.0	2.0876829E7
58.0	2.5196493E7
59.0	2.6521703E7
60.0	2.141382537E9
61.0	1.4262989E7
62.0	5687978.0
63.0	1623524.0
64.0	396587.0
65.0	719724.0
66.0	136155.0
67.0	28828.0
68.0	11281.0
69.0	494.0
70.0	100140.0
