#Coverage (X)	Coverage
1.0	99.25268632877373
2.0	97.8301848810046
3.0	95.0127682012351
4.0	90.37825918382917
5.0	83.80005031504425
6.0	75.51536398263289
7.0	66.07884645354629
8.0	56.20808594545654
9.0	46.62158976309287
10.0	37.892621028122605
11.0	30.37178672154168
12.0	24.198336480521988
13.0	19.339621753939653
14.0	15.639678436643194
15.0	12.896908098647131
16.0	10.90119724305083
17.0	9.460063968710543
18.0	8.41674977494067
19.0	7.651727171857289
20.0	7.076910526157818
21.0	6.628835956057898
22.0	6.265752688031114
23.0	5.960325885601932
24.0	5.694018211239424
25.0	5.45634936646853
26.0	5.240022401887501
27.0	5.0395280815124295
28.0	4.8525619226401915
29.0	4.676910456658817
30.0	4.5119200974059055
31.0	4.356106339252307
32.0	4.207959686509739
33.0	4.067912437627456
34.0	3.9344246356616424
35.0	3.8073286328042286
36.0	3.6863480227353023
37.0	3.5708203470821047
38.0	3.4606159237033722
39.0	3.3554665900413028
40.0	3.254945814583351
41.0	3.159061841091642
42.0	3.067429763507178
43.0	2.9797451910798998
44.0	2.895969086084264
45.0	2.8156082275599488
46.0	2.7386776982645387
47.0	2.664909335640232
48.0	2.5942201105851836
49.0	2.526424556935538
50.0	2.461287819889847
51.0	2.3986089438837013
