#Duplication rate	Coverage
1.0	1.50286975E8
2.0	1.8943099E7
3.0	3434509.0
4.0	1138460.0
5.0	465861.0
6.0	249958.0
7.0	145969.0
8.0	96051.0
9.0	65609.0
10.0	47753.0
11.0	36039.0
12.0	28280.0
13.0	22628.0
14.0	18162.0
15.0	15202.0
16.0	12618.0
17.0	10898.0
18.0	9507.0
19.0	8217.0
20.0	7148.0
21.0	6246.0
22.0	5672.0
23.0	5143.0
24.0	4525.0
25.0	4026.0
26.0	3809.0
27.0	3421.0
28.0	3075.0
29.0	2953.0
30.0	2751.0
31.0	2455.0
32.0	2324.0
33.0	2103.0
34.0	1979.0
35.0	1806.0
36.0	1752.0
37.0	1562.0
38.0	1499.0
39.0	1431.0
40.0	1286.0
41.0	1324.0
42.0	1220.0
43.0	1134.0
44.0	1064.0
45.0	945.0
46.0	918.0
47.0	886.0
48.0	859.0
49.0	754.0
50.0	25247.0
