#Position (bp)	insert size	chromosomes
3381345.5	63972.055545744755	0.0
1.01440355E7	22357.195074238265	63972.055545744755
1.69067255E7	24618.83417332089	0.0
2.36694155E7	31431.662104913405	0.0
3.04321055E7	29405.907733852397	63972.055545744755
3.71947955E7	26462.98210755913	0.0
4.39574855E7	18765.68065078997	0.0
5.07201755E7	24529.039033175093	63972.055545744755
5.74828655E7	11250.617036310377	0.0
6.42455555E7	15613.714689226803	0.0
7.10082455E7	12080.893478862497	63972.055545744755
7.77709355E7	18325.681557500753	0.0
8.45336255E7	20238.751502405845	0.0
9.12963155E7	14460.030919832112	63972.055545744755
9.80590055E7	12475.99710353468	0.0
1.048216955E8	5709.586420212658	0.0
1.115843855E8	10042.36749892586	63972.055545744755
1.183470755E8	3667.508290200352	0.0
1.251097655E8	6370.735693254256	0.0
1.318724555E8	8215.457367279887	63972.055545744755
1.386351455E8	4205.622160296876	0.0
1.453978355E8	4875.512802820173	0.0
1.521605255E8	1877.563604895537	63972.055545744755
1.589232155E8	3383.1967502434272	0.0
1.656859055E8	1961.5997960585187	0.0
1.724485955E8	2051.500535056082	63972.055545744755
1.792112855E8	1271.4235919653406	0.0
1.859739755E8	698.9294820489366	0.0
1.927366655E8	685.0268015242305	63972.055545744755
1.994993555E8	301.3733630079148	0.0
2.05937114E8	250.8834248763196	0.0
2.09318459E8	47095.66843579537	63972.055545744755
2.130247355E8	32923.76308767336	0.0
2.197874255E8	52356.766319920935	0.0
2.265501155E8	31380.488477947576	63972.055545744755
2.333128055E8	25709.448019559903	0.0
2.400754955E8	17748.44677904427	0.0
2.468381855E8	33752.75298504476	63972.055545744755
2.536008755E8	20530.11990512282	0.0
2.603635655E8	39861.8790042089	0.0
2.671262555E8	21921.14050557284	63972.055545744755
2.738889455E8	16325.103783283294	0.0
2.806516355E8	21646.149256184763	0.0
2.874143255E8	20168.24388661202	63972.055545744755
2.941770155E8	16614.785101796075	0.0
3.009397055E8	20253.713402132784	0.0
3.077023955E8	13469.240807381153	63972.055545744755
3.144650855E8	9236.225807120063	0.0
3.212277755E8	3989.3564088769335	0.0
3.279904655E8	3854.547365336178	63972.055545744755
3.347531555E8	7685.615300631212	0.0
3.415158455E8	3644.0610749185666	0.0
3.482785355E8	3761.6771319301292	63972.055545744755
3.550412255E8	2742.726579656101	0.0
3.618039155E8	1353.1436728915257	0.0
3.685666055E8	1038.646152162164	63972.055545744755
3.753292955E8	1517.5736096188984	0.0
3.820919855E8	434.4578944473474	0.0
3.888546755E8	593.2462897355681	63972.055545744755
3.956173655E8	630.2594462689611	0.0
4.023800555E8	370.48983894330746	0.0
4.07291275E8	239.33947088041538	63972.055545744755
4.1067262E8	35853.99701305221	0.0
4.159054355E8	33642.47792091583	0.0
4.226681255E8	33693.62569574258	63972.055545744755
4.294308155E8	26203.736264778618	0.0
4.361935055E8	20730.82492527212	0.0
4.429561955E8	23326.490060140917	63972.055545744755
4.497188855E8	16404.800102756064	0.0
4.564815755E8	20695.97924495416	0.0
4.632442655E8	23408.350576749155	63972.055545744755
4.700069555E8	17314.550208379897	0.0
4.767696455E8	10874.363229419816	0.0
4.835323355E8	14320.827140369982	63972.055545744755
4.902950255E8	10882.523269199144	0.0
4.970577155E8	15696.991528313985	0.0
5.038204055E8	6955.981392654549	63972.055545744755
5.105830955E8	4742.165597651973	0.0
5.173457855E8	4294.205483581455	0.0
5.241084755E8	2543.267262192178	63972.055545744755
5.308711655E8	3127.9622386495284	0.0
5.376338555E8	2127.452275200952	0.0
5.443965455E8	2614.494668346211	63972.055545744755
5.511592355E8	1912.015962885947	0.0
5.579219255E8	1438.7449776440772	0.0
5.646846155E8	1078.8966423837433	63972.055545744755
5.714473055E8	579.1304942882099	0.0
5.782099955E8	386.44729581537644	0.0
5.849726855E8	434.6053602146838	63972.055545744755
5.903608885E8	254.6976541733892	0.0
5.937422335E8	32464.718541249873	0.0
5.984980655E8	40905.012180434045	63972.055545744755
6.052607555E8	23194.008676319452	0.0
6.120234455E8	24200.752594222293	0.0
6.187861355E8	17993.741138530368	63972.055545744755
6.255488255E8	13956.095632822966	0.0
6.323115155E8	18938.20421128201	0.0
6.390742055E8	12334.005982685732	63972.055545744755
6.458368955E8	12893.0600689248	0.0
6.525995855E8	13236.688385510572	0.0
6.593622755E8	11240.807897818275	63972.055545744755
6.661249655E8	7020.848895707945	0.0
6.728876555E8	11203.902120882223	0.0
6.796503455E8	9484.751538081004	63972.055545744755
6.864130355E8	6982.642083589063	0.0
6.931757255E8	5918.977219108402	0.0
6.999384155E8	4597.096018417282	63972.055545744755
7.067011055E8	4373.990866521713	0.0
7.134637955E8	3731.8056126314927	0.0
7.202264855E8	2766.1149156392175	63972.055545744755
7.269891755E8	319.85583416603515	0.0
7.337518655E8	655.04310194395	0.0
7.405145555E8	1022.8368343308114	63972.055545744755
7.472772455E8	800.8096839788855	0.0
7.540399355E8	821.4883722579593	0.0
7.608026255E8	236.29064993415446	63972.055545744755
7.668320365E8	271.5389416058394	0.0
7.702133815E8	25520.38063367133	0.0
7.743280055E8	36388.26246261041	63972.055545744755
7.810906955E8	33957.19802917539	0.0
