#Mapping quality	mapping quality
0.0	4.3666352E7
1.0	6807416.0
2.0	5914352.0
3.0	5453064.0
4.0	5012402.0
5.0	4776782.0
6.0	4704380.0
7.0	4296872.0
8.0	4446244.0
9.0	4291398.0
10.0	4460694.0
11.0	4097825.0
12.0	4247911.0
13.0	4632979.0
14.0	4075908.0
15.0	4483496.0
16.0	4373772.0
17.0	4272469.0
18.0	4369014.0
19.0	4259169.0
20.0	5762232.0
21.0	4704114.0
22.0	4822228.0
23.0	4817695.0
24.0	5227740.0
25.0	5302802.0
26.0	5367246.0
27.0	5635188.0
28.0	5488418.0
29.0	5508134.0
30.0	8299321.0
31.0	6100576.0
32.0	6321349.0
33.0	6704176.0
34.0	6657404.0
35.0	6756926.0
36.0	7582411.0
37.0	7184322.0
38.0	7164793.0
39.0	7173733.0
40.0	1.1820505E7
41.0	7911221.0
42.0	8691968.0
43.0	8412094.0
44.0	8536455.0
45.0	1.1519152E7
46.0	9634934.0
47.0	9226008.0
48.0	1.2491289E7
49.0	9854541.0
50.0	1.406782E7
51.0	1.2946824E7
52.0	1.3186642E7
53.0	1.4517834E7
54.0	1.4405935E7
55.0	1.6044217E7
56.0	1.7606951E7
57.0	1.9304156E7
58.0	2.1655388E7
59.0	2.2558026E7
60.0	2.126713017E9
61.0	1.1435398E7
62.0	5753800.0
63.0	1837163.0
64.0	362716.0
65.0	900030.0
66.0	146331.0
67.0	26376.0
68.0	10467.0
69.0	333.0
70.0	145848.0
