#Coverage	Number of genomic locations
0.0	2.8646157E7
1.0	5.9863224E7
2.0	1.13395155E8
3.0	1.74645197E8
4.0	2.30798101E8
5.0	2.69941286E8
6.0	2.85593851E8
7.0	2.77772063E8
8.0	2.5140847E8
9.0	2.14075606E8
10.0	1.73048097E8
11.0	1.33800803E8
12.0	9.9834906E7
13.0	7.2439449E7
14.0	5.1702776E7
15.0	3.6716885E7
16.0	2.626986E7
17.0	1.918463E7
18.0	1.4464981E7
19.0	1.1386331E7
20.0	9330866.0
21.0	7947483.0
22.0	6984052.0
23.0	6283570.0
24.0	5743334.0
25.0	5304664.0
26.0	4937965.0
27.0	4611430.0
28.0	4322885.0
29.0	4064174.0
30.0	3819579.0
31.0	3598476.0
32.0	3401355.0
33.0	3210996.0
34.0	3036341.0
35.0	2879390.0
36.0	2726046.0
37.0	2587250.0
38.0	2454762.0
39.0	2336029.0
40.0	2221133.0
41.0	2122437.0
42.0	2021400.0
43.0	1931608.0
44.0	1842430.0
45.0	1763369.0
46.0	1685182.0
47.0	1616900.0
48.0	1545575.0
49.0	1485851.0
50.0	1427969.0
51.0	1375469.0
52.0	1323598.0
53.0	1273483.0
54.0	1227765.0
55.0	1186114.0
56.0	1143715.0
57.0	1107307.0
58.0	1071648.0
59.0	1039980.0
60.0	1009794.0
61.0	977152.0
62.0	944532.0
63.0	914608.0
64.0	885899.0
65.0	861418.0
66.0	836072.0
67.0	807669.0
68.0	782871.0
69.0	759641.0
70.0	735847.0
71.0	715170.0
72.0	691895.0
73.0	671728.0
74.0	652350.0
75.0	633438.0
76.0	613991.0
77.0	595577.0
78.0	579714.0
79.0	562773.0
80.0	546464.0
81.0	530162.0
82.0	513947.0
83.0	496555.0
84.0	483141.0
85.0	469190.0
86.0	455318.0
87.0	442527.0
88.0	429266.0
89.0	417949.0
90.0	404387.0
91.0	392493.0
92.0	381904.0
93.0	372399.0
94.0	360690.0
95.0	353029.0
96.0	344238.0
97.0	335460.0
98.0	326936.0
99.0	316983.0
100.0	308470.0
101.0	300088.0
102.0	291355.0
103.0	283677.0
104.0	277113.0
105.0	269665.0
106.0	262078.0
107.0	256525.0
108.0	249573.0
109.0	243528.0
110.0	239438.0
111.0	231569.0
112.0	226223.0
113.0	218314.0
114.0	213761.0
115.0	208042.0
116.0	202222.0
117.0	197623.0
118.0	192321.0
119.0	188651.0
