#Insert size (bp)	insert size
1.0	125.0
2.0	550.0
3.0	534.0
4.0	487.0
5.0	525.0
6.0	488.0
7.0	497.0
8.0	579.0
9.0	526.0
10.0	513.0
11.0	614.0
12.0	612.0
13.0	521.0
14.0	557.0
15.0	552.0
16.0	533.0
17.0	651.0
18.0	600.0
19.0	44777.0
20.0	50285.0
21.0	34620.0
22.0	19275.0
23.0	10287.0
24.0	6244.0
25.0	5180.0
26.0	4564.0
27.0	3853.0
28.0	3753.0
29.0	3595.0
30.0	3540.0
31.0	3867.0
32.0	3856.0
33.0	4126.0
34.0	4316.0
35.0	4695.0
36.0	4732.0
37.0	5291.0
38.0	5588.0
39.0	5715.0
40.0	5952.0
41.0	6342.0
42.0	6200.0
43.0	6949.0
44.0	7104.0
45.0	7503.0
46.0	7624.0
47.0	7907.0
48.0	8141.0
49.0	8283.0
50.0	8726.0
51.0	8845.0
52.0	9293.0
53.0	9477.0
54.0	9310.0
55.0	9536.0
56.0	9544.0
57.0	10389.0
58.0	10776.0
59.0	11188.0
60.0	10796.0
61.0	11787.0
62.0	11373.0
63.0	11720.0
64.0	11567.0
65.0	11898.0
66.0	11637.0
67.0	12107.0
68.0	12235.0
69.0	12438.0
70.0	12821.0
71.0	13355.0
72.0	13444.0
73.0	14034.0
74.0	14530.0
75.0	14778.0
76.0	16165.0
77.0	16920.0
78.0	16829.0
79.0	17812.0
80.0	18117.0
81.0	18758.0
82.0	19134.0
83.0	19264.0
84.0	19112.0
85.0	19504.0
86.0	19984.0
87.0	19996.0
88.0	20216.0
89.0	20576.0
90.0	20821.0
91.0	20597.0
92.0	21508.0
93.0	21201.0
94.0	21391.0
95.0	21001.0
96.0	20896.0
97.0	20828.0
98.0	21567.0
99.0	21589.0
100.0	21154.0
101.0	21534.0
102.0	21248.0
103.0	21567.0
104.0	22392.0
105.0	21620.0
106.0	21478.0
107.0	21378.0
108.0	20608.0
109.0	20684.0
110.0	20954.0
111.0	21115.0
112.0	21032.0
113.0	21556.0
114.0	21288.0
115.0	21700.0
116.0	22054.0
117.0	22204.0
118.0	21970.0
119.0	22113.0
120.0	21889.0
121.0	22377.0
122.0	22472.0
123.0	23290.0
124.0	23347.0
125.0	23484.0
126.0	24076.0
127.0	24323.0
128.0	25365.0
129.0	25860.0
130.0	25852.0
131.0	26891.0
132.0	27342.0
133.0	28025.0
134.0	29367.0
135.0	30187.0
136.0	31528.0
137.0	32999.0
138.0	33696.0
139.0	35908.0
140.0	38474.0
141.0	41234.0
142.0	45764.0
143.0	57720.0
144.0	369724.0
145.0	382544.0
146.0	389294.0
147.0	391072.0
148.0	396208.0
149.0	398443.0
150.0	401445.0
151.0	402046.0
152.0	403532.0
153.0	407015.0
154.0	408770.0
155.0	411330.0
156.0	411862.0
157.0	413221.0
158.0	415566.0
159.0	416940.0
160.0	419174.0
161.0	419801.0
162.0	421783.0
163.0	424898.0
164.0	425950.0
165.0	429031.0
166.0	428224.0
167.0	429619.0
168.0	431083.0
169.0	430938.0
170.0	432168.0
171.0	433139.0
172.0	435483.0
173.0	435296.0
174.0	437868.0
175.0	438593.0
176.0	440004.0
177.0	441354.0
178.0	441878.0
179.0	442417.0
180.0	442464.0
181.0	442560.0
182.0	441756.0
183.0	444151.0
184.0	445213.0
185.0	445196.0
186.0	446517.0
187.0	447462.0
188.0	447590.0
189.0	448197.0
190.0	447583.0
191.0	448976.0
192.0	447117.0
193.0	449240.0
194.0	450142.0
195.0	450337.0
196.0	450763.0
197.0	450114.0
198.0	449832.0
199.0	450667.0
200.0	450087.0
201.0	449636.0
202.0	449221.0
203.0	448653.0
204.0	449949.0
205.0	449435.0
206.0	449103.0
207.0	451474.0
208.0	449233.0
209.0	448767.0
210.0	448649.0
211.0	446670.0
212.0	447607.0
213.0	445920.0
214.0	446315.0
215.0	444165.0
216.0	444538.0
217.0	444847.0
218.0	442659.0
219.0	444000.0
220.0	443728.0
221.0	441092.0
222.0	440823.0
223.0	437883.0
224.0	437432.0
225.0	437051.0
226.0	436454.0
227.0	434582.0
228.0	434441.0
229.0	434965.0
230.0	431316.0
231.0	430580.0
232.0	429341.0
233.0	427863.0
234.0	426042.0
235.0	425935.0
236.0	423304.0
237.0	420647.0
238.0	423184.0
239.0	418931.0
240.0	417861.0
241.0	416572.0
242.0	415184.0
243.0	413041.0
244.0	411070.0
245.0	409940.0
246.0	409223.0
247.0	408177.0
248.0	405509.0
249.0	404223.0
250.0	402552.0
251.0	398638.0
252.0	397900.0
253.0	395584.0
254.0	393137.0
255.0	391247.0
256.0	390517.0
257.0	388216.0
258.0	386044.0
259.0	384082.0
260.0	382406.0
261.0	379957.0
262.0	376830.0
263.0	375341.0
264.0	373849.0
265.0	370741.0
266.0	368703.0
267.0	365116.0
268.0	363732.0
269.0	362006.0
270.0	359360.0
271.0	357386.0
272.0	354115.0
273.0	352780.0
274.0	349866.0
275.0	348255.0
276.0	345974.0
277.0	342509.0
278.0	340623.0
279.0	338179.0
280.0	334305.0
281.0	333700.0
282.0	331306.0
283.0	327943.0
284.0	325861.0
285.0	323672.0
286.0	321093.0
287.0	318621.0
288.0	314454.0
289.0	312807.0
290.0	310705.0
291.0	307915.0
292.0	304922.0
293.0	302070.0
294.0	300240.0
295.0	296555.0
296.0	294905.0
297.0	292537.0
298.0	289117.0
299.0	286410.0
300.0	285351.0
301.0	281792.0
302.0	278919.0
303.0	277674.0
304.0	274827.0
305.0	271734.0
306.0	268527.0
307.0	267069.0
308.0	263480.0
309.0	260865.0
310.0	258653.0
311.0	256996.0
312.0	254033.0
313.0	250820.0
314.0	248755.0
315.0	246352.0
316.0	243995.0
317.0	240917.0
318.0	238894.0
319.0	237153.0
320.0	233613.0
321.0	232580.0
322.0	229180.0
323.0	227281.0
324.0	224068.0
325.0	221666.0
326.0	218255.0
327.0	217218.0
328.0	213686.0
329.0	211794.0
330.0	210101.0
331.0	206688.0
332.0	205422.0
333.0	202919.0
334.0	200844.0
335.0	197387.0
336.0	195614.0
337.0	194003.0
338.0	190131.0
339.0	188862.0
340.0	187352.0
341.0	184382.0
342.0	181841.0
343.0	181260.0
344.0	177946.0
345.0	175024.0
346.0	172608.0
347.0	170327.0
348.0	169728.0
349.0	166470.0
350.0	164162.0
351.0	161939.0
352.0	160052.0
353.0	158160.0
354.0	156855.0
355.0	153095.0
356.0	152522.0
357.0	150678.0
358.0	148213.0
359.0	146086.0
360.0	145291.0
361.0	141949.0
362.0	141093.0
363.0	139936.0
364.0	137556.0
365.0	136231.0
366.0	133824.0
367.0	131975.0
368.0	129204.0
369.0	129088.0
370.0	127039.0
371.0	124852.0
372.0	122925.0
