#Duplication rate	Coverage
1.0	5.8687254E7
2.0	2527891.0
3.0	259211.0
4.0	70868.0
5.0	32514.0
6.0	19624.0
7.0	13949.0
8.0	10364.0
9.0	8233.0
10.0	6844.0
11.0	5870.0
12.0	5109.0
13.0	4551.0
14.0	4076.0
15.0	3649.0
16.0	3233.0
17.0	2907.0
18.0	2687.0
19.0	2465.0
20.0	2281.0
21.0	2068.0
22.0	1883.0
23.0	1594.0
24.0	1453.0
25.0	1389.0
26.0	1287.0
27.0	1125.0
28.0	967.0
29.0	888.0
30.0	835.0
31.0	713.0
32.0	647.0
33.0	564.0
34.0	507.0
35.0	466.0
36.0	386.0
37.0	366.0
38.0	291.0
39.0	269.0
40.0	271.0
41.0	220.0
42.0	197.0
43.0	160.0
44.0	150.0
45.0	148.0
46.0	126.0
47.0	108.0
48.0	101.0
49.0	96.0
50.0	1604.0
