#Insert size (bp)	insert size
2.0	121.0
3.0	144.0
4.0	128.0
5.0	148.0
6.0	116.0
7.0	136.0
8.0	126.0
9.0	123.0
10.0	129.0
11.0	166.0
12.0	150.0
13.0	143.0
14.0	140.0
15.0	149.0
16.0	147.0
17.0	176.0
18.0	161.0
19.0	4004.0
20.0	4685.0
21.0	3347.0
22.0	2004.0
23.0	1140.0
24.0	727.0
25.0	571.0
26.0	517.0
27.0	456.0
28.0	465.0
29.0	467.0
30.0	500.0
31.0	491.0
32.0	571.0
33.0	556.0
34.0	601.0
35.0	656.0
36.0	715.0
37.0	756.0
38.0	868.0
39.0	893.0
40.0	989.0
41.0	1042.0
42.0	1146.0
43.0	1162.0
44.0	1195.0
45.0	1223.0
46.0	1343.0
47.0	1386.0
48.0	1412.0
49.0	1501.0
50.0	1586.0
51.0	1705.0
52.0	1702.0
53.0	1796.0
54.0	1849.0
55.0	1833.0
56.0	1964.0
57.0	2018.0
58.0	2077.0
59.0	2125.0
60.0	2076.0
61.0	2184.0
62.0	2215.0
63.0	2167.0
64.0	2215.0
65.0	2179.0
66.0	2175.0
67.0	2254.0
68.0	2145.0
69.0	2218.0
70.0	2315.0
71.0	2435.0
72.0	2466.0
73.0	2533.0
74.0	2549.0
75.0	2616.0
76.0	2642.0
77.0	2672.0
78.0	2714.0
79.0	2805.0
80.0	2777.0
81.0	2860.0
82.0	2874.0
83.0	2873.0
84.0	2510.0
85.0	2646.0
86.0	2732.0
87.0	2587.0
88.0	2687.0
89.0	2728.0
90.0	2542.0
91.0	2750.0
92.0	2736.0
93.0	2786.0
94.0	2789.0
95.0	2696.0
96.0	2583.0
97.0	2712.0
98.0	2774.0
99.0	2821.0
100.0	2546.0
101.0	2736.0
102.0	2640.0
103.0	2706.0
104.0	2741.0
105.0	2746.0
106.0	2637.0
107.0	2733.0
108.0	2605.0
109.0	2593.0
110.0	2637.0
111.0	2685.0
112.0	2540.0
113.0	2760.0
114.0	2627.0
115.0	2645.0
116.0	2798.0
117.0	2810.0
118.0	2719.0
119.0	2633.0
120.0	2652.0
121.0	2722.0
122.0	2720.0
123.0	2777.0
124.0	2843.0
125.0	2864.0
126.0	3017.0
127.0	3073.0
128.0	3187.0
129.0	3438.0
130.0	3434.0
131.0	3546.0
132.0	3756.0
133.0	4026.0
134.0	4056.0
135.0	4474.0
136.0	4724.0
137.0	5080.0
138.0	5311.0
139.0	5974.0
140.0	6709.0
141.0	7342.0
142.0	8846.0
143.0	12743.0
144.0	126824.0
145.0	132782.0
146.0	134065.0
147.0	136439.0
148.0	137789.0
149.0	138807.0
150.0	139762.0
151.0	140264.0
152.0	141778.0
153.0	142641.0
154.0	143805.0
155.0	145394.0
156.0	146482.0
157.0	147293.0
158.0	146681.0
159.0	148223.0
160.0	148276.0
161.0	148974.0
162.0	149655.0
163.0	151002.0
164.0	151398.0
165.0	151740.0
166.0	152726.0
167.0	153206.0
168.0	152909.0
169.0	154074.0
170.0	153077.0
171.0	153728.0
172.0	153830.0
173.0	154153.0
174.0	155326.0
175.0	155401.0
176.0	155869.0
177.0	155685.0
178.0	155241.0
179.0	154829.0
180.0	155662.0
181.0	155179.0
182.0	155419.0
183.0	155491.0
184.0	155330.0
185.0	156036.0
186.0	155659.0
187.0	155465.0
188.0	154632.0
189.0	155747.0
190.0	154809.0
191.0	153786.0
192.0	154847.0
193.0	153993.0
194.0	154108.0
195.0	154551.0
196.0	153303.0
197.0	152575.0
198.0	153025.0
199.0	153173.0
200.0	152048.0
201.0	151420.0
202.0	150565.0
203.0	150634.0
204.0	150066.0
205.0	149342.0
206.0	149307.0
207.0	149516.0
208.0	147786.0
209.0	147496.0
210.0	146923.0
211.0	146671.0
212.0	145871.0
213.0	145306.0
214.0	145039.0
215.0	143983.0
216.0	143750.0
217.0	143047.0
218.0	142462.0
219.0	141899.0
220.0	140675.0
221.0	140634.0
222.0	139250.0
223.0	138267.0
224.0	138041.0
225.0	136897.0
226.0	136711.0
227.0	136043.0
228.0	135439.0
229.0	134646.0
230.0	134074.0
231.0	132910.0
232.0	132197.0
233.0	131499.0
234.0	130788.0
235.0	129892.0
236.0	128714.0
237.0	127868.0
238.0	126957.0
239.0	126646.0
240.0	125423.0
241.0	124221.0
242.0	124606.0
243.0	123215.0
244.0	122094.0
245.0	121812.0
246.0	120477.0
247.0	119618.0
248.0	119161.0
249.0	118091.0
250.0	116923.0
251.0	116357.0
252.0	115740.0
253.0	115161.0
254.0	113933.0
255.0	112635.0
256.0	112562.0
257.0	111203.0
258.0	110806.0
259.0	109731.0
260.0	109356.0
261.0	108216.0
262.0	107366.0
263.0	106918.0
264.0	105431.0
265.0	105440.0
266.0	103647.0
267.0	102683.0
268.0	101681.0
269.0	101656.0
270.0	100199.0
271.0	99883.0
272.0	99055.0
273.0	97444.0
274.0	97605.0
275.0	96908.0
276.0	95517.0
277.0	95022.0
278.0	94721.0
279.0	93379.0
280.0	92505.0
281.0	91793.0
282.0	90995.0
283.0	89937.0
284.0	88886.0
285.0	88436.0
286.0	88279.0
287.0	87074.0
288.0	86486.0
289.0	86003.0
290.0	84578.0
291.0	84036.0
292.0	82657.0
293.0	82607.0
294.0	82035.0
295.0	81689.0
296.0	80606.0
297.0	79609.0
298.0	79064.0
299.0	78346.0
300.0	77721.0
301.0	77279.0
302.0	75229.0
303.0	75338.0
304.0	74547.0
305.0	73685.0
306.0	73426.0
307.0	72687.0
308.0	71660.0
309.0	71761.0
310.0	70255.0
311.0	69796.0
312.0	69196.0
313.0	69102.0
314.0	68393.0
315.0	67314.0
316.0	66769.0
317.0	66007.0
318.0	65451.0
319.0	65153.0
320.0	64560.0
321.0	63472.0
322.0	63011.0
323.0	62251.0
324.0	61811.0
325.0	61135.0
326.0	60862.0
327.0	60142.0
328.0	59827.0
329.0	58596.0
330.0	58468.0
331.0	57426.0
332.0	57392.0
333.0	56743.0
334.0	55873.0
335.0	55519.0
336.0	55130.0
337.0	54980.0
338.0	53972.0
339.0	53324.0
340.0	52790.0
341.0	52302.0
342.0	51607.0
343.0	51235.0
344.0	50669.0
345.0	50080.0
346.0	49672.0
347.0	49218.0
348.0	48741.0
349.0	47876.0
350.0	47616.0
351.0	47377.0
352.0	46189.0
353.0	45763.0
354.0	45275.0
355.0	45117.0
356.0	44767.0
357.0	44408.0
358.0	43469.0
359.0	43294.0
360.0	42986.0
361.0	42342.0
362.0	41920.0
363.0	41455.0
364.0	40839.0
365.0	41024.0
366.0	40051.0
367.0	39787.0
368.0	39485.0
369.0	38991.0
370.0	38931.0
371.0	37770.0
372.0	37386.0
373.0	37071.0
374.0	37168.0
375.0	36600.0
376.0	36271.0
377.0	35822.0
378.0	35249.0
379.0	35243.0
380.0	34580.0
381.0	34045.0
382.0	33935.0
383.0	33740.0
384.0	33495.0
385.0	32723.0
386.0	32486.0
387.0	32168.0
388.0	32023.0
389.0	31534.0
390.0	31098.0
391.0	30849.0
392.0	30527.0
393.0	30188.0
394.0	29852.0
395.0	29493.0
396.0	29216.0
397.0	28917.0
398.0	28760.0
399.0	28053.0
400.0	28087.0
401.0	27567.0
402.0	27777.0
403.0	27003.0
404.0	26689.0
405.0	26686.0
406.0	26146.0
407.0	25457.0
408.0	25484.0
409.0	25104.0
410.0	24934.0
411.0	24593.0
412.0	24276.0
