#GC Content (%)	Sample
1.0	1.154057834685139E-7
2.0	1.154057834685139E-7
3.0	2.308115669370278E-7
4.0	2.308115669370278E-7
5.0	5.770289173425695E-7
6.0	8.078404842795973E-7
7.0	1.6156809685591947E-6
8.0	1.2694636181536529E-6
9.0	1.6156809685591947E-6
10.0	1.5002751850906807E-6
11.0	1.269463618153653E-6
12.0	3.692985070992445E-6
13.0	6.808941224642319E-6
14.0	1.1078955212977334E-5
15.0	1.8234113788025198E-5
16.0	2.9659286351408072E-5
17.0	6.0588036320969795E-5
18.0	1.1886795697256933E-4
19.0	2.293112917519371E-4
20.0	4.305789781210253E-4
21.0	8.011469488384234E-4
22.0	0.0014543436832702122
23.0	0.002436908523721139
24.0	0.003995117412113013
25.0	0.007018056504287267
26.0	0.008347184912494142
27.0	0.012903174432264134
28.0	0.01723562294945561
29.0	0.022098591853251852
30.0	0.027476270551317662
31.0	0.03296219987427694
32.0	0.03865274365132589
33.0	0.043535331538311774
34.0	0.04686928921693368
35.0	0.04851359081979306
36.0	0.04902310735380655
37.0	0.04898017640235626
38.0	0.04797141444905798
39.0	0.04580882547264151
40.0	0.043392112961027345
41.0	0.041232062911847174
42.0	0.03897495659876998
43.0	0.0374497537644501
44.0	0.03550758983445849
45.0	0.032018988405988776
46.0	0.028441409118464843
47.0	0.02515753754986828
48.0	0.022543250336956037
49.0	0.020358272638546664
50.0	0.01850185520567215
51.0	0.01850739468327864
52.0	0.013630000056548833
53.0	0.013895548764309885
54.0	0.012723256815836718
55.0	0.011504802553976151
56.0	0.010412371407663198
57.0	0.009350176576618996
58.0	0.008370266069187844
59.0	0.007651749661312877
60.0	0.007043907399784214
61.0	0.006441720021645509
62.0	0.005778136766701553
63.0	0.004965910862650153
64.0	0.004186113983753404
65.0	0.0033896986720371902
66.0	0.002627558878011124
67.0	0.0020352963972507113
68.0	0.001606563911665182
69.0	0.0012260710435694918
70.0	9.18514630625902E-4
71.0	6.635832549439549E-4
72.0	4.98322173017043E-4
73.0	3.6952931866618156E-4
74.0	2.767430687574963E-4
75.0	2.201942348579245E-4
76.0	1.669921686789396E-4
77.0	1.3444773774081868E-4
78.0	9.636382919620912E-5
79.0	8.978569953850383E-5
80.0	7.939917902633757E-5
81.0	5.3779095096327475E-5
82.0	4.050742999744838E-5
83.0	2.6427924414289687E-5
84.0	2.3311968260639806E-5
85.0	1.8464925354962223E-5
86.0	1.1655984130319903E-5
87.0	9.232462677481111E-6
88.0	8.886245327075572E-6
89.0	5.308666039551639E-6
90.0	3.6929850709924447E-6
91.0	1.8464925354962228E-6
92.0	1.269463618153653E-6
93.0	5.770289173425695E-7
94.0	2.308115669370278E-7
95.0	2.308115669370278E-7
96.0	2.308115669370278E-7
97.0	4.616231338740556E-7
98.0	5.770289173425695E-7
99.0	1.1540578346851391E-6
100.0	3.5268007427977847E-4
