#Mapping quality	mapping quality
0.0	6.5222567E7
1.0	4514879.0
2.0	4515372.0
3.0	4755783.0
4.0	4279720.0
5.0	4036758.0
6.0	4231444.0
7.0	3724909.0
8.0	3985579.0
9.0	4019561.0
10.0	3982694.0
11.0	3234677.0
12.0	3467376.0
13.0	4747503.0
14.0	2994472.0
15.0	3826706.0
16.0	3543309.0
17.0	3209687.0
18.0	3473452.0
19.0	3303185.0
20.0	6471694.0
21.0	4056748.0
22.0	4150234.0
23.0	4010509.0
24.0	4491712.0
25.0	4555103.0
26.0	4266118.0
27.0	5802591.0
28.0	4261542.0
29.0	4204220.0
30.0	9819864.0
31.0	4970444.0
32.0	5055044.0
33.0	5944939.0
34.0	5306517.0
35.0	5363114.0
36.0	5779318.0
37.0	5529403.0
38.0	5257622.0
39.0	5730403.0
40.0	1.5688906E7
41.0	6541121.0
42.0	6904349.0
43.0	7050884.0
44.0	6616031.0
45.0	9069539.0
46.0	7699092.0
47.0	7783052.0
48.0	9415872.0
49.0	7472959.0
50.0	1.1783167E7
51.0	8277119.0
52.0	8389997.0
53.0	1.0905791E7
54.0	8709161.0
55.0	1.0208578E7
56.0	1.0137712E7
57.0	9678699.0
58.0	8994843.0
59.0	8780239.0
60.0	1.928105502E9
