## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../pre_dup_removal/merged/scaa0503_merged.bam] OUTPUT=scaa0503_merged_dedup.bam METRICS_FILE=scaa0503_merged_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 09 12:58:04 EDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	35754731	99593087	1802288	21256928	7955239	6201298	668436	0.086651	851068471

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.006369	88237611	0	88831749
2.0	1.901602	4761758	655515	4230951
3.0	2.69797	287528	6294	229687
4.0	3.406393	36438	107	31771
5.0	4.036582	14873	3	14443
6.0	4.597176	9782	0	9705
7.0	5.095863	7063	0	7033
8.0	5.539477	5383	0	5319
9.0	5.934102	4266	0	4247
10.0	6.285146	3395	0	3391
11.0	6.597424	2816	0	2807
12.0	6.875215	2345	0	2319
13.0	7.122329	1975	0	1947
14.0	7.342153	1655	0	1675
15.0	7.537702	1446	0	1415
16.0	7.711655	1281	0	1274
17.0	7.866398	1129	0	1112
18.0	8.004052	934	0	934
19.0	8.126504	887	0	867
20.0	8.235434	782	0	788
21.0	8.332334	672	0	660
22.0	8.418533	617	0	619
23.0	8.495212	546	0	549
24.0	8.563424	508	0	498
25.0	8.624103	456	0	464
26.0	8.678081	417	0	405
27.0	8.726097	374	0	349
28.0	8.768812	343	0	356
29.0	8.806809	333	0	333
30.0	8.84061	293	0	286
31.0	8.870678	249	0	243
32.0	8.897426	201	0	199
33.0	8.921219	217	0	206
34.0	8.942385	186	0	199
35.0	8.961214	174	0	166
36.0	8.977964	170	0	171
37.0	8.992863	168	0	161
38.0	9.006117	135	0	136
39.0	9.017908	149	0	144
40.0	9.028397	126	0	126
41.0	9.037727	110	0	122
42.0	9.046027	118	0	105
43.0	9.05341	97	0	95
44.0	9.059978	80	0	81
45.0	9.06582	83	0	74
46.0	9.071018	69	0	85
47.0	9.075641	94	0	92
48.0	9.079754	73	0	64
49.0	9.083412	61	0	65
50.0	9.086667	57	0	67
51.0	9.089562	81	0	73
52.0	9.092138	61	0	58
53.0	9.094429	54	0	52
54.0	9.096467	48	0	45
55.0	9.09828	39	0	40
56.0	9.099892	50	0	51
57.0	9.101327	45	0	38
58.0	9.102603	42	0	50
59.0	9.103738	35	0	30
60.0	9.104748	31	0	25
61.0	9.105647	27	0	33
62.0	9.106446	38	0	31
63.0	9.107157	24	0	38
64.0	9.107789	31	0	22
65.0	9.108352	32	0	30
66.0	9.108852	18	0	21
67.0	9.109297	25	0	22
68.0	9.109693	25	0	29
69.0	9.110046	28	0	29
70.0	9.110359	29	0	25
71.0	9.110638	20	0	16
72.0	9.110886	16	0	15
73.0	9.111106	15	0	24
74.0	9.111303	19	0	18
75.0	9.111477	22	0	15
76.0	9.111632	17	0	17
77.0	9.111771	13	0	17
78.0	9.111893	15	0	18
79.0	9.112003	15	0	12
80.0	9.1121	17	0	14
81.0	9.112186	12	0	14
82.0	9.112263	11	0	8
83.0	9.112332	10	0	10
84.0	9.112393	11	0	12
85.0	9.112447	9	0	4
86.0	9.112495	9	0	11
87.0	9.112538	9	0	10
88.0	9.112576	7	0	7
89.0	9.11261	9	0	11
90.0	9.11264	13	0	11
91.0	9.112667	11	0	11
92.0	9.112691	11	0	9
93.0	9.112712	8	0	11
94.0	9.112731	11	0	7
95.0	9.112748	5	0	5
96.0	9.112763	7	0	9
97.0	9.112776	8	0	6
98.0	9.112788	8	0	9
99.0	9.112798	3	0	3
100.0	9.112808	7	0	7
101.0	0	6	0	7
102.0	0	5	0	6
103.0	0	8	0	6
104.0	0	5	0	5
105.0	0	4	0	6
106.0	0	2	0	1
107.0	0	5	0	3
108.0	0	6	0	6
109.0	0	4	0	4
110.0	0	3	0	3
111.0	0	4	0	6
112.0	0	5	0	5
113.0	0	4	0	3
114.0	0	5	0	5
115.0	0	4	0	2
116.0	0	1	0	2
117.0	0	0	0	1
118.0	0	2	0	1
119.0	0	3	0	3
120.0	0	3	0	1
121.0	0	1	0	1
