## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../pre_dup_removal/merged/scca0207_merged.bam] OUTPUT=scca0207_merged_dedup.bam METRICS_FILE=scca0207_merged_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 09 12:58:04 EDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	31575711	91918318	4504140	14715308	6581803	5563567	314085	0.082209	768418018

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.003228	81786143	0	82067256
2.0	1.893349	4242441	310564	3989595
3.0	2.683116	226278	1735	199907
4.0	3.383842	29729	17	28155
5.0	4.005566	14365	0	14231
6.0	4.557196	9867	0	9825
7.0	5.046633	7171	0	7177
8.0	5.48089	5522	0	5499
9.0	5.866188	4395	0	4389
10.0	6.208046	3593	0	3561
11.0	6.511362	2930	0	2919
12.0	6.780482	2396	0	2398
13.0	7.01926	2096	0	2081
14.0	7.231118	1874	0	1869
15.0	7.41909	1494	0	1503
16.0	7.58587	1335	0	1325
17.0	7.733847	1170	0	1169
18.0	7.86514	1060	0	1065
19.0	7.981631	893	0	890
20.0	8.084989	826	0	824
21.0	8.176693	772	0	764
22.0	8.258059	674	0	669
23.0	8.330251	630	0	633
24.0	8.394305	580	0	574
25.0	8.451136	530	0	518
26.0	8.50156	463	0	465
27.0	8.5463	432	0	433
28.0	8.585995	331	0	335
29.0	8.621215	308	0	307
30.0	8.652464	313	0	296
31.0	8.68019	266	0	273
32.0	8.70479	284	0	280
33.0	8.726617	273	0	275
34.0	8.745983	226	0	222
35.0	8.763165	210	0	205
36.0	8.778411	174	0	185
37.0	8.791937	180	0	169
38.0	8.803939	176	0	181
39.0	8.814587	143	0	141
40.0	8.824035	136	0	126
41.0	8.832417	131	0	135
42.0	8.839855	107	0	107
43.0	8.846454	118	0	117
44.0	8.852309	95	0	95
45.0	8.857504	100	0	96
46.0	8.862113	74	0	81
47.0	8.866203	98	0	97
48.0	8.869832	92	0	89
49.0	8.873051	66	0	68
50.0	8.875908	62	0	57
51.0	8.878442	74	0	77
52.0	8.880691	61	0	55
53.0	8.882686	51	0	53
54.0	8.884456	54	0	55
55.0	8.886027	47	0	46
56.0	8.88742	50	0	51
57.0	8.888657	46	0	46
58.0	8.889754	38	0	37
59.0	8.890727	31	0	34
60.0	8.891591	41	0	37
61.0	8.892357	39	0	35
62.0	8.893037	21	0	23
63.0	8.89364	26	0	28
64.0	8.894175	23	0	18
65.0	8.89465	16	0	20
66.0	8.895072	28	0	28
67.0	8.895445	27	0	28
68.0	8.895777	26	0	23
69.0	8.896071	20	0	22
70.0	8.896332	24	0	24
71.0	8.896564	23	0	20
72.0	8.89677	17	0	17
73.0	8.896952	17	0	16
74.0	8.897114	12	0	12
75.0	8.897257	11	0	12
76.0	8.897385	14	0	12
77.0	8.897498	4	0	6
78.0	8.897598	13	0	12
79.0	8.897687	21	0	22
80.0	8.897766	13	0	14
81.0	8.897836	9	0	7
82.0	8.897898	12	0	13
83.0	8.897953	10	0	8
84.0	8.898002	4	0	3
85.0	8.898046	5	0	8
86.0	8.898084	8	0	9
87.0	8.898118	8	0	7
88.0	8.898149	8	0	8
89.0	8.898176	6	0	6
90.0	8.898199	1	0	1
91.0	8.898221	9	0	9
92.0	8.898239	7	0	5
93.0	8.898256	5	0	5
94.0	8.898271	7	0	8
95.0	8.898284	6	0	4
96.0	8.898296	8	0	8
97.0	8.898306	4	0	4
98.0	8.898315	7	0	8
99.0	8.898323	5	0	7
100.0	8.89833	3	0	4
101.0	0	5	0	3
102.0	0	2	0	3
103.0	0	8	0	6
104.0	0	3	0	3
105.0	0	3	0	3
106.0	0	1	0	1
107.0	0	2	0	1
108.0	0	3	0	3
109.0	0	3	0	3
110.0	0	3	0	4
111.0	0	4	0	3
112.0	0	4	0	8
113.0	0	6	0	3
114.0	0	4	0	4
115.0	0	4	0	4
116.0	0	6	0	6
117.0	0	1	0	0
118.0	0	3	0	4
119.0	0	1	0	1
120.0	0	0	0	1
121.0	0	4	0	5
122.0	0	4	0	2
123.0	0	2	0	1
124.0	0	0	0	2
125.0	0	3	0	2
126.0	0	1	0	0
127.0	0	1	0	1
130.0	0	1	0	1
132.0	0	0	0	1
133.0	0	1	0	0
134.0	0	1	0	2
136.0	0	1	0	0
138.0	0	0	0	1
139.0	0	1	0	1
140.0	0	1	0	2
141.0	0	3	0	1
144.0	0	1	0	1
148.0	0	2	0	2
149.0	0	2	0	2
156.0	0	1	0	1
157.0	0	0	0	1
158.0	0	1	0	1
159.0	0	1	0	1
160.0	0	2	0	1
167.0	0	0	0	1
168.0	0	1	0	1
169.0	0	2	0	1
180.0	0	1	0	2
181.0	0	1	0	0
185.0	0	0	0	1
186.0	0	1	0	0
189.0	0	0	0	1
191.0	0	1	0	0
192.0	0	0	0	1
195.0	0	1	0	0
218.0	0	1	0	1

