#Coverage	Number of genomic locations
0.0	3.962231E8
1.0	5.49811805E8
2.0	5.69491414E8
3.0	4.5150284E8
4.0	3.08393325E8
5.0	1.88355148E8
6.0	1.08455254E8
7.0	6.1564439E7
8.0	3.6398975E7
9.0	2.3425076E7
10.0	1.6673927E7
11.0	1.2881862E7
12.0	1.0527944E7
13.0	8910067.0
14.0	7664542.0
15.0	6657616.0
16.0	5813374.0
17.0	5117795.0
18.0	4513915.0
19.0	4006965.0
20.0	3553093.0
21.0	3155792.0
22.0	2818952.0
23.0	2515099.0
24.0	2256220.0
25.0	2031243.0
26.0	1821766.0
27.0	1645387.0
28.0	1477072.0
29.0	1341412.0
30.0	1217287.0
31.0	1104297.0
32.0	1001069.0
33.0	916012.0
34.0	833971.0
35.0	763581.0
36.0	700584.0
37.0	639066.0
38.0	585277.0
39.0	536810.0
40.0	496721.0
41.0	458772.0
42.0	421150.0
43.0	389360.0
44.0	359553.0
45.0	332975.0
46.0	307807.0
47.0	284460.0
48.0	262608.0
49.0	243247.0
50.0	225746.0
51.0	210144.0
52.0	195805.0
53.0	180424.0
54.0	167803.0
55.0	155112.0
56.0	145476.0
57.0	135768.0
58.0	127155.0
59.0	120013.0
60.0	112768.0
61.0	106199.0
62.0	100113.0
63.0	94373.0
64.0	89896.0
65.0	85865.0
66.0	80032.0
67.0	74856.0
68.0	71797.0
69.0	69031.0
70.0	64599.0
71.0	61327.0
72.0	58541.0
73.0	56064.0
74.0	52688.0
75.0	49742.0
76.0	46946.0
77.0	45420.0
78.0	43183.0
79.0	40576.0
80.0	39156.0
81.0	37034.0
82.0	34675.0
83.0	32608.0
84.0	31480.0
85.0	30130.0
86.0	28311.0
87.0	26800.0
88.0	26075.0
89.0	24853.0
90.0	24298.0
91.0	23809.0
92.0	22422.0
93.0	21931.0
94.0	20774.0
95.0	19823.0
96.0	19116.0
97.0	18370.0
98.0	18012.0
99.0	17267.0
100.0	16214.0
101.0	15793.0
102.0	15683.0
103.0	15320.0
104.0	14575.0
