#GC Content (%)	Sample
1.0	1.159848055265368E-7
2.0	2.319696110530736E-7
3.0	1.159848055265368E-7
4.0	1.159848055265368E-7
5.0	6.959088331592209E-7
6.0	6.959088331592209E-7
7.0	9.278784442122945E-7
8.0	1.3918176663184417E-6
9.0	9.278784442122944E-7
10.0	1.5078024718449784E-6
11.0	2.203711305004199E-6
12.0	4.291437804481862E-6
13.0	4.291437804481862E-6
14.0	8.69886041449026E-6
15.0	1.902150810635203E-5
16.0	2.830029254847498E-5
17.0	5.9964144457219526E-5
18.0	1.1528889669337759E-4
19.0	2.246625683049018E-4
20.0	4.2125681367238165E-4
21.0	7.828974373041234E-4
22.0	0.0014175662931453328
23.0	0.002458993861968107
24.0	0.004010290635885537
25.0	0.006927656449294517
26.0	0.008377234548765173
27.0	0.01280855002871204
28.0	0.01716760697481587
29.0	0.022181862087339112
30.0	0.02772883541164573
31.0	0.0331720023350061
32.0	0.03874472428613962
33.0	0.04379644249084793
34.0	0.04696305965133344
35.0	0.04854462845949329
36.0	0.04924274100395752
37.0	0.0491530847492855
38.0	0.04808648847766347
39.0	0.046064873317335935
40.0	0.04369843533017801
41.0	0.04144543048282503
42.0	0.03935132481904341
43.0	0.03784711787616975
44.0	0.03627042042984201
45.0	0.03260321284870397
46.0	0.02875680874302743
47.0	0.02538014309973336
48.0	0.022477855311042832
49.0	0.020219631147441162
50.0	0.018285352545675107
51.0	0.018151506080097482
52.0	0.013449018124829574
53.0	0.013589127769905632
54.0	0.012388105108678342
55.0	0.011294484377368626
56.0	0.010163284569068311
57.0	0.009101907613694974
58.0	0.00824466391604834
59.0	0.007399134683759889
60.0	0.006762610071030255
61.0	0.006149862343433561
62.0	0.005520296819035519
63.0	0.004729976354177698
64.0	0.003955081868454904
65.0	0.0031649933732081363
66.0	0.002438696521000963
67.0	0.0018954236919146647
68.0	0.0014616405192454168
69.0	0.0010979121691141974
70.0	8.265077241821012E-4
71.0	6.201707551503923E-4
72.0	4.3587089916872525E-4
73.0	3.2823699964009914E-4
74.0	2.483234686323153E-4
75.0	2.014656071995944E-4
76.0	1.5217206485081626E-4
77.0	1.280472253012966E-4
78.0	9.74272366422909E-5
79.0	8.269716634042072E-5
80.0	7.423027553698354E-5
81.0	5.3237025736680384E-5
82.0	4.535005896087588E-5
83.0	3.1779836714271085E-5
84.0	2.4240824355046188E-5
85.0	2.006537135609087E-5
86.0	1.5078024718449784E-5
87.0	1.3686207052131344E-5
88.0	1.0090678080808701E-5
89.0	7.539012359224893E-6
90.0	3.3635593602695672E-6
91.0	2.7836353326368834E-6
92.0	1.5078024718449782E-6
93.0	3.4795441657961037E-7
94.0	0.0
95.0	4.639392221061472E-7
96.0	3.4795441657961037E-7
97.0	4.639392221061472E-7
98.0	2.319696110530736E-7
99.0	1.2758328607919048E-6
100.0	7.552930535888076E-4
