#Duplication rate	Coverage
1.0	5.313117E7
2.0	2070786.0
3.0	205047.0
4.0	63190.0
5.0	31847.0
6.0	20800.0
7.0	14728.0
8.0	11256.0
9.0	8564.0
10.0	7193.0
11.0	5909.0
12.0	4942.0
13.0	4522.0
14.0	4021.0
15.0	3544.0
16.0	3307.0
17.0	3029.0
18.0	2714.0
19.0	2461.0
20.0	2303.0
21.0	2057.0
22.0	1858.0
23.0	1726.0
24.0	1593.0
25.0	1478.0
26.0	1403.0
27.0	1273.0
28.0	1159.0
29.0	1057.0
30.0	1042.0
31.0	924.0
32.0	844.0
33.0	705.0
34.0	675.0
35.0	619.0
36.0	520.0
37.0	481.0
38.0	391.0
39.0	421.0
40.0	324.0
41.0	327.0
42.0	276.0
43.0	250.0
44.0	215.0
45.0	161.0
46.0	199.0
47.0	150.0
48.0	135.0
49.0	127.0
50.0	2050.0
