## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../pre_dup_removal/merged/scca1029_merged.bam] OUTPUT=scca1029_merged_dedup.bam METRICS_FILE=scca1029_merged_metrics.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 16 17:29:24 CDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
wgs_scca1029	9805733	28767917	1857716	6325292	1556798	2162214	274278	0.087334	205413215

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.008968	24599550	0	24837704
2.0	1.886079	1863862	267394	1658523
3.0	2.648566	131463	3380	101628
4.0	3.311407	9251	40	6525
5.0	3.887626	1031	1	814
6.0	4.388542	266	0	237
7.0	4.823996	118	0	119
8.0	5.202543	54	0	51
9.0	5.531619	38	0	34
10.0	5.817691	17	0	17
11.0	6.066377	16	0	15
12.0	6.282565	12	0	15
13.0	6.470499	10	0	9
14.0	6.633874	6	0	3
15.0	6.775898	2	0	2
16.0	6.899362	3	0	3
17.0	7.006691	1	0	2
18.0	7.099994	1	0	0
19.0	7.181103	0	0	0
20.0	7.251613	1	0	1
21.0	7.312908	0	0	0
22.0	7.366193	0	0	0
23.0	7.412515	0	0	0
24.0	7.452783	0	0	0
25.0	7.487788	0	0	0
26.0	7.518219	0	0	0
27.0	7.544673	0	0	0
28.0	7.56767	0	0	0
29.0	7.587662	0	0	0
30.0	7.605041	0	0	0
31.0	7.620148	0	0	0
32.0	7.633282	0	0	0
33.0	7.644699	0	0	0
34.0	7.654624	0	0	0
35.0	7.663252	0	0	0
36.0	7.670753	0	0	0
37.0	7.677273	0	0	0
38.0	7.682941	0	0	0
39.0	7.687869	0	0	0
40.0	7.692152	0	0	0
41.0	7.695876	0	0	0
42.0	7.699113	0	0	0
43.0	7.701927	0	0	0
44.0	7.704373	0	0	0
45.0	7.7065	0	0	0
46.0	7.708348	0	0	0
47.0	7.709956	0	0	0
48.0	7.711353	0	0	0
49.0	7.712567	0	0	0
50.0	7.713623	0	0	0
51.0	7.714541	0	0	0
52.0	7.715339	0	0	0
53.0	7.716032	0	0	0
54.0	7.716635	0	0	0
55.0	7.717159	0	0	0
56.0	7.717615	0	0	0
57.0	7.718011	0	0	0
58.0	7.718355	0	0	0
59.0	7.718655	0	0	0
60.0	7.718915	0	0	1
61.0	7.719141	0	0	0
62.0	7.719338	1	0	0
63.0	7.719509	0	0	0
64.0	7.719657	0	0	0
65.0	7.719787	0	0	0
66.0	7.719899	0	0	0
67.0	7.719997	0	0	0
68.0	7.720081	0	0	0
69.0	7.720155	0	0	0
70.0	7.720219	0	0	0
71.0	7.720275	0	0	0
72.0	7.720324	0	0	0
73.0	7.720366	0	0	0
74.0	7.720402	0	0	0
75.0	7.720434	0	0	0
76.0	7.720462	0	0	0
77.0	7.720486	0	0	0
78.0	7.720507	0	0	0
79.0	7.720525	0	0	0
80.0	7.720541	0	0	0
81.0	7.720555	0	0	0
82.0	7.720567	0	0	0
83.0	7.720577	0	0	0
84.0	7.720586	0	0	0
85.0	7.720594	0	0	0
86.0	7.720601	0	0	0
87.0	7.720607	0	0	0
88.0	7.720612	0	0	0
89.0	7.720616	0	0	0
90.0	7.72062	0	0	0
91.0	7.720623	0	0	0
92.0	7.720626	0	0	0
93.0	7.720629	0	0	0
94.0	7.720631	0	0	0
95.0	7.720633	0	0	0
96.0	7.720635	0	0	0
97.0	7.720636	0	0	0
98.0	7.720638	0	0	0
99.0	7.720639	0	0	0
100.0	7.72064	0	0	0

