#Insert size (bp)	insert size
2.0	72.0
3.0	70.0
4.0	75.0
5.0	79.0
6.0	94.0
7.0	89.0
8.0	70.0
9.0	86.0
10.0	71.0
11.0	87.0
12.0	70.0
13.0	88.0
14.0	85.0
15.0	95.0
16.0	96.0
17.0	123.0
18.0	106.0
19.0	3982.0
20.0	5285.0
21.0	3970.0
22.0	2404.0
23.0	1387.0
24.0	828.0
25.0	691.0
26.0	606.0
27.0	590.0
28.0	547.0
29.0	556.0
30.0	558.0
31.0	592.0
32.0	641.0
33.0	684.0
34.0	778.0
35.0	808.0
36.0	872.0
37.0	902.0
38.0	982.0
39.0	1070.0
40.0	1124.0
41.0	1257.0
42.0	1220.0
43.0	1342.0
44.0	1415.0
45.0	1470.0
46.0	1573.0
47.0	1658.0
48.0	1709.0
49.0	1858.0
50.0	1906.0
51.0	1963.0
52.0	2000.0
53.0	2160.0
54.0	2057.0
55.0	2137.0
56.0	2274.0
57.0	2259.0
58.0	2333.0
59.0	2405.0
60.0	2366.0
61.0	2374.0
62.0	2540.0
63.0	2618.0
64.0	2713.0
65.0	2646.0
66.0	2560.0
67.0	2692.0
68.0	2726.0
69.0	2951.0
70.0	2900.0
71.0	3091.0
72.0	3239.0
73.0	3417.0
74.0	3619.0
75.0	3740.0
76.0	4206.0
77.0	4540.0
78.0	4541.0
79.0	4877.0
80.0	5055.0
81.0	5225.0
82.0	5204.0
83.0	5261.0
84.0	5324.0
85.0	5353.0
86.0	5670.0
87.0	5654.0
88.0	5647.0
89.0	5650.0
90.0	5868.0
91.0	5831.0
92.0	5997.0
93.0	6100.0
94.0	6180.0
95.0	6164.0
96.0	6229.0
97.0	6077.0
98.0	6218.0
99.0	6299.0
100.0	6357.0
101.0	6528.0
102.0	6300.0
103.0	6389.0
104.0	6474.0
105.0	6526.0
106.0	6461.0
107.0	6619.0
108.0	6615.0
109.0	6613.0
110.0	6705.0
111.0	6754.0
112.0	6542.0
113.0	6841.0
114.0	6758.0
115.0	6804.0
116.0	7073.0
117.0	7028.0
118.0	6871.0
119.0	6540.0
120.0	6744.0
121.0	6744.0
122.0	6614.0
123.0	6918.0
124.0	6852.0
125.0	6897.0
126.0	7097.0
127.0	7258.0
128.0	7392.0
129.0	7685.0
130.0	7650.0
131.0	8069.0
132.0	8173.0
133.0	8529.0
134.0	8642.0
135.0	9212.0
136.0	9545.0
137.0	9765.0
138.0	10164.0
139.0	10738.0
140.0	11707.0
141.0	12737.0
142.0	14325.0
143.0	19252.0
144.0	164269.0
145.0	170643.0
146.0	172893.0
147.0	174919.0
148.0	175739.0
149.0	176873.0
150.0	178647.0
151.0	179768.0
152.0	182174.0
153.0	182738.0
154.0	184562.0
155.0	184616.0
156.0	184051.0
157.0	184494.0
158.0	185449.0
159.0	186265.0
160.0	186481.0
161.0	187542.0
162.0	188813.0
163.0	188528.0
164.0	189121.0
165.0	190029.0
166.0	189586.0
167.0	190652.0
168.0	189980.0
169.0	189111.0
170.0	190106.0
171.0	190298.0
172.0	190546.0
173.0	190877.0
174.0	190836.0
175.0	190320.0
176.0	191604.0
177.0	190168.0
178.0	189798.0
179.0	189740.0
180.0	189056.0
181.0	188546.0
182.0	188368.0
183.0	188498.0
184.0	187836.0
185.0	188093.0
186.0	186459.0
187.0	186108.0
188.0	185429.0
189.0	184373.0
190.0	182756.0
191.0	182234.0
192.0	181269.0
193.0	181827.0
194.0	180654.0
195.0	179409.0
196.0	178873.0
197.0	177845.0
198.0	177208.0
199.0	175632.0
200.0	174523.0
201.0	173397.0
202.0	172680.0
203.0	171868.0
204.0	170345.0
205.0	168936.0
206.0	168784.0
207.0	166651.0
208.0	165333.0
209.0	164123.0
210.0	162972.0
211.0	161665.0
212.0	160276.0
213.0	158628.0
214.0	158099.0
215.0	156727.0
216.0	155639.0
217.0	153889.0
218.0	152348.0
219.0	150774.0
220.0	149513.0
221.0	148560.0
222.0	146327.0
223.0	145479.0
224.0	143873.0
225.0	142599.0
226.0	142489.0
227.0	139603.0
228.0	138576.0
229.0	137458.0
230.0	135826.0
231.0	134209.0
232.0	132981.0
233.0	131291.0
234.0	130312.0
235.0	128859.0
236.0	126529.0
237.0	125762.0
238.0	124300.0
239.0	122924.0
240.0	120778.0
241.0	119808.0
242.0	118647.0
243.0	116655.0
244.0	115820.0
245.0	115149.0
246.0	112879.0
247.0	112075.0
248.0	110612.0
249.0	109201.0
250.0	107389.0
251.0	106021.0
252.0	104338.0
253.0	103428.0
254.0	102208.0
255.0	100673.0
256.0	99709.0
257.0	98898.0
258.0	97529.0
259.0	96302.0
260.0	95211.0
261.0	93499.0
262.0	92035.0
263.0	91025.0
264.0	90138.0
265.0	88968.0
266.0	87070.0
267.0	86876.0
268.0	85457.0
269.0	84390.0
270.0	82845.0
271.0	81592.0
272.0	80621.0
273.0	79517.0
274.0	78257.0
275.0	77229.0
276.0	76344.0
277.0	75253.0
278.0	74231.0
279.0	72817.0
280.0	72100.0
281.0	71534.0
282.0	70093.0
283.0	69230.0
284.0	68056.0
285.0	67585.0
286.0	66319.0
287.0	65486.0
288.0	64934.0
289.0	63545.0
290.0	62167.0
291.0	61351.0
292.0	60756.0
293.0	59900.0
294.0	58960.0
295.0	57505.0
296.0	56825.0
297.0	56419.0
298.0	55378.0
299.0	54811.0
300.0	53526.0
301.0	52857.0
302.0	51957.0
303.0	51439.0
304.0	50559.0
305.0	49693.0
306.0	49319.0
307.0	48629.0
308.0	47443.0
309.0	47043.0
310.0	45793.0
311.0	45961.0
312.0	44923.0
313.0	44091.0
314.0	43582.0
315.0	42810.0
316.0	42515.0
317.0	41708.0
318.0	40876.0
319.0	40593.0
320.0	39641.0
321.0	39230.0
322.0	38682.0
323.0	38074.0
324.0	37629.0
325.0	37036.0
326.0	36517.0
327.0	35396.0
328.0	35045.0
329.0	34811.0
330.0	34376.0
331.0	33541.0
332.0	32875.0
333.0	32553.0
334.0	31952.0
335.0	31772.0
336.0	31242.0
337.0	30745.0
338.0	30211.0
339.0	29418.0
340.0	29116.0
341.0	28333.0
342.0	28319.0
343.0	27653.0
344.0	27635.0
345.0	26850.0
346.0	26397.0
347.0	26267.0
348.0	25906.0
349.0	25253.0
350.0	25020.0
351.0	24454.0
352.0	24209.0
353.0	23734.0
354.0	23376.0
355.0	23081.0
356.0	22806.0
357.0	22067.0
358.0	21945.0
359.0	21566.0
360.0	21103.0
361.0	20896.0
362.0	20494.0
363.0	20305.0
364.0	19975.0
365.0	19934.0
366.0	19343.0
367.0	19075.0
368.0	18896.0
369.0	18611.0
370.0	18170.0
371.0	17975.0
372.0	17383.0
373.0	17320.0
374.0	17030.0
375.0	16417.0
376.0	16405.0
377.0	16239.0
378.0	16006.0
379.0	15593.0
380.0	15398.0
381.0	15232.0
382.0	14982.0
383.0	14802.0
384.0	14499.0
385.0	14483.0
386.0	13853.0
387.0	13854.0
388.0	13666.0
389.0	13415.0
390.0	13376.0
391.0	13103.0
392.0	12697.0
393.0	12682.0
394.0	12260.0
395.0	12127.0
396.0	12019.0
397.0	11665.0
398.0	11721.0
399.0	11092.0
400.0	11280.0
401.0	11058.0
402.0	10805.0
403.0	10622.0
404.0	10341.0
405.0	10398.0
406.0	10172.0
407.0	9879.0
408.0	9674.0
409.0	9476.0
410.0	9523.0
411.0	9394.0
412.0	9052.0
413.0	8890.0
414.0	9033.0
415.0	8833.0
416.0	8573.0
417.0	8415.0
418.0	8227.0
419.0	8071.0
420.0	7898.0
421.0	7770.0
422.0	7670.0
423.0	7618.0
424.0	7556.0
425.0	7464.0
426.0	7277.0
427.0	7058.0
428.0	7094.0
429.0	6927.0
430.0	6827.0
431.0	6654.0
432.0	6606.0
433.0	6536.0
434.0	6386.0
435.0	6373.0
436.0	6146.0
437.0	6080.0
438.0	6067.0
439.0	5811.0
440.0	5763.0
441.0	5678.0
442.0	5680.0
443.0	5642.0
444.0	5475.0
445.0	5272.0
446.0	5260.0
447.0	5169.0
448.0	5053.0
449.0	4993.0
450.0	4976.0
451.0	4827.0
452.0	4754.0
453.0	4546.0
454.0	4686.0
455.0	4475.0
456.0	4362.0
457.0	4396.0
458.0	4406.0
459.0	4267.0
